Time(s)	PK(3,40)
 0.0000000e+00	 2.0000000e+03
 1.0005618e+00	 1.6907996e+07
 2.0000894e+00	 1.8064516e+07
 3.0001235e+00	 1.8362908e+07
 4.0000744e+00	 1.8505516e+07
 5.0000405e+00	 1.8691642e+07
 6.0000234e+00	 1.8740028e+07
 7.0002379e+00	 1.8891078e+07
 8.0000887e+00	 1.8922966e+07
 9.0000124e+00	 1.8976816e+07
 1.0000108e+01	 1.9021820e+07
 1.1000061e+01	 1.9043884e+07
 1.2000055e+01	 1.9078700e+07
 1.3000238e+01	 1.9108428e+07
 1.4000112e+01	 1.9130132e+07
 1.5000147e+01	 1.9143262e+07
 1.6000036e+01	 1.9158084e+07
 1.7000031e+01	 1.9167320e+07
 1.8000051e+01	 1.9174214e+07
 1.9000219e+01	 1.9178374e+07
 2.0000223e+01	 1.9183094e+07
 2.1000031e+01	 1.9186996e+07
 2.2000093e+01	 1.9190170e+07
 2.3000038e+01	 1.9191788e+07
 2.4000010e+01	 1.9192120e+07
 2.5000067e+01	 1.9191946e+07
 2.6000111e+01	 1.9191696e+07
 2.7000292e+01	 1.9191496e+07
 2.8000111e+01	 1.9191408e+07
 2.9000072e+01	 1.9191320e+07
 3.0000034e+01	 1.9191126e+07
 3.1000008e+01	 1.9190974e+07
 3.2000217e+01	 1.9190688e+07
 3.3000145e+01	 1.9190418e+07
 3.4000019e+01	 1.9190212e+07
 3.5000225e+01	 1.9190076e+07
 3.6000263e+01	 1.9189972e+07
 3.7000000e+01	 1.9189846e+07
 3.8000050e+01	 1.9189672e+07
 3.9000404e+01	 1.9189484e+07
 4.0000118e+01	 1.9189316e+07
 4.1000126e+01	 1.9189164e+07
 4.2000221e+01	 1.9189030e+07
 4.3000244e+01	 1.9188908e+07
 4.4000210e+01	 1.9188786e+07
 4.5000088e+01	 1.9188672e+07
 4.6000092e+01	 1.9188560e+07
 4.7000141e+01	 1.9188452e+07
 4.8000240e+01	 1.9188348e+07
 4.9000008e+01	 1.9188250e+07
 5.0000221e+01	 1.9188158e+07
 5.1000072e+01	 1.9188072e+07
 5.2000053e+01	 1.9187992e+07
 5.3000069e+01	 1.9187916e+07
 5.4000187e+01	 1.9187846e+07
 5.5000172e+01	 1.9187780e+07
 5.6000126e+01	 1.9187720e+07
 5.7000072e+01	 1.9187662e+07
 5.8000153e+01	 1.9187606e+07
 5.9000050e+01	 1.9187554e+07
 6.0000069e+01	 1.9187500e+07
 6.1000160e+01	 1.9187456e+07
 6.2000050e+01	 1.9187410e+07
 6.3000099e+01	 1.9187364e+07
 6.4000069e+01	 1.9187322e+07
 6.5000206e+01	 1.9187278e+07
 6.6000069e+01	 1.9187234e+07
 6.7000069e+01	 1.9187232e+07
 6.8000008e+01	 1.9187186e+07
 6.9000237e+01	 1.9187138e+07
 7.0000122e+01	 1.9187088e+07
 7.1000031e+01	 1.9187038e+07
 7.2000282e+01	 1.9187032e+07
 7.3000183e+01	 1.9186986e+07
 7.4000183e+01	 1.9186980e+07
 7.5000305e+01	 1.9186966e+07
 7.6000069e+01	 1.9186924e+07
 7.7000076e+01	 1.9186882e+07
 7.8000130e+01	 1.9186880e+07
 7.9000114e+01	 1.9186838e+07
 8.0000267e+01	 1.9186796e+07
 8.1000061e+01	 1.9186796e+07
 8.2000206e+01	 1.9186754e+07
 8.3000099e+01	 1.9186710e+07
 8.4000252e+01	 1.9186706e+07
 8.5000237e+01	 1.9186662e+07
 8.6000008e+01	 1.9186616e+07
 8.7000046e+01	 1.9186612e+07
 8.8000107e+01	 1.9186566e+07
 8.9000130e+01	 1.9186568e+07
 9.0000092e+01	 1.9186592e+07
 9.1000298e+01	 1.9186538e+07
 9.2000191e+01	 1.9186484e+07
 9.3000099e+01	 1.9186472e+07
 9.4000137e+01	 1.9186420e+07
 9.5000000e+01	 1.9186380e+07
 9.6000092e+01	 1.9186374e+07
 9.7000175e+01	 1.9186328e+07
 9.8000183e+01	 1.9186284e+07
 9.9000107e+01	 1.9186242e+07
 1.0000025e+02	 1.9186244e+07
 1.0100002e+02	 1.9186204e+07
 1.0200014e+02	 1.9186170e+07
 1.0300003e+02	 1.9186136e+07
 1.0400006e+02	 1.9186184e+07
 1.0500019e+02	 1.9186150e+07
 1.0600016e+02	 1.9186120e+07
 1.0700005e+02	 1.9186270e+07
 1.0800005e+02	 1.9186232e+07
 1.0900005e+02	 1.9186196e+07
 1.1000010e+02	 1.9186164e+07
 1.1100005e+02	 1.9186178e+07
 1.1200005e+02	 1.9186146e+07
 1.1300011e+02	 1.9186118e+07
 1.1400004e+02	 1.9186102e+07
 1.1500005e+02	 1.9186110e+07
 1.1600015e+02	 1.9186086e+07
 1.1700007e+02	 1.9186062e+07
