Time(s)	PK(47,82)
 0.0000000e+00	 1.6000000e+05
 1.0005618e+00	 1.6222103e+05
 2.0000894e+00	 1.6795073e+05
 3.0001235e+00	 1.7414966e+05
 4.0000744e+00	 1.8310862e+05
 5.0000405e+00	 1.8707394e+05
 6.0000234e+00	 1.8897511e+05
 7.0002379e+00	 1.8988025e+05
 8.0000887e+00	 1.9124273e+05
 9.0000124e+00	 1.9196205e+05
 1.0000108e+01	 1.9205605e+05
 1.1000061e+01	 1.9215988e+05
 1.2000055e+01	 1.9264711e+05
 1.3000238e+01	 1.9296966e+05
 1.4000112e+01	 1.9317697e+05
 1.5000147e+01	 1.9343606e+05
 1.6000036e+01	 1.9366342e+05
 1.7000031e+01	 1.9394111e+05
 1.8000051e+01	 1.9414955e+05
 1.9000219e+01	 1.9434652e+05
 2.0000223e+01	 1.9452186e+05
 2.1000031e+01	 1.9467742e+05
 2.2000093e+01	 1.9481016e+05
 2.3000038e+01	 1.9496631e+05
 2.4000010e+01	 1.9514731e+05
 2.5000067e+01	 1.9521831e+05
 2.6000111e+01	 1.9528803e+05
 2.7000292e+01	 1.9541341e+05
 2.8000111e+01	 1.9553333e+05
 2.9000072e+01	 1.9566467e+05
 3.0000034e+01	 1.9575539e+05
 3.1000008e+01	 1.9592003e+05
 3.2000217e+01	 1.9596734e+05
 3.3000145e+01	 1.9605767e+05
 3.4000019e+01	 1.9616352e+05
 3.5000225e+01	 1.9628144e+05
 3.6000263e+01	 1.9635480e+05
 3.7000000e+01	 1.9639506e+05
 3.8000050e+01	 1.9649388e+05
 3.9000404e+01	 1.9658933e+05
 4.0000118e+01	 1.9672677e+05
 4.1000126e+01	 1.9684198e+05
 4.2000221e+01	 1.9695175e+05
 4.3000244e+01	 1.9701091e+05
 4.4000210e+01	 1.9704966e+05
 4.5000088e+01	 1.9712077e+05
 4.6000092e+01	 1.9717080e+05
 4.7000141e+01	 1.9726539e+05
 4.8000240e+01	 1.9735553e+05
 4.9000008e+01	 1.9741958e+05
 5.0000221e+01	 1.9748023e+05
 5.1000072e+01	 1.9753791e+05
 5.2000053e+01	 1.9763066e+05
 5.3000069e+01	 1.9770986e+05
 5.4000187e+01	 1.9781506e+05
 5.5000172e+01	 1.9787086e+05
 5.6000126e+01	 1.9792945e+05
 5.7000072e+01	 1.9797945e+05
 5.8000153e+01	 1.9804312e+05
 5.9000050e+01	 1.9813334e+05
 6.0000069e+01	 1.9818348e+05
 6.1000160e+01	 1.9825692e+05
 6.2000050e+01	 1.9831592e+05
 6.3000099e+01	 1.9835778e+05
 6.4000069e+01	 1.9844034e+05
 6.5000206e+01	 1.9848745e+05
 6.6000069e+01	 1.9856462e+05
 6.7000069e+01	 1.9862469e+05
 6.8000008e+01	 1.9867891e+05
 6.9000237e+01	 1.9874170e+05
 7.0000122e+01	 1.9878544e+05
 7.1000031e+01	 1.9886906e+05
 7.2000282e+01	 1.9892670e+05
 7.3000183e+01	 1.9899147e+05
 7.4000183e+01	 1.9904802e+05
 7.5000305e+01	 1.9908958e+05
 7.6000069e+01	 1.9914502e+05
 7.7000076e+01	 1.9918909e+05
 7.8000130e+01	 1.9925706e+05
 7.9000114e+01	 1.9931270e+05
 8.0000267e+01	 1.9936111e+05
 8.1000061e+01	 1.9940281e+05
 8.2000206e+01	 1.9943648e+05
 8.3000099e+01	 1.9950641e+05
 8.4000252e+01	 1.9955291e+05
 8.5000237e+01	 1.9961417e+05
 8.6000008e+01	 1.9965308e+05
 8.7000046e+01	 1.9969084e+05
 8.8000107e+01	 1.9973841e+05
 8.9000130e+01	 1.9978228e+05
 9.0000092e+01	 1.9985086e+05
 9.1000298e+01	 1.9988878e+05
 9.2000191e+01	 1.9995422e+05
 9.3000099e+01	 2.0000802e+05
 9.4000137e+01	 2.0003569e+05
 9.5000000e+01	 2.0009714e+05
 9.6000092e+01	 2.0013098e+05
 9.7000175e+01	 2.0018022e+05
 9.8000183e+01	 2.0021178e+05
 9.9000107e+01	 2.0024291e+05
 1.0000025e+02	 2.0027845e+05
 1.0100002e+02	 2.0030427e+05
 1.0200014e+02	 2.0034128e+05
 1.0300003e+02	 2.0036914e+05
