Time(s)	PK(50,56)
 1.5900018e+02	 2.2414869e+05
 1.6000003e+02	 2.2389711e+05
 1.6100005e+02	 2.2393061e+05
 1.6200008e+02	 2.2391502e+05
 1.6300006e+02	 2.2395577e+05
 1.6400012e+02	 3.3140503e+05
 1.6410002e+02	 8.1125875e+05
 1.6420000e+02	 7.1494694e+05
 1.6430002e+02	 6.8967675e+05
 1.6440001e+02	 6.9777831e+05
 1.6450003e+02	 6.6835044e+05
 1.6460002e+02	 6.4357681e+05
 1.6470001e+02	 6.5112175e+05
 1.6480003e+02	 6.4617162e+05
 1.6490002e+02	 6.3086712e+05
 1.6500003e+02	 6.2853912e+05
 1.6510007e+02	 6.2956169e+05
 1.6520001e+02	 6.1956925e+05
 1.6530002e+02	 6.1534425e+05
 1.6540002e+02	 6.1993119e+05
 1.6550002e+02	 6.1345756e+05
 1.6560004e+02	 6.1516075e+05
 1.6570004e+02	 6.1715031e+05
 1.6580003e+02	 6.0705538e+05
 1.6590004e+02	 6.0931275e+05
 1.6600005e+02	 6.0646888e+05
 1.6610001e+02	 6.0568681e+05
 1.6620007e+02	 6.0376000e+05
 1.6630000e+02	 6.0747062e+05
 1.6640010e+02	 6.0059312e+05
 1.6650000e+02	 6.0085069e+05
 1.6660007e+02	 6.0118638e+05
 1.6670003e+02	 5.9954325e+05
 1.6680000e+02	 6.0049975e+05
 1.6690005e+02	 6.0069944e+05
 1.6700006e+02	 5.9925931e+05
 1.6710001e+02	 6.0141119e+05
 1.6720006e+02	 6.0264750e+05
 1.6730003e+02	 6.0092350e+05
 1.6740001e+02	 6.0351638e+05
 1.6750000e+02	 6.0434656e+05
 1.6760002e+02	 6.0628750e+05
 1.6770000e+02	 6.0456638e+05
 1.6780000e+02	 6.0539050e+05
 1.6790001e+02	 6.0731700e+05
 1.6800005e+02	 6.0878031e+05
 1.6810002e+02	 6.0918456e+05
 1.6820003e+02	 6.0980750e+05
 1.6830003e+02	 6.1172712e+05
 1.6840002e+02	 6.1539231e+05
 1.6850000e+02	 6.1503594e+05
 1.6860008e+02	 6.1685038e+05
 1.6870001e+02	 6.1801850e+05
 1.6880006e+02	 6.1789925e+05
 1.6890001e+02	 6.1837181e+05
 1.6900002e+02	 6.1905906e+05
 1.6910005e+02	 6.1940831e+05
 1.6920010e+02	 6.1966738e+05
 1.6930003e+02	 6.1989656e+05
 1.6940005e+02	 6.1987356e+05
 1.6950003e+02	 6.2045694e+05
 1.6960005e+02	 6.2161850e+05
 1.6970004e+02	 6.2252069e+05
 1.6980008e+02	 6.2250819e+05
 1.6990001e+02	 6.2200925e+05
 1.7000003e+02	 6.2131356e+05
