Time(s)	TLK1(41,61)
 1.5900018e+02	 6.0296918e+02
 1.6000003e+02	 6.0296790e+02
 1.6100005e+02	 6.0296655e+02
 1.6200008e+02	 6.0296509e+02
 1.6300006e+02	 6.0296344e+02
 1.6400012e+02	 6.0296161e+02
 1.6410002e+02	 6.0298676e+02
 1.6420000e+02	 6.0297742e+02
 1.6430002e+02	 6.0307135e+02
 1.6440001e+02	 6.0346259e+02
 1.6450003e+02	 6.0411469e+02
 1.6460002e+02	 6.0488867e+02
 1.6470001e+02	 6.0562415e+02
 1.6480003e+02	 6.0507172e+02
 1.6490002e+02	 6.0503625e+02
 1.6500003e+02	 6.0528186e+02
 1.6510007e+02	 6.0361560e+02
 1.6520001e+02	 6.0371771e+02
 1.6530002e+02	 6.0408124e+02
 1.6540002e+02	 6.0436389e+02
 1.6550002e+02	 6.0448328e+02
 1.6560004e+02	 6.0452332e+02
 1.6570004e+02	 6.0447040e+02
 1.6580003e+02	 6.0450037e+02
 1.6590004e+02	 6.0456305e+02
 1.6600005e+02	 6.0461609e+02
 1.6610001e+02	 6.0462897e+02
 1.6620007e+02	 6.0463373e+02
 1.6630000e+02	 6.0465802e+02
 1.6640010e+02	 6.0469568e+02
 1.6650000e+02	 6.0472815e+02
 1.6660007e+02	 6.0476410e+02
 1.6670003e+02	 6.0480823e+02
 1.6680000e+02	 6.0484656e+02
 1.6690005e+02	 6.0487274e+02
 1.6700006e+02	 6.0488330e+02
 1.6710001e+02	 6.0488953e+02
 1.6720006e+02	 6.0489648e+02
 1.6730003e+02	 6.0490143e+02
 1.6740001e+02	 6.0490759e+02
 1.6750000e+02	 6.0491461e+02
 1.6760002e+02	 6.0491852e+02
 1.6770000e+02	 6.0492419e+02
 1.6780000e+02	 6.0492676e+02
 1.6790001e+02	 6.0492633e+02
 1.6800005e+02	 6.0492432e+02
 1.6810002e+02	 6.0492267e+02
 1.6820003e+02	 6.0492126e+02
 1.6830003e+02	 6.0491693e+02
 1.6840002e+02	 6.0491205e+02
 1.6850000e+02	 6.0490637e+02
 1.6860008e+02	 6.0489954e+02
 1.6870001e+02	 6.0489075e+02
 1.6880006e+02	 6.0487689e+02
 1.6890001e+02	 6.0486731e+02
 1.6900002e+02	 6.0485614e+02
 1.6910005e+02	 6.0485626e+02
 1.6920010e+02	 6.0485236e+02
 1.6930003e+02	 6.0484509e+02
 1.6940005e+02	 6.0484625e+02
 1.6950003e+02	 6.0484131e+02
 1.6960005e+02	 6.0483124e+02
 1.6970004e+02	 6.0482532e+02
 1.6980008e+02	 6.0482306e+02
 1.6990001e+02	 6.0482031e+02
 1.7000003e+02	 6.0481555e+02
