Time(s)	TGK(50,19)
 1.5900018e+02	 4.5040997e+02
 1.6000003e+02	 4.5039777e+02
 1.6100005e+02	 4.5038553e+02
 1.6200008e+02	 4.5037332e+02
 1.6300006e+02	 4.5036108e+02
 1.6400012e+02	 4.5034885e+02
 1.6410002e+02	 4.5034113e+02
 1.6420000e+02	 4.5033340e+02
 1.6430002e+02	 4.5032568e+02
 1.6440001e+02	 4.5031796e+02
 1.6450003e+02	 4.5031024e+02
 1.6460002e+02	 4.5030252e+02
 1.6470001e+02	 4.5029480e+02
 1.6480003e+02	 4.5028708e+02
 1.6490002e+02	 4.5027936e+02
 1.6500003e+02	 4.5027164e+02
 1.6510007e+02	 4.5026392e+02
 1.6520001e+02	 4.5025620e+02
 1.6530002e+02	 4.5024847e+02
 1.6540002e+02	 4.5024075e+02
 1.6550002e+02	 4.5023303e+02
 1.6560004e+02	 4.5022531e+02
 1.6570004e+02	 4.5021759e+02
 1.6580003e+02	 4.5020987e+02
 1.6590004e+02	 4.5020215e+02
 1.6600005e+02	 4.5019443e+02
 1.6610001e+02	 4.5018671e+02
 1.6620007e+02	 4.5017899e+02
 1.6630000e+02	 4.5017126e+02
 1.6640010e+02	 4.5016354e+02
 1.6650000e+02	 4.5015582e+02
 1.6660007e+02	 4.5014810e+02
 1.6670003e+02	 4.5014038e+02
 1.6680000e+02	 4.5013266e+02
 1.6690005e+02	 4.5012491e+02
 1.6700006e+02	 4.5011719e+02
 1.6710001e+02	 4.5010947e+02
 1.6720006e+02	 4.5010175e+02
 1.6730003e+02	 4.5009402e+02
 1.6740001e+02	 4.5008630e+02
 1.6750000e+02	 4.5007858e+02
 1.6760002e+02	 4.5007083e+02
 1.6770000e+02	 4.5006311e+02
 1.6780000e+02	 4.5005539e+02
 1.6790001e+02	 4.5004767e+02
 1.6800005e+02	 4.5003995e+02
 1.6810002e+02	 4.5003223e+02
 1.6820003e+02	 4.5002448e+02
 1.6830003e+02	 4.5001675e+02
 1.6840002e+02	 4.5000903e+02
 1.6850000e+02	 4.5000131e+02
 1.6860008e+02	 4.4999356e+02
 1.6870001e+02	 4.4998584e+02
 1.6880006e+02	 4.4997812e+02
 1.6890001e+02	 4.4997040e+02
 1.6900002e+02	 4.4996265e+02
 1.6910005e+02	 4.4995493e+02
 1.6920010e+02	 4.4994720e+02
 1.6930003e+02	 4.4993945e+02
 1.6940005e+02	 4.4993173e+02
 1.6950003e+02	 4.4992401e+02
 1.6960005e+02	 4.4991626e+02
 1.6970004e+02	 4.4990854e+02
 1.6980008e+02	 4.4990082e+02
 1.6990001e+02	 4.4989310e+02
 1.7000003e+02	 4.4988535e+02
