Time(s)	TGK(3,40)	TGK(4,40)	TGK(5,40)
 6.9000237e+01	 5.6507495e+02	 6.0300000e+02	 6.0300000e+02
 7.0000122e+01	 5.6507513e+02	 6.0300000e+02	 6.0300000e+02
 7.1000031e+01	 5.6507532e+02	 6.0300000e+02	 6.0300000e+02
 7.2000282e+01	 5.6507581e+02	 6.0300000e+02	 6.0300000e+02
 7.3000183e+01	 5.6507581e+02	 6.0300000e+02	 6.0300000e+02
 7.4000183e+01	 5.6507568e+02	 6.0300000e+02	 6.0300000e+02
 7.5000305e+01	 5.6507495e+02	 6.0300000e+02	 6.0300000e+02
 7.6000069e+01	 5.6507330e+02	 6.0300000e+02	 6.0300000e+02
 7.7000076e+01	 5.6507086e+02	 6.0300000e+02	 6.0300000e+02
 7.8000130e+01	 5.6506799e+02	 6.0300000e+02	 6.0300000e+02
 7.9000114e+01	 5.6506433e+02	 6.0300000e+02	 6.0300000e+02
 8.0000267e+01	 5.6506049e+02	 6.0300000e+02	 6.0300000e+02
 8.1000061e+01	 5.6505701e+02	 6.0300000e+02	 6.0300000e+02
 8.2000206e+01	 5.6505341e+02	 6.0300000e+02	 6.0300000e+02
 8.3000099e+01	 5.6505029e+02	 6.0300000e+02	 6.0300000e+02
 8.4000252e+01	 5.6504791e+02	 6.0300000e+02	 6.0300000e+02
 8.5000237e+01	 5.6504559e+02	 6.0300000e+02	 6.0300000e+02
 8.6000008e+01	 5.6504352e+02	 6.0300000e+02	 6.0300000e+02
 8.7000046e+01	 5.6504181e+02	 6.0300000e+02	 6.0300000e+02
 8.8000107e+01	 5.6503949e+02	 6.0300000e+02	 6.0300000e+02
 8.9000130e+01	 5.6503705e+02	 6.0300000e+02	 6.0300000e+02
 9.0000092e+01	 5.6503424e+02	 6.0300000e+02	 6.0300000e+02
 9.1000298e+01	 5.6503009e+02	 6.0300000e+02	 6.0300000e+02
 9.2000191e+01	 5.6502551e+02	 6.0300000e+02	 6.0300000e+02
 9.3000099e+01	 5.6502100e+02	 6.0300000e+02	 6.0300000e+02
 9.4000137e+01	 5.6501611e+02	 6.0300000e+02	 6.0300000e+02
 9.5000000e+01	 5.6501147e+02	 6.0300000e+02	 6.0300000e+02
 9.6000092e+01	 5.6500763e+02	 6.0300000e+02	 6.0300000e+02
 9.7000175e+01	 5.6500403e+02	 6.0300000e+02	 6.0300000e+02
 9.8000183e+01	 5.6500104e+02	 6.0300000e+02	 6.0300000e+02
 9.9000107e+01	 5.6499854e+02	 6.0300000e+02	 6.0300000e+02
 1.0000025e+02	 5.6499658e+02	 6.0300000e+02	 6.0300000e+02
 1.0100002e+02	 5.6499426e+02	 6.0300000e+02	 6.0300000e+02
 1.0200014e+02	 5.6499176e+02	 6.0300000e+02	 6.0300000e+02
 1.0300003e+02	 5.6498907e+02	 6.0300000e+02	 6.0300000e+02
 1.0400006e+02	 5.6498676e+02	 6.0300000e+02	 6.0300000e+02
 1.0500019e+02	 5.6498370e+02	 6.0300000e+02	 6.0300000e+02
 1.0600016e+02	 5.6498059e+02	 6.0300000e+02	 6.0300000e+02
 1.0700005e+02	 5.6497894e+02	 6.0300000e+02	 6.0300000e+02
 1.0800005e+02	 5.6497601e+02	 6.0300000e+02	 6.0300000e+02
 1.0900005e+02	 5.6497327e+02	 6.0300000e+02	 6.0300000e+02
 1.1000010e+02	 5.6497052e+02	 6.0300000e+02	 6.0300000e+02
 1.1100005e+02	 5.6496826e+02	 6.0300000e+02	 6.0300000e+02
 1.1200005e+02	 5.6496582e+02	 6.0300000e+02	 6.0300000e+02
 1.1300011e+02	 5.6496350e+02	 6.0300000e+02	 6.0300000e+02
 1.1400004e+02	 5.6496143e+02	 6.0300000e+02	 6.0300000e+02
 1.1500005e+02	 5.6495972e+02	 6.0300000e+02	 6.0300000e+02
 1.1600015e+02	 5.6495782e+02	 6.0300000e+02	 6.0300000e+02
 1.1700007e+02	 5.6495599e+02	 6.0300000e+02	 6.0300000e+02
 1.1800004e+02	 5.6495453e+02	 6.0300000e+02	 6.0300000e+02
 1.1900003e+02	 5.6495312e+02	 6.0300000e+02	 6.0300000e+02
 1.2000007e+02	 5.6495209e+02	 6.0300000e+02	 6.0300000e+02
 1.2100005e+02	 5.6495038e+02	 6.0300000e+02	 6.0300000e+02
 1.2200008e+02	 5.6494873e+02	 6.0300000e+02	 6.0300000e+02
 1.2300022e+02	 5.6494708e+02	 6.0300000e+02	 6.0300000e+02
 1.2400007e+02	 5.6494586e+02	 6.0300000e+02	 6.0300000e+02
 1.2500008e+02	 5.6494464e+02	 6.0300000e+02	 6.0300000e+02
 1.2600005e+02	 5.6494305e+02	 6.0300000e+02	 6.0300000e+02
 1.2700005e+02	 5.6494135e+02	 6.0300000e+02	 6.0300000e+02
 1.2800008e+02	 5.6493964e+02	 6.0300000e+02	 6.0300000e+02
 1.2900026e+02	 5.6493884e+02	 6.0300000e+02	 6.0300000e+02
 1.3000006e+02	 5.6493701e+02	 6.0300000e+02	 6.0300000e+02
 1.3100023e+02	 5.6493518e+02	 6.0300000e+02	 6.0300000e+02
 1.3200002e+02	 5.6493329e+02	 6.0300000e+02	 6.0300000e+02
 1.3300009e+02	 5.6493164e+02	 6.0300000e+02	 6.0300000e+02
 1.3400003e+02	 5.6493011e+02	 6.0300000e+02	 6.0300000e+02
 1.3500020e+02	 5.6492859e+02	 6.0300000e+02	 6.0300000e+02
 1.3600014e+02	 5.6492749e+02	 6.0300000e+02	 6.0300000e+02
 1.3700008e+02	 5.6492572e+02	 6.0300000e+02	 6.0300000e+02
 1.3800002e+02	 5.6492395e+02	 6.0300000e+02	 6.0300000e+02
 1.3900027e+02	 5.6492261e+02	 6.0300000e+02	 6.0300000e+02
 1.4000012e+02	 5.6492090e+02	 6.0300000e+02	 6.0300000e+02
 1.4100006e+02	 5.6491980e+02	 6.0300000e+02	 6.0300000e+02
 1.4200020e+02	 5.6491809e+02	 6.0300000e+02	 6.0300000e+02
 1.4300023e+02	 5.6491638e+02	 6.0300000e+02	 6.0300000e+02
 1.4400017e+02	 5.6491541e+02	 6.0300000e+02	 6.0300000e+02
 1.4500008e+02	 5.6491364e+02	 6.0300000e+02	 6.0300000e+02
 1.4600002e+02	 5.6491174e+02	 6.0300000e+02	 6.0300000e+02
 1.4700005e+02	 5.6491046e+02	 6.0300000e+02	 6.0300000e+02
 1.4800018e+02	 5.6490948e+02	 6.0300000e+02	 6.0300000e+02
 1.4900020e+02	 5.6490918e+02	 6.0300000e+02	 6.0300000e+02
 1.5000011e+02	 5.6490814e+02	 6.0300000e+02	 6.0300000e+02
 1.5100027e+02	 5.6490692e+02	 6.0300000e+02	 6.0300000e+02
 1.5200009e+02	 5.6490607e+02	 6.0300000e+02	 6.0300000e+02
 1.5300018e+02	 5.6490442e+02	 6.0300000e+02	 6.0300000e+02
 1.5400015e+02	 5.6490302e+02	 6.0300000e+02	 6.0300000e+02
