Time(s)	PK(30,79)
 0.0000000e+00	 1.6000000e+05
 1.0005618e+00	 1.6223025e+05
 2.0000894e+00	 1.6796412e+05
 3.0001235e+00	 1.7416230e+05
 4.0000744e+00	 1.8312052e+05
 5.0000405e+00	 1.8708362e+05
 6.0000234e+00	 1.8898512e+05
 7.0002379e+00	 1.8989083e+05
 8.0000887e+00	 1.9125289e+05
 9.0000124e+00	 1.9197317e+05
 1.0000108e+01	 1.9206678e+05
 1.1000061e+01	 1.9217089e+05
 1.2000055e+01	 1.9265800e+05
 1.3000238e+01	 1.9298077e+05
 1.4000112e+01	 1.9318783e+05
 1.5000147e+01	 1.9344664e+05
 1.6000036e+01	 1.9367427e+05
 1.7000031e+01	 1.9395198e+05
 1.8000051e+01	 1.9416020e+05
 1.9000219e+01	 1.9435747e+05
 2.0000223e+01	 1.9453292e+05
 2.1000031e+01	 1.9468825e+05
 2.2000093e+01	 1.9482106e+05
 2.3000038e+01	 1.9497745e+05
 2.4000010e+01	 1.9515845e+05
 2.5000067e+01	 1.9522944e+05
 2.6000111e+01	 1.9529906e+05
 2.7000292e+01	 1.9542459e+05
 2.8000111e+01	 1.9554444e+05
 2.9000072e+01	 1.9567570e+05
 3.0000034e+01	 1.9576641e+05
 3.1000008e+01	 1.9593136e+05
 3.2000217e+01	 1.9597866e+05
 3.3000145e+01	 1.9606895e+05
 3.4000019e+01	 1.9617447e+05
 3.5000225e+01	 1.9629286e+05
 3.6000263e+01	 1.9636622e+05
 3.7000000e+01	 1.9640636e+05
 3.8000050e+01	 1.9650489e+05
 3.9000404e+01	 1.9660069e+05
 4.0000118e+01	 1.9673811e+05
 4.1000126e+01	 1.9685300e+05
 4.2000221e+01	 1.9696306e+05
 4.3000244e+01	 1.9702241e+05
 4.4000210e+01	 1.9706108e+05
 4.5000088e+01	 1.9713233e+05
 4.6000092e+01	 1.9718225e+05
 4.7000141e+01	 1.9727677e+05
 4.8000240e+01	 1.9736711e+05
 4.9000008e+01	 1.9742989e+05
 5.0000221e+01	 1.9749172e+05
 5.1000072e+01	 1.9754942e+05
 5.2000053e+01	 1.9764208e+05
 5.3000069e+01	 1.9772120e+05
 5.4000187e+01	 1.9782666e+05
 5.5000172e+01	 1.9788228e+05
 5.6000126e+01	 1.9794100e+05
 5.7000072e+01	 1.9799136e+05
 5.8000153e+01	 1.9805478e+05
 5.9000050e+01	 1.9814491e+05
 6.0000069e+01	 1.9819584e+05
 6.1000160e+01	 1.9826850e+05
 6.2000050e+01	 1.9832748e+05
 6.3000099e+01	 1.9836944e+05
 6.4000069e+01	 1.9845191e+05
 6.5000206e+01	 1.9849912e+05
 6.6000069e+01	 1.9857614e+05
 6.7000069e+01	 1.9863638e+05
 6.8000008e+01	 1.9869061e+05
 6.9000237e+01	 1.9875319e+05
 7.0000122e+01	 1.9879709e+05
 7.1000031e+01	 1.9888102e+05
 7.2000282e+01	 1.9893858e+05
 7.3000183e+01	 1.9900322e+05
 7.4000183e+01	 1.9905952e+05
 7.5000305e+01	 1.9910130e+05
 7.6000069e+01	 1.9915667e+05
 7.7000076e+01	 1.9920086e+05
 7.8000130e+01	 1.9926877e+05
 7.9000114e+01	 1.9932458e+05
 8.0000267e+01	 1.9937291e+05
 8.1000061e+01	 1.9941433e+05
 8.2000206e+01	 1.9944833e+05
 8.3000099e+01	 1.9951814e+05
 8.4000252e+01	 1.9956473e+05
 8.5000237e+01	 1.9962611e+05
 8.6000008e+01	 1.9966491e+05
 8.7000046e+01	 1.9970269e+05
 8.8000107e+01	 1.9975019e+05
 8.9000130e+01	 1.9979412e+05
 9.0000092e+01	 1.9986264e+05
 9.1000298e+01	 1.9990042e+05
 9.2000191e+01	 1.9996605e+05
 9.3000099e+01	 2.0001981e+05
 9.4000137e+01	 2.0004759e+05
 9.5000000e+01	 2.0010897e+05
 9.6000092e+01	 2.0014277e+05
 9.7000175e+01	 2.0019216e+05
 9.8000183e+01	 2.0022388e+05
 9.9000107e+01	 2.0025486e+05
 1.0000025e+02	 2.0029031e+05
 1.0100002e+02	 2.0031625e+05
 1.0200014e+02	 2.0035319e+05
 1.0300003e+02	 2.0038131e+05
 1.0400006e+02	 2.0041264e+05
 1.0500019e+02	 2.0043247e+05
 1.0600016e+02	 2.0045556e+05
 1.0700005e+02	 2.0048673e+05
 1.0800005e+02	 2.0051003e+05
 1.0900005e+02	 2.0054005e+05
 1.1000010e+02	 2.0056580e+05
 1.1100005e+02	 2.0059125e+05
 1.1200005e+02	 2.0061108e+05
 1.1300011e+02	 2.0062658e+05
 1.1400004e+02	 2.0065933e+05
 1.1500005e+02	 2.0068208e+05
 1.1600015e+02	 2.0071439e+05
 1.1700007e+02	 2.0073372e+05
 1.1800004e+02	 2.0075722e+05
 1.1900003e+02	 2.0077812e+05
 1.2000007e+02	 2.0079589e+05
 1.2100005e+02	 2.0082569e+05
 1.2200008e+02	 2.0084550e+05
 1.2300022e+02	 2.0087661e+05
 1.2400007e+02	 2.0089119e+05
 1.2500008e+02	 2.0091491e+05
 1.2600005e+02	 2.0094789e+05
 1.2700005e+02	 2.0096066e+05
