Time(s)	PK(1,45)
 0.0000000e+00	 2.0000000e+03
 1.0005618e+00	 1.6906168e+07
 2.0000894e+00	 1.8062714e+07
 3.0001235e+00	 1.8358066e+07
 4.0000744e+00	 1.8504598e+07
 5.0000405e+00	 1.8686658e+07
 6.0000234e+00	 1.8737544e+07
 7.0002379e+00	 1.8888390e+07
 8.0000887e+00	 1.8921408e+07
 9.0000124e+00	 1.8975070e+07
 1.0000108e+01	 1.9020214e+07
 1.1000061e+01	 1.9042386e+07
 1.2000055e+01	 1.9077306e+07
 1.3000238e+01	 1.9107106e+07
 1.4000112e+01	 1.9128760e+07
 1.5000147e+01	 1.9142038e+07
 1.6000036e+01	 1.9156884e+07
 1.7000031e+01	 1.9166136e+07
 1.8000051e+01	 1.9173040e+07
 1.9000219e+01	 1.9177204e+07
 2.0000223e+01	 1.9181926e+07
 2.1000031e+01	 1.9185828e+07
 2.2000093e+01	 1.9189000e+07
 2.3000038e+01	 1.9190618e+07
 2.4000010e+01	 1.9190952e+07
 2.5000067e+01	 1.9190778e+07
 2.6000111e+01	 1.9190528e+07
 2.7000292e+01	 1.9190326e+07
 2.8000111e+01	 1.9190240e+07
 2.9000072e+01	 1.9190130e+07
 3.0000034e+01	 1.9189956e+07
 3.1000008e+01	 1.9189804e+07
 3.2000217e+01	 1.9189518e+07
 3.3000145e+01	 1.9189248e+07
 3.4000019e+01	 1.9189042e+07
 3.5000225e+01	 1.9188906e+07
 3.6000263e+01	 1.9188802e+07
 3.7000000e+01	 1.9188676e+07
 3.8000050e+01	 1.9188502e+07
 3.9000404e+01	 1.9188314e+07
 4.0000118e+01	 1.9188146e+07
 4.1000126e+01	 1.9187996e+07
 4.2000221e+01	 1.9187860e+07
 4.3000244e+01	 1.9187738e+07
 4.4000210e+01	 1.9187616e+07
 4.5000088e+01	 1.9187504e+07
 4.6000092e+01	 1.9187392e+07
 4.7000141e+01	 1.9187284e+07
 4.8000240e+01	 1.9187178e+07
 4.9000008e+01	 1.9187082e+07
 5.0000221e+01	 1.9186990e+07
 5.1000072e+01	 1.9186904e+07
 5.2000053e+01	 1.9186822e+07
 5.3000069e+01	 1.9186746e+07
 5.4000187e+01	 1.9186678e+07
 5.5000172e+01	 1.9186612e+07
 5.6000126e+01	 1.9186550e+07
