Time(s)	RBGK5(1,45)	RBGK5(2,45)	RBGK5(3,45)
 0.0000000e+00	 1.7761996e-02	 1.7761996e-02	 1.7761996e-02
 1.0005618e+00	 1.8237251e+01	 3.1153381e+01	 2.3552488e+01
 2.0000894e+00	 2.2171814e+01	 4.3136650e+01	 3.6778530e+01
 3.0001235e+00	 8.8648972e+01	 8.8463699e+01	 8.8907715e+01
 4.0000744e+00	 8.9658363e+01	 8.9601967e+01	 8.9591942e+01
 5.0000405e+00	 9.0816200e+01	 9.1003342e+01	 9.0609131e+01
 6.0000234e+00	 9.1489410e+01	 9.1779160e+01	 9.1789299e+01
 7.0002379e+00	 9.2360931e+01	 9.2254044e+01	 9.2248955e+01
 8.0000887e+00	 9.2798271e+01	 9.2708504e+01	 9.2539406e+01
 9.0000124e+00	 9.2973297e+01	 9.2961098e+01	 9.2889442e+01
 1.0000108e+01	 9.3080811e+01	 9.3086189e+01	 9.3091293e+01
 1.1000061e+01	 9.3215584e+01	 9.3174568e+01	 9.3157158e+01
 1.2000055e+01	 9.3409065e+01	 9.3350967e+01	 9.3300812e+01
 1.3000238e+01	 9.3535149e+01	 9.3490952e+01	 9.3438911e+01
 1.4000112e+01	 9.3615799e+01	 9.3582947e+01	 9.3537521e+01
 1.5000147e+01	 9.3662651e+01	 9.3634247e+01	 9.3597618e+01
 1.6000036e+01	 9.3713074e+01	 9.3687538e+01	 9.3657158e+01
 1.7000031e+01	 9.3742676e+01	 9.3721420e+01	 9.3694801e+01
 1.8000051e+01	 9.3764038e+01	 9.3746773e+01	 9.3723824e+01
 1.9000219e+01	 9.3776512e+01	 9.3762856e+01	 9.3743195e+01
 2.0000223e+01	 9.3792038e+01	 9.3781601e+01	 9.3764511e+01
 2.1000031e+01	 9.3805443e+01	 9.3798042e+01	 9.3783066e+01
 2.2000093e+01	 9.3816513e+01	 9.3811981e+01	 9.3799263e+01
 2.3000038e+01	 9.3822159e+01	 9.3819717e+01	 9.3810097e+01
 2.4000010e+01	 9.3823318e+01	 9.3822136e+01	 9.3815659e+01
 2.5000067e+01	 9.3822716e+01	 9.3822189e+01	 9.3818230e+01
 2.6000111e+01	 9.3821861e+01	 9.3821617e+01	 9.3819366e+01
 2.7000292e+01	 9.3821808e+01	 9.3821121e+01	 9.3819778e+01
 2.8000111e+01	 9.3828094e+01	 9.3822121e+01	 9.3819923e+01
 2.9000072e+01	 9.3840714e+01	 9.3825729e+01	 9.3819809e+01
 3.0000034e+01	 9.3849670e+01	 9.3830078e+01	 9.3819633e+01
 3.1000008e+01	 9.3849190e+01	 9.3831871e+01	 9.3820045e+01
 3.2000217e+01	 9.3845108e+01	 9.3830482e+01	 9.3819901e+01
 3.3000145e+01	 9.3839844e+01	 9.3827484e+01	 9.3819374e+01
 3.4000019e+01	 9.3834412e+01	 9.3824219e+01	 9.3818916e+01
 3.5000225e+01	 9.3829506e+01	 9.3821785e+01	 9.3818604e+01
 3.6000263e+01	 9.3825729e+01	 9.3820251e+01	 9.3818344e+01
 3.7000000e+01	 9.3823036e+01	 9.3819168e+01	 9.3817963e+01
 3.8000050e+01	 9.3821030e+01	 9.3818207e+01	 9.3817390e+01
 3.9000404e+01	 9.3819504e+01	 9.3817352e+01	 9.3816772e+01
 4.0000118e+01	 9.3818336e+01	 9.3816643e+01	 9.3816208e+01
 4.1000126e+01	 9.3817383e+01	 9.3816032e+01	 9.3815697e+01
 4.2000221e+01	 9.3816574e+01	 9.3815498e+01	 9.3815247e+01
 4.3000244e+01	 9.3815872e+01	 9.3815025e+01	 9.3814842e+01
 4.4000210e+01	 9.3815224e+01	 9.3814590e+01	 9.3814659e+01
 4.5000088e+01	 9.3814697e+01	 9.3814224e+01	 9.3814735e+01
 4.6000092e+01	 9.3814247e+01	 9.3813866e+01	 9.3814766e+01
 4.7000141e+01	 9.3813858e+01	 9.3813499e+01	 9.3814377e+01
 4.8000240e+01	 9.3813492e+01	 9.3813179e+01	 9.3813919e+01
 4.9000008e+01	 9.3813156e+01	 9.3812897e+01	 9.3813454e+01
 5.0000221e+01	 9.3812843e+01	 9.3812637e+01	 9.3813019e+01
 5.1000072e+01	 9.3812645e+01	 9.3812386e+01	 9.3812630e+01
 5.2000053e+01	 9.3813797e+01	 9.3812286e+01	 9.3812309e+01
 5.3000069e+01	 9.3815826e+01	 9.3812462e+01	 9.3812080e+01
 5.4000187e+01	 9.3818092e+01	 9.3812706e+01	 9.3811905e+01
