Time(s)	RBGK5(1,45)	RBGK5(2,45)	RBGK5(3,45)
 5.5000172e+01	 9.3818306e+01	 9.3812599e+01	 9.3811752e+01
 5.6000126e+01	 9.3817177e+01	 9.3812294e+01	 9.3811615e+01
 5.7000072e+01	 9.3815674e+01	 9.3811951e+01	 9.3811462e+01
 5.8000153e+01	 9.3814323e+01	 9.3811638e+01	 9.3811317e+01
 5.9000050e+01	 9.3813332e+01	 9.3811386e+01	 9.3811264e+01
 6.0000069e+01	 9.3812645e+01	 9.3811272e+01	 9.3811844e+01
 6.1000160e+01	 9.3812279e+01	 9.3811325e+01	 9.3812813e+01
 6.2000050e+01	 9.3812057e+01	 9.3811447e+01	 9.3813828e+01
 6.3000099e+01	 9.3811852e+01	 9.3811508e+01	 9.3814247e+01
 6.4000069e+01	 9.3811668e+01	 9.3811455e+01	 9.3814201e+01
 6.5000206e+01	 9.3811485e+01	 9.3811340e+01	 9.3814026e+01
 6.6000069e+01	 9.3811333e+01	 9.3811218e+01	 9.3813858e+01
 6.7000069e+01	 9.3811668e+01	 9.3811272e+01	 9.3813881e+01
 6.8000008e+01	 9.3811958e+01	 9.3811264e+01	 9.3813744e+01
 6.9000237e+01	 9.3812057e+01	 9.3811333e+01	 9.3813614e+01
 7.0000122e+01	 9.3811928e+01	 9.3811432e+01	 9.3813477e+01
 7.1000031e+01	 9.3811699e+01	 9.3811539e+01	 9.3813339e+01
 7.2000282e+01	 9.3811623e+01	 9.3811798e+01	 9.3813477e+01
 7.3000183e+01	 9.3811409e+01	 9.3811905e+01	 9.3813629e+01
 7.4000183e+01	 9.3811340e+01	 9.3812149e+01	 9.3814034e+01
 7.5000305e+01	 9.3811241e+01	 9.3812340e+01	 9.3814423e+01
 7.6000069e+01	 9.3811050e+01	 9.3812378e+01	 9.3814682e+01
 7.7000076e+01	 9.3810867e+01	 9.3812386e+01	 9.3814903e+01
 7.8000130e+01	 9.3810829e+01	 9.3812492e+01	 9.3815193e+01
 7.9000114e+01	 9.3810661e+01	 9.3812454e+01	 9.3815308e+01
 8.0000267e+01	 9.3810493e+01	 9.3812424e+01	 9.3815399e+01
 8.1000061e+01	 9.3810471e+01	 9.3812576e+01	 9.3815605e+01
 8.2000206e+01	 9.3810356e+01	 9.3812614e+01	 9.3815643e+01
 8.3000099e+01	 9.3810280e+01	 9.3812698e+01	 9.3815674e+01
 8.4000252e+01	 9.3810341e+01	 9.3812965e+01	 9.3815826e+01
 8.5000237e+01	 9.3810226e+01	 9.3813133e+01	 9.3815811e+01
 8.6000008e+01	 9.3810059e+01	 9.3813339e+01	 9.3815773e+01
 8.7000046e+01	 9.3810074e+01	 9.3813721e+01	 9.3815872e+01
 8.8000107e+01	 9.3810028e+01	 9.3813965e+01	 9.3815811e+01
 8.9000130e+01	 9.3810295e+01	 9.3814377e+01	 9.3815926e+01
 9.0000092e+01	 9.3810799e+01	 9.3814842e+01	 9.3816132e+01
 9.1000298e+01	 9.3811142e+01	 9.3815002e+01	 9.3816093e+01
 9.2000191e+01	 9.3811546e+01	 9.3815140e+01	 9.3816101e+01
 9.3000099e+01	 9.3812096e+01	 9.3815399e+01	 9.3816292e+01
 9.4000137e+01	 9.3812469e+01	 9.3815514e+01	 9.3816376e+01
 9.5000000e+01	 9.3812836e+01	 9.3815659e+01	 9.3816490e+01
 9.6000092e+01	 9.3813286e+01	 9.3815918e+01	 9.3816711e+01
 9.7000175e+01	 9.3813553e+01	 9.3816002e+01	 9.3816727e+01
 9.8000183e+01	 9.3813812e+01	 9.3816071e+01	 9.3816681e+01
 9.9000107e+01	 9.3814072e+01	 9.3816116e+01	 9.3816574e+01
 1.0000025e+02	 9.3814484e+01	 9.3816261e+01	 9.3816589e+01
 1.0100002e+02	 9.3814728e+01	 9.3816238e+01	 9.3816467e+01
 1.0200014e+02	 9.3814957e+01	 9.3816193e+01	 9.3816360e+01
 1.0300003e+02	 9.3815155e+01	 9.3816147e+01	 9.3816261e+01
 1.0400006e+02	 9.3815575e+01	 9.3816360e+01	 9.3816437e+01
 1.0500019e+02	 9.3815666e+01	 9.3816284e+01	 9.3816338e+01
 1.0600016e+02	 9.3815735e+01	 9.3816208e+01	 9.3816246e+01
 1.0700005e+02	 9.3816391e+01	 9.3816757e+01	 9.3816795e+01
 1.0800005e+02	 9.3816368e+01	 9.3816650e+01	 9.3816673e+01
 1.0900005e+02	 9.3816322e+01	 9.3816544e+01	 9.3816566e+01
 1.1000010e+02	 9.3816284e+01	 9.3816452e+01	 9.3816467e+01
 1.1100005e+02	 9.3816383e+01	 9.3816513e+01	 9.3816528e+01
 1.1200005e+02	 9.3816322e+01	 9.3816422e+01	 9.3816437e+01
 1.1300011e+02	 9.3816269e+01	 9.3816338e+01	 9.3816353e+01
 1.1400004e+02	 9.3816246e+01	 9.3816292e+01	 9.3816307e+01
 1.1500005e+02	 9.3816307e+01	 9.3816345e+01	 9.3816353e+01
 1.1600015e+02	 9.3816246e+01	 9.3816269e+01	 9.3816277e+01
 1.1700007e+02	 9.3816185e+01	 9.3816200e+01	 9.3816216e+01
 1.1800004e+02	 9.3816261e+01	 9.3816277e+01	 9.3816284e+01
 1.1900003e+02	 9.3816345e+01	 9.3816353e+01	 9.3816368e+01
 1.2000007e+02	 9.3816566e+01	 9.3816574e+01	 9.3816589e+01
 1.2100005e+02	 9.3816475e+01	 9.3816483e+01	 9.3816498e+01
 1.2200008e+02	 9.3816391e+01	 9.3816399e+01	 9.3816406e+01
 1.2300022e+02	 9.3816315e+01	 9.3816315e+01	 9.3816330e+01
 1.2400007e+02	 9.3816399e+01	 9.3816406e+01	 9.3816414e+01
 1.2500008e+02	 9.3816513e+01	 9.3816513e+01	 9.3816528e+01
 1.2600005e+02	 9.3816437e+01	 9.3816437e+01	 9.3816460e+01
 1.2700005e+02	 9.3816368e+01	 9.3816376e+01	 9.3816452e+01
 1.2800008e+02	 9.3816299e+01	 9.3816353e+01	 9.3816498e+01
 1.2900026e+02	 9.3816643e+01	 9.3816765e+01	 9.3816994e+01
 1.3000006e+02	 9.3816566e+01	 9.3816780e+01	 9.3817085e+01
 1.3100023e+02	 9.3816521e+01	 9.3816833e+01	 9.3817184e+01
 1.3200002e+02	 9.3816490e+01	 9.3816895e+01	 9.3817268e+01
 1.3300009e+02	 9.3816566e+01	 9.3817039e+01	 9.3817398e+01
 1.3400003e+02	 9.3816711e+01	 9.3817230e+01	 9.3817558e+01
 1.3500020e+02	 9.3817596e+01	 9.3818130e+01	 9.3818420e+01
 1.3600014e+02	 9.3817154e+01	 9.3817680e+01	 9.3817932e+01
 1.3700008e+02	 9.3817154e+01	 9.3817657e+01	 9.3817879e+01
 1.3800002e+02	 9.3817154e+01	 9.3817619e+01	 9.3817833e+01
 1.3900027e+02	 9.3817276e+01	 9.3817726e+01	 9.3817947e+01
 1.4000012e+02	 9.3817238e+01	 9.3817680e+01	 9.3817917e+01
 1.4100006e+02	 9.3817459e+01	 9.3817909e+01	 9.3818161e+01
 1.4200020e+02	 9.3817383e+01	 9.3817841e+01	 9.3818108e+01
 1.4300023e+02	 9.3817329e+01	 9.3817802e+01	 9.3818077e+01
 1.4400017e+02	 9.3817596e+01	 9.3818085e+01	 9.3818352e+01
 1.4500008e+02	 9.3817528e+01	 9.3818008e+01	 9.3818260e+01
 1.4600002e+02	 9.3817451e+01	 9.3817924e+01	 9.3818146e+01
 1.4700005e+02	 9.3817650e+01	 9.3818100e+01	 9.3818298e+01
 1.4800018e+02	 9.3817993e+01	 9.3818405e+01	 9.3818573e+01
 1.4900020e+02	 9.3818649e+01	 9.3819023e+01	 9.3819168e+01
 1.5000011e+02	 9.3819000e+01	 9.3819321e+01	 9.3819450e+01
 1.5100027e+02	 9.3819206e+01	 9.3819496e+01	 9.3819611e+01
 1.5200009e+02	 9.3819595e+01	 9.3819847e+01	 9.3819954e+01
 1.5300018e+02	 9.3819618e+01	 9.3819847e+01	 9.3819939e+01
 1.5400015e+02	 9.3819717e+01	 9.3819923e+01	 9.3820007e+01
 1.5500002e+02	 9.3819572e+01	 9.3819756e+01	 9.3819832e+01
 1.5600008e+02	 9.3819717e+01	 9.3819878e+01	 9.3819946e+01
 1.5700009e+02	 9.3819550e+01	 9.3819695e+01	 9.3819748e+01
 1.5800018e+02	 9.3819275e+01	 9.3819397e+01	 9.3819443e+01
 1.5900018e+02	 9.3819328e+01	 9.3819427e+01	 9.3819458e+01
 1.6000003e+02	 9.3819534e+01	 9.3819611e+01	 9.3819641e+01
 1.6100005e+02	 9.3819229e+01	 9.3819290e+01	 9.3819305e+01
 1.6200008e+02	 9.3818924e+01	 9.3818970e+01	 9.3818993e+01
 1.6300006e+02	 9.3818810e+01	 9.3818848e+01	 9.3818863e+01
 1.6400012e+02	 9.2557747e+01	 9.2509300e+01	 9.2510323e+01
 1.6410002e+02	 5.6171203e-01	 5.0920862e-01	 4.8915154e-01
 1.6420000e+02	 1.1369558e-01	 1.0811062e-01	 1.0563844e-01
 1.6430002e+02	 1.0323712e+00	 9.0977961e-01	 4.7699177e-01
 1.6440001e+02	 6.1390388e-01	 5.8987093e-01	 5.7008338e-01
 1.6450003e+02	 3.7079433e-01	 7.5487339e-01	 6.9075483e-01
 1.6460002e+02	 2.0340392e-01	 6.0696059e-01	 8.0072427e-01
 1.6470001e+02	 1.5739712e-01	 2.6438457e-01	 3.3717918e-01
 1.6480003e+02	 7.6706886e-02	 1.6966315e-01	 2.7051416e-01
 1.6490002e+02	 6.9810510e-02	 9.9815637e-02	 1.0925145e-01
 1.6500003e+02	 6.9398537e-02	 1.4709337e-01	 1.0746956e-01
 1.6510007e+02	 8.3740845e-02	 3.4063011e-01	 3.3312926e-01
 1.6520001e+02	 1.2054165e-01	 3.0788422e-01	 3.5345507e-01
 1.6530002e+02	 2.2395924e-01	 4.5475540e-01	 3.7124619e-01
 1.6540002e+02	 9.7286284e-01	 1.0255837e+00	 9.1472960e-01
 1.6550002e+02	 9.2848158e-01	 8.6443985e-01	 8.6938483e-01
 1.6560004e+02	 9.1452879e-01	 7.4761534e-01	 7.3221928e-01
 1.6570004e+02	 1.6111351e+00	 1.3709060e+00	 7.5390285e-01
 1.6580003e+02	 1.3306296e+00	 1.3135604e+00	 1.4292816e+00
 1.6590004e+02	 1.0269860e+00	 9.5687371e-01	 1.1540264e+00
 1.6600005e+02	 1.4618493e+00	 1.3717537e+00	 1.4817948e+00
 1.6610001e+02	 2.0412526e+00	 1.8723099e+00	 1.7945929e+00
 1.6620007e+02	 2.4098525e+00	 2.6290333e+00	 2.1320500e+00
 1.6630000e+02	 2.7768154e+00	 2.7621822e+00	 2.2728858e+00
 1.6640010e+02	 2.3235514e+00	 2.2431080e+00	 2.2035298e+00
 1.6650000e+02	 2.0370090e+00	 2.0130813e+00	 2.0249815e+00
 1.6660007e+02	 1.8219174e+00	 1.8220098e+00	 1.8834385e+00
 1.6670003e+02	 1.4161054e+00	 1.5783842e+00	 1.6987953e+00
 1.6680000e+02	 1.3308662e+00	 1.3516771e+00	 1.4749658e+00
 1.6690005e+02	 1.3809192e+00	 1.3576251e+00	 1.4711170e+00
 1.6700006e+02	 1.3961143e+00	 1.3843944e+00	 1.4034727e+00
 1.6710001e+02	 1.4389099e+00	 1.4361914e+00	 1.4077294e+00
 1.6720006e+02	 1.3781180e+00	 1.4659182e+00	 1.4287840e+00
 1.6730003e+02	 1.3820648e+00	 1.4337585e+00	 1.4059463e+00
 1.6740001e+02	 1.3591325e+00	 1.3823467e+00	 1.3645118e+00
 1.6750000e+02	 1.3701730e+00	 1.3316135e+00	 1.3077331e+00
 1.6760002e+02	 1.2677523e+00	 1.1942306e+00	 1.1714287e+00
 1.6770000e+02	 1.1636555e+00	 1.1044444e+00	 1.0854377e+00
 1.6780000e+02	 1.0868027e+00	 1.0588076e+00	 1.0414037e+00
 1.6790001e+02	 1.0599836e+00	 1.0035422e+00	 9.8972607e-01
 1.6800005e+02	 1.2626231e+00	 9.5471704e-01	 9.2869997e-01
 1.6810002e+02	 9.7876179e-01	 8.9635992e-01	 8.7802368e-01
 1.6820003e+02	 1.6945629e+00	 8.9079696e-01	 8.2751536e-01
 1.6830003e+02	 1.1630497e+00	 8.0086643e-01	 7.8694373e-01
 1.6840002e+02	 8.8229334e-01	 7.6703811e-01	 7.4726850e-01
 1.6850000e+02	 7.4514830e-01	 7.2483033e-01	 7.2190529e-01
 1.6860008e+02	 8.1812704e-01	 7.2138053e-01	 7.1931839e-01
 1.6870001e+02	 8.1605375e-01	 7.0036221e-01	 7.0551890e-01
 1.6880006e+02	 1.1799291e+00	 7.4094272e-01	 6.9120628e-01
 1.6890001e+02	 7.4017441e-01	 6.4107788e-01	 6.5333962e-01
 1.6900002e+02	 7.3673767e-01	 6.1161554e-01	 6.2307149e-01
 1.6910005e+02	 8.5225481e-01	 5.8160442e-01	 5.8507943e-01
 1.6920010e+02	 3.8286653e-01	 5.8084786e-01	 5.8161539e-01
 1.6930003e+02	 2.3664042e-01	 5.7430589e-01	 5.7772589e-01
 1.6940005e+02	 1.6343471e-01	 5.4905999e-01	 5.5466354e-01
 1.6950003e+02	 1.9824533e-01	 5.5154163e-01	 5.4860950e-01
 1.6960005e+02	 1.0734246e-01	 5.3461194e-01	 5.3283566e-01
 1.6970004e+02	 9.6616991e-02	 5.3861314e-01	 5.2918988e-01
 1.6980008e+02	 8.6861320e-02	 5.4010803e-01	 5.2538753e-01
 1.6990001e+02	 8.5723497e-02	 5.4269493e-01	 5.2132207e-01
 1.7000003e+02	 8.7888204e-02	 5.5759448e-01	 5.2785575e-01
