Time(s)	TLK1(41,72)
 0.0000000e+00	 5.0800000e+02
 1.0005618e+00	 5.0802618e+02
 2.0000894e+00	 5.2224988e+02
 3.0001235e+00	 5.1978992e+02
 4.0000744e+00	 5.1552643e+02
 5.0000405e+00	 5.1041229e+02
 6.0000234e+00	 5.0970651e+02
 7.0002379e+00	 5.1170676e+02
 8.0000887e+00	 5.1768488e+02
 9.0000124e+00	 5.1000537e+02
 1.0000108e+01	 5.2836725e+02
 1.1000061e+01	 5.4528741e+02
 1.2000055e+01	 5.5936151e+02
 1.3000238e+01	 5.6749677e+02
 1.4000112e+01	 5.6968512e+02
 1.5000147e+01	 5.6848322e+02
 1.6000036e+01	 5.7087720e+02
 1.7000031e+01	 5.4904053e+02
 1.8000051e+01	 5.5956085e+02
 1.9000219e+01	 5.6651648e+02
 2.0000223e+01	 5.6915332e+02
 2.1000031e+01	 5.6464929e+02
 2.2000093e+01	 5.9303961e+02
 2.3000038e+01	 5.9453979e+02
 2.4000010e+01	 5.1648633e+02
 2.5000067e+01	 5.3284869e+02
 2.6000111e+01	 5.4026575e+02
 2.7000292e+01	 5.4907849e+02
 2.8000111e+01	 5.5398572e+02
 2.9000072e+01	 5.5719183e+02
 3.0000034e+01	 5.6211261e+02
 3.1000008e+01	 5.6733740e+02
 3.2000217e+01	 5.9261609e+02
 3.3000145e+01	 5.4626923e+02
 3.4000019e+01	 5.5017267e+02
 3.5000225e+01	 5.5100903e+02
 3.6000263e+01	 5.9426367e+02
 3.7000000e+01	 5.6091193e+02
 3.8000050e+01	 5.4863312e+02
 3.9000404e+01	 5.8356158e+02
 4.0000118e+01	 5.9286206e+02
 4.1000126e+01	 5.9521014e+02
 4.2000221e+01	 5.6249060e+02
 4.3000244e+01	 5.6418744e+02
 4.4000210e+01	 5.6891193e+02
 4.5000088e+01	 5.7392932e+02
 4.6000092e+01	 5.9512518e+02
 4.7000141e+01	 5.6333374e+02
 4.8000240e+01	 5.6849719e+02
 4.9000008e+01	 5.7465234e+02
 5.0000221e+01	 5.7753076e+02
 5.1000072e+01	 5.8021240e+02
 5.2000053e+01	 5.8228284e+02
 5.3000069e+01	 5.6868658e+02
 5.4000187e+01	 5.7371265e+02
 5.5000172e+01	 5.8182318e+02
 5.6000126e+01	 5.8537769e+02
 5.7000072e+01	 5.8674042e+02
 5.8000153e+01	 5.8812628e+02
 5.9000050e+01	 5.9693781e+02
 6.0000069e+01	 5.7763147e+02
 6.1000160e+01	 5.8033716e+02
 6.2000050e+01	 5.8277966e+02
 6.3000099e+01	 5.8506940e+02
 6.4000069e+01	 5.8673981e+02
 6.5000206e+01	 5.8759760e+02
 6.6000069e+01	 5.8944513e+02
 6.7000069e+01	 5.7655786e+02
 6.8000008e+01	 5.7750330e+02
 6.9000237e+01	 5.7835620e+02
 7.0000122e+01	 5.7889136e+02
 7.1000031e+01	 5.8040894e+02
 7.2000282e+01	 5.8088953e+02
 7.3000183e+01	 5.8155060e+02
 7.4000183e+01	 5.8204108e+02
 7.5000305e+01	 5.8262073e+02
 7.6000069e+01	 5.8303430e+02
 7.7000076e+01	 5.8345990e+02
 7.8000130e+01	 5.8425769e+02
 7.9000114e+01	 5.8467010e+02
 8.0000267e+01	 5.8549756e+02
 8.1000061e+01	 5.8558398e+02
 8.2000206e+01	 5.8563953e+02
 8.3000099e+01	 5.8570532e+02
 8.4000252e+01	 5.8575244e+02
 8.5000237e+01	 5.8578583e+02
 8.6000008e+01	 5.8581641e+02
 8.7000046e+01	 5.8584589e+02
 8.8000107e+01	 5.8603760e+02
 8.9000130e+01	 5.8586865e+02
 9.0000092e+01	 5.8659949e+02
 9.1000298e+01	 5.8751208e+02
 9.2000191e+01	 5.8832428e+02
 9.3000099e+01	 5.8870654e+02
 9.4000137e+01	 5.9317010e+02
 9.5000000e+01	 5.9480731e+02
 9.6000092e+01	 5.9513995e+02
 9.7000175e+01	 5.9562433e+02
 9.8000183e+01	 5.9630090e+02
 9.9000107e+01	 5.9679852e+02
 1.0000025e+02	 5.9581085e+02
 1.0100002e+02	 5.9076910e+02
 1.0200014e+02	 5.9190729e+02
 1.0300003e+02	 5.9213934e+02
 1.0400006e+02	 5.9263525e+02
 1.0500019e+02	 5.9286090e+02
 1.0600016e+02	 5.9313843e+02
 1.0700005e+02	 5.9252576e+02
 1.0800005e+02	 5.9413477e+02
 1.0900005e+02	 5.9342548e+02
 1.1000010e+02	 5.9347821e+02
 1.1100005e+02	 5.9349713e+02
 1.1200005e+02	 5.9352271e+02
