Time(s)	PK(50,19)
 0.0000000e+00	 1.6770000e+07
 1.0005618e+00	 1.6920000e+07
 2.0000894e+00	 1.6918484e+07
 3.0001235e+00	 1.6916970e+07
 4.0000744e+00	 1.6915454e+07
 5.0000405e+00	 1.6913940e+07
 6.0000234e+00	 1.6912424e+07
 7.0002379e+00	 1.6910908e+07
 8.0000887e+00	 1.6909394e+07
 9.0000124e+00	 1.6907878e+07
 1.0000108e+01	 1.6906364e+07
 1.1000061e+01	 1.6904848e+07
 1.2000055e+01	 1.6903334e+07
 1.3000238e+01	 1.6901818e+07
 1.4000112e+01	 1.6900302e+07
 1.5000147e+01	 1.6898788e+07
 1.6000036e+01	 1.6897272e+07
 1.7000031e+01	 1.6895758e+07
 1.8000051e+01	 1.6894242e+07
 1.9000219e+01	 1.6892726e+07
 2.0000223e+01	 1.6891212e+07
 2.1000031e+01	 1.6889696e+07
 2.2000093e+01	 1.6888182e+07
 2.3000038e+01	 1.6886666e+07
 2.4000010e+01	 1.6885152e+07
 2.5000067e+01	 1.6883636e+07
 2.6000111e+01	 1.6882122e+07
 2.7000292e+01	 1.6880606e+07
 2.8000111e+01	 1.6879090e+07
 2.9000072e+01	 1.6877576e+07
 3.0000034e+01	 1.6876060e+07
 3.1000008e+01	 1.6874546e+07
 3.2000217e+01	 1.6873030e+07
 3.3000145e+01	 1.6871514e+07
 3.4000019e+01	 1.6870000e+07
 3.5000225e+01	 1.6868484e+07
 3.6000263e+01	 1.6866970e+07
 3.7000000e+01	 1.6865454e+07
 3.8000050e+01	 1.6863940e+07
 3.9000404e+01	 1.6862424e+07
 4.0000118e+01	 1.6860908e+07
 4.1000126e+01	 1.6859394e+07
 4.2000221e+01	 1.6857878e+07
 4.3000244e+01	 1.6856364e+07
 4.4000210e+01	 1.6854848e+07
 4.5000088e+01	 1.6853334e+07
 4.6000092e+01	 1.6851818e+07
 4.7000141e+01	 1.6850302e+07
 4.8000240e+01	 1.6848788e+07
 4.9000008e+01	 1.6847272e+07
 5.0000221e+01	 1.6845758e+07
 5.1000072e+01	 1.6844242e+07
 5.2000053e+01	 1.6842728e+07
 5.3000069e+01	 1.6841212e+07
 5.4000187e+01	 1.6839696e+07
 5.5000172e+01	 1.6838182e+07
 5.6000126e+01	 1.6836666e+07
 5.7000072e+01	 1.6835152e+07
 5.8000153e+01	 1.6833636e+07
 5.9000050e+01	 1.6832122e+07
 6.0000069e+01	 1.6830606e+07
 6.1000160e+01	 1.6829090e+07
 6.2000050e+01	 1.6827576e+07
 6.3000099e+01	 1.6826060e+07
 6.4000069e+01	 1.6824546e+07
 6.5000206e+01	 1.6823030e+07
 6.6000069e+01	 1.6821516e+07
 6.7000069e+01	 1.6820000e+07
 6.8000008e+01	 1.6818484e+07
 6.9000237e+01	 1.6816970e+07
 7.0000122e+01	 1.6815454e+07
 7.1000031e+01	 1.6813940e+07
 7.2000282e+01	 1.6812424e+07
 7.3000183e+01	 1.6810908e+07
 7.4000183e+01	 1.6809394e+07
 7.5000305e+01	 1.6807878e+07
 7.6000069e+01	 1.6806364e+07
 7.7000076e+01	 1.6804848e+07
 7.8000130e+01	 1.6803334e+07
 7.9000114e+01	 1.6801818e+07
 8.0000267e+01	 1.6800302e+07
 8.1000061e+01	 1.6798788e+07
 8.2000206e+01	 1.6797272e+07
 8.3000099e+01	 1.6795758e+07
 8.4000252e+01	 1.6794242e+07
 8.5000237e+01	 1.6792726e+07
 8.6000008e+01	 1.6791212e+07
 8.7000046e+01	 1.6789696e+07
 8.8000107e+01	 1.6788182e+07
 8.9000130e+01	 1.6786666e+07
 9.0000092e+01	 1.6785152e+07
 9.1000298e+01	 1.6783636e+07
 9.2000191e+01	 1.6782120e+07
 9.3000099e+01	 1.6780606e+07
 9.4000137e+01	 1.6779090e+07
 9.5000000e+01	 1.6777576e+07
 9.6000092e+01	 1.6776060e+07
 9.7000175e+01	 1.6774545e+07
 9.8000183e+01	 1.6773030e+07
 9.9000107e+01	 1.6771515e+07
 1.0000025e+02	 1.6770000e+07
 1.0100002e+02	 1.6768750e+07
 1.0200014e+02	 1.6767500e+07
 1.0300003e+02	 1.6766250e+07
 1.0400006e+02	 1.6765000e+07
 1.0500019e+02	 1.6763750e+07
 1.0600016e+02	 1.6762500e+07
 1.0700005e+02	 1.6761250e+07
 1.0800005e+02	 1.6760000e+07
 1.0900005e+02	 1.6758750e+07
 1.1000010e+02	 1.6757500e+07
 1.1100005e+02	 1.6756250e+07
 1.1200005e+02	 1.6755000e+07
 1.1300011e+02	 1.6753750e+07
 1.1400004e+02	 1.6752500e+07
 1.1500005e+02	 1.6751250e+07
 1.1600015e+02	 1.6750000e+07
 1.1700007e+02	 1.6748750e+07
 1.1800004e+02	 1.6747500e+07
 1.1900003e+02	 1.6746250e+07
 1.2000007e+02	 1.6745000e+07
 1.2100005e+02	 1.6743750e+07
 1.2200008e+02	 1.6742500e+07
 1.2300022e+02	 1.6741250e+07
 1.2400007e+02	 1.6740000e+07
 1.2500008e+02	 1.6738750e+07
 1.2600005e+02	 1.6737500e+07
 1.2700005e+02	 1.6736250e+07
 1.2800008e+02	 1.6735000e+07
 1.2900026e+02	 1.6733750e+07
 1.3000006e+02	 1.6732500e+07
 1.3100023e+02	 1.6731250e+07
 1.3200002e+02	 1.6730000e+07
 1.3300009e+02	 1.6728750e+07
 1.3400003e+02	 1.6727500e+07
 1.3500020e+02	 1.6726250e+07
