Time(s)	TMPG(1,1)
 0.0000000e+00	 6.0300092e+02
 1.0005618e+00	 6.0001654e+02
 2.0000894e+00	 6.0488153e+02
 3.0001235e+00	 6.0321985e+02
 4.0000744e+00	 6.0203442e+02
 5.0000405e+00	 6.0305231e+02
 6.0000234e+00	 6.0016669e+02
 7.0002379e+00	 5.9759344e+02
 8.0000887e+00	 6.0065210e+02
 9.0000124e+00	 5.9932947e+02
 1.0000108e+01	 6.0008575e+02
 1.1000061e+01	 6.0106940e+02
 1.2000055e+01	 6.0175098e+02
 1.3000238e+01	 5.9768646e+02
 1.4000112e+01	 5.9833496e+02
 1.5000147e+01	 5.9868781e+02
 1.6000036e+01	 6.0116357e+02
 1.7000031e+01	 6.0224396e+02
 1.8000051e+01	 5.9841101e+02
 1.9000219e+01	 5.9895941e+02
 2.0000223e+01	 5.9754150e+02
 2.1000031e+01	 5.9844659e+02
 2.2000093e+01	 6.0079053e+02
 2.3000038e+01	 5.9945648e+02
 2.4000010e+01	 5.9990735e+02
 2.5000067e+01	 5.9824127e+02
 2.6000111e+01	 5.9880951e+02
 2.7000292e+01	 5.9879645e+02
 2.8000111e+01	 6.0036133e+02
 2.9000072e+01	 6.0231049e+02
 3.0000034e+01	 5.9922992e+02
 3.1000008e+01	 5.9939929e+02
 3.2000217e+01	 5.9903827e+02
 3.3000145e+01	 5.9931891e+02
 3.4000019e+01	 6.0126990e+02
 3.5000225e+01	 5.9953766e+02
 3.6000263e+01	 6.0028284e+02
 3.7000000e+01	 5.9847296e+02
 3.8000050e+01	 5.9952484e+02
 3.9000404e+01	 5.9932574e+02
 4.0000118e+01	 6.0125653e+02
 4.1000126e+01	 6.0227576e+02
 4.2000221e+01	 5.9910461e+02
 4.3000244e+01	 6.0018750e+02
 4.4000210e+01	 5.9958197e+02
 4.5000088e+01	 6.0015826e+02
 4.6000092e+01	 6.0083105e+02
 4.7000141e+01	 6.0098419e+02
 4.8000240e+01	 6.0158997e+02
 4.9000008e+01	 5.9984216e+02
 5.0000221e+01	 5.9956055e+02
 5.1000072e+01	 5.9946326e+02
 5.2000053e+01	 6.0061499e+02
 5.3000069e+01	 6.0162878e+02
 5.4000187e+01	 5.9985632e+02
 5.5000172e+01	 6.0026056e+02
 5.6000126e+01	 6.0002783e+02
 5.7000072e+01	 5.9995667e+02
 5.8000153e+01	 5.9990210e+02
 5.9000050e+01	 6.0148431e+02
 6.0000069e+01	 6.0233337e+02
 6.1000160e+01	 6.0019635e+02
 6.2000050e+01	 6.0068585e+02
 6.3000099e+01	 5.9993958e+02
 6.4000069e+01	 6.0039850e+02
 6.5000206e+01	 6.0087537e+02
 6.6000069e+01	 6.0135614e+02
 6.7000069e+01	 6.0220245e+02
 6.8000008e+01	 6.0038605e+02
 6.9000237e+01	 6.0072437e+02
 7.0000122e+01	 6.0034247e+02
 7.1000031e+01	 6.0140051e+02
 7.2000282e+01	 6.0222345e+02
 7.3000183e+01	 6.0071594e+02
 7.4000183e+01	 6.0142615e+02
 7.5000305e+01	 6.0042639e+02
 7.6000069e+01	 6.0102606e+02
 7.7000076e+01	 6.0082837e+02
 7.8000130e+01	 6.0210193e+02
 7.9000114e+01	 6.0270935e+02
 8.0000267e+01	 6.0081573e+02
 8.1000061e+01	 6.0104529e+02
 8.2000206e+01	 6.0087268e+02
 8.3000099e+01	 6.0156171e+02
 8.4000252e+01	 6.0212085e+02
 8.5000237e+01	 6.0110846e+02
 8.6000008e+01	 6.0183527e+02
 8.7000046e+01	 6.0086096e+02
 8.8000107e+01	 6.0109772e+02
 8.9000130e+01	 6.0125604e+02
 9.0000092e+01	 6.0232959e+02
 9.1000298e+01	 6.0272577e+02
 9.2000191e+01	 6.0066876e+02
 9.3000099e+01	 6.0152820e+02
 9.4000137e+01	 6.0110242e+02
 9.5000000e+01	 6.0175818e+02
 9.6000092e+01	 6.0208740e+02
 9.7000175e+01	 6.0171631e+02
 9.8000183e+01	 6.0178607e+02
 9.9000107e+01	 6.0138348e+02
 1.0000025e+02	 6.0154999e+02
 1.0100002e+02	 6.0167957e+02
 1.0200014e+02	 6.0224292e+02
 1.0300003e+02	 6.0271716e+02
 1.0400006e+02	 6.0168890e+02
 1.0500019e+02	 6.0173108e+02
 1.0600016e+02	 6.0157117e+02
 1.0700005e+02	 6.0170844e+02
 1.0800005e+02	 6.0191101e+02
 1.0900005e+02	 6.0253259e+02
 1.1000010e+02	 6.0269873e+02
 1.1100005e+02	 6.0177924e+02
 1.1200005e+02	 6.0184772e+02
 1.1300011e+02	 6.0172778e+02
 1.1400004e+02	 6.0212573e+02
 1.1500005e+02	 6.0254285e+02
 1.1600015e+02	 6.0196503e+02
 1.1700007e+02	 6.0182141e+02
 1.1800004e+02	 6.0178339e+02
 1.1900003e+02	 6.0192224e+02
 1.2000007e+02	 6.0203033e+02
 1.2100005e+02	 6.0256085e+02
 1.2200008e+02	 6.0286017e+02
 1.2300022e+02	 6.0196301e+02
 1.2400007e+02	 6.0181635e+02
 1.2500008e+02	 6.0195850e+02
 1.2600005e+02	 6.0225970e+02
 1.2700005e+02	 6.0250299e+02
 1.2800008e+02	 6.0223529e+02
 1.2900026e+02	 6.0245728e+02
 1.3000006e+02	 6.0192236e+02
 1.3100023e+02	 6.0204529e+02
 1.3200002e+02	 6.0184857e+02
 1.3300009e+02	 6.0254315e+02
 1.3400003e+02	 6.0275122e+02
 1.3500020e+02	 6.0216925e+02
 1.3600014e+02	 6.0212463e+02
 1.3700008e+02	 6.0203522e+02
 1.3800002e+02	 6.0220184e+02
 1.3900027e+02	 6.0120660e+02
 1.4000012e+02	 6.0083643e+02
 1.4100006e+02	 5.9942273e+02
 1.4200020e+02	 5.9973511e+02
 1.4300023e+02	 5.9942676e+02
 1.4400017e+02	 5.9977478e+02
 1.4500008e+02	 6.0047137e+02
 1.4600002e+02	 6.0035321e+02
 1.4700005e+02	 5.9960040e+02
 1.4800018e+02	 5.9926221e+02
 1.4900020e+02	 5.9925629e+02
 1.5000011e+02	 5.9964429e+02
 1.5100027e+02	 6.0029456e+02
 1.5200009e+02	 6.0028955e+02
 1.5300018e+02	 5.9966644e+02
 1.5400015e+02	 5.9931055e+02
 1.5500002e+02	 5.9500208e+02
 1.5600008e+02	 5.9661353e+02
 1.5700009e+02	 5.9712695e+02
 1.5800018e+02	 5.9555835e+02
 1.5900018e+02	 5.9480933e+02
 1.6000003e+02	 5.9381195e+02
