Time(s)	TMPG(1,1)
 1.6100005e+02	 5.9413806e+02
 1.6200008e+02	 5.9472827e+02
 1.6300006e+02	 5.9643506e+02
 1.6400012e+02	 5.8818939e+02
 1.6410002e+02	 7.2030676e+02
 1.6420000e+02	 6.8457941e+02
 1.6430002e+02	 6.8682739e+02
 1.6440001e+02	 6.9875293e+02
 1.6450003e+02	 6.8671558e+02
 1.6460002e+02	 6.7546368e+02
 1.6470001e+02	 6.7145074e+02
 1.6480003e+02	 6.6464294e+02
 1.6490002e+02	 6.5869916e+02
 1.6500003e+02	 6.5549353e+02
 1.6510007e+02	 6.5198749e+02
 1.6520001e+02	 6.4567267e+02
 1.6530002e+02	 6.4508783e+02
 1.6540002e+02	 6.4801831e+02
 1.6550002e+02	 6.4635730e+02
 1.6560004e+02	 6.4472040e+02
 1.6570004e+02	 6.4621246e+02
 1.6580003e+02	 6.4057489e+02
 1.6590004e+02	 6.3469391e+02
 1.6600005e+02	 6.3047687e+02
 1.6610001e+02	 6.2698810e+02
 1.6620007e+02	 6.2406866e+02
 1.6630000e+02	 6.1955945e+02
 1.6640010e+02	 6.1464062e+02
 1.6650000e+02	 6.1031427e+02
 1.6660007e+02	 6.0694641e+02
 1.6670003e+02	 6.0532520e+02
 1.6680000e+02	 6.0510321e+02
 1.6690005e+02	 6.0645392e+02
 1.6700006e+02	 6.0520520e+02
 1.6710001e+02	 6.0527325e+02
 1.6720006e+02	 6.0525238e+02
 1.6730003e+02	 6.0447595e+02
 1.6740001e+02	 6.0491235e+02
 1.6750000e+02	 6.0507666e+02
 1.6760002e+02	 6.0539581e+02
 1.6770000e+02	 6.0583429e+02
 1.6780000e+02	 6.0537891e+02
 1.6790001e+02	 6.0547107e+02
 1.6800005e+02	 6.0498474e+02
 1.6810002e+02	 6.0459711e+02
 1.6820003e+02	 6.0446497e+02
 1.6830003e+02	 6.0464252e+02
 1.6840002e+02	 6.0509143e+02
 1.6850000e+02	 6.0533075e+02
 1.6860008e+02	 6.0456909e+02
 1.6870001e+02	 6.0457758e+02
 1.6880006e+02	 6.0425262e+02
 1.6890001e+02	 6.0421411e+02
 1.6900002e+02	 6.0419830e+02
 1.6910005e+02	 6.0418304e+02
 1.6920010e+02	 6.0419513e+02
 1.6930003e+02	 6.0423615e+02
 1.6940005e+02	 6.0425916e+02
 1.6950003e+02	 6.0439832e+02
 1.6960005e+02	 6.0454773e+02
 1.6970004e+02	 6.0463782e+02
 1.6980008e+02	 6.0457678e+02
 1.6990001e+02	 6.0448956e+02
