Time(s)	MASFPG(1,1)
 0.0000000e+00	 2.1143708e-22
 1.0005618e+00	 2.3878278e-05
 2.0000894e+00	 1.9359253e-05
 3.0001235e+00	 1.9677937e-05
 4.0000744e+00	 3.8975617e-05
 5.0000405e+00	 1.9904950e-05
 6.0000234e+00	 3.4723329e-05
 7.0002379e+00	 3.2323424e-05
 8.0000887e+00	 3.7125199e-05
 9.0000124e+00	 4.0474784e-05
 1.0000108e+01	 5.2472784e-05
 1.1000061e+01	 2.6677384e-05
 1.2000055e+01	 6.1489627e-05
 1.3000238e+01	 8.8120534e-05
 1.4000112e+01	 8.9013862e-05
 1.5000147e+01	 6.1676408e-05
 1.6000036e+01	 3.0118465e-05
 1.7000031e+01	 4.8391244e-05
 1.8000051e+01	 8.3271945e-05
 1.9000219e+01	 1.0052617e-04
 2.0000223e+01	 8.9150133e-05
 2.1000031e+01	 6.5763285e-05
 2.2000093e+01	 3.6486257e-05
 2.3000038e+01	 5.3264459e-05
 2.4000010e+01	 7.7979254e-05
 2.5000067e+01	 1.0097022e-04
 2.6000111e+01	 9.8529548e-05
 2.7000292e+01	 7.1849121e-05
 2.8000111e+01	 4.0238916e-05
 2.9000072e+01	 4.2734551e-05
 3.0000034e+01	 8.0722188e-05
 3.1000008e+01	 1.0257470e-04
 3.2000217e+01	 9.0137182e-05
 3.3000145e+01	 6.5158485e-05
 3.4000019e+01	 3.8168400e-05
 3.5000225e+01	 5.9713962e-05
 3.6000263e+01	 8.7493390e-05
 3.7000000e+01	 1.0541111e-04
 3.8000050e+01	 9.9648678e-05
 3.9000404e+01	 7.1852461e-05
 4.0000118e+01	 3.8599457e-05
 4.1000126e+01	 5.1335519e-05
 4.2000221e+01	 8.7792629e-05
 4.3000244e+01	 1.0604729e-04
 4.4000210e+01	 9.7524375e-05
 4.5000088e+01	 7.5415577e-05
 4.6000092e+01	 5.0030219e-05
 4.7000141e+01	 5.1666153e-05
 4.8000240e+01	 7.9174315e-05
 4.9000008e+01	 1.0452735e-04
 5.0000221e+01	 1.1013189e-04
 5.1000072e+01	 9.0755515e-05
 5.2000053e+01	 6.2371102e-05
 5.3000069e+01	 4.8259637e-05
 5.4000187e+01	 7.1207825e-05
 5.5000172e+01	 9.7470154e-05
 5.6000126e+01	 1.1252760e-04
 5.7000072e+01	 1.0767083e-04
 5.8000153e+01	 8.1789753e-05
 5.9000050e+01	 4.9621038e-05
 6.0000069e+01	 5.6934263e-05
 6.1000160e+01	 8.5994499e-05
 6.2000050e+01	 1.0734386e-04
 6.3000099e+01	 1.0577404e-04
 6.4000069e+01	 9.2552335e-05
 6.5000206e+01	 5.9158523e-05
 6.6000069e+01	 5.3851669e-05
