Time(s)	MASN(1,10)
 1.5900018e+02	 2.8376634e-08
 1.6000003e+02	 2.8502829e-08
 1.6100005e+02	 2.8628943e-08
 1.6200008e+02	 2.8754991e-08
 1.6300006e+02	 2.8880924e-08
 1.6400012e+02	 2.9006754e-08
 1.6410002e+02	 2.9075455e-08
 1.6420000e+02	 2.9158569e-08
 1.6430002e+02	 2.9242212e-08
 1.6440001e+02	 2.9325610e-08
 1.6450003e+02	 2.9408795e-08
 1.6460002e+02	 2.9491607e-08
 1.6470001e+02	 2.9574254e-08
 1.6480003e+02	 2.9656816e-08
 1.6490002e+02	 2.9739322e-08
 1.6500003e+02	 2.9821773e-08
 1.6510007e+02	 2.9904214e-08
 1.6520001e+02	 2.9986513e-08
 1.6530002e+02	 3.0068829e-08
 1.6540002e+02	 3.0151103e-08
 1.6550002e+02	 3.0233306e-08
 1.6560004e+02	 3.0315491e-08
 1.6570004e+02	 3.0397587e-08
 1.6580003e+02	 3.0479637e-08
 1.6590004e+02	 3.0561640e-08
 1.6600005e+02	 3.0643605e-08
 1.6610001e+02	 3.0725474e-08
 1.6620007e+02	 3.0807357e-08
 1.6630000e+02	 3.0889108e-08
 1.6640010e+02	 3.0970924e-08
 1.6650000e+02	 3.1052544e-08
 1.6660007e+02	 3.1134224e-08
 1.6670003e+02	 3.1215794e-08
 1.6680000e+02	 3.1297319e-08
 1.6690005e+02	 3.1378836e-08
 1.6700006e+02	 3.1460278e-08
 1.6710001e+02	 3.1541614e-08
 1.6720006e+02	 3.1622989e-08
 1.6730003e+02	 3.1704310e-08
 1.6740001e+02	 3.1785621e-08
 1.6750000e+02	 3.1866950e-08
 1.6760002e+02	 3.1948289e-08
 1.6770000e+02	 3.2029568e-08
 1.6780000e+02	 3.2110862e-08
 1.6790001e+02	 3.2192165e-08
 1.6800005e+02	 3.2273483e-08
 1.6810002e+02	 3.2354730e-08
 1.6820003e+02	 3.2435999e-08
 1.6830003e+02	 3.2517271e-08
 1.6840002e+02	 3.2598518e-08
 1.6850000e+02	 3.2679750e-08
 1.6860008e+02	 3.2761044e-08
 1.6870001e+02	 3.2842213e-08
 1.6880006e+02	 3.2923463e-08
 1.6890001e+02	 3.3004611e-08
 1.6900002e+02	 3.3085819e-08
 1.6910005e+02	 3.3167037e-08
 1.6920010e+02	 3.3248259e-08
 1.6930003e+02	 3.3329371e-08
 1.6940005e+02	 3.3410533e-08
 1.6950003e+02	 3.3491656e-08
 1.6960005e+02	 3.3572817e-08
 1.6970004e+02	 3.3653944e-08
 1.6980008e+02	 3.3735095e-08
 1.6990001e+02	 3.3816129e-08
