Time(s)	MASF(1,1)
 0.0000000e+00	 2.0298218e+02
 1.0005618e+00	 2.0282285e+02
 2.0000894e+00	 2.0286189e+02
 3.0001235e+00	 2.0286975e+02
 4.0000744e+00	 2.0275838e+02
 5.0000405e+00	 2.0289662e+02
 6.0000234e+00	 2.0281172e+02
 7.0002379e+00	 2.0283351e+02
 8.0000887e+00	 2.0280592e+02
 9.0000124e+00	 2.0278839e+02
 1.0000108e+01	 2.0271445e+02
 1.1000061e+01	 2.0287929e+02
 1.2000055e+01	 2.0266205e+02
 1.3000238e+01	 2.0250056e+02
 1.4000112e+01	 2.0249681e+02
 1.5000147e+01	 2.0266969e+02
 1.6000036e+01	 2.0286795e+02
 1.7000031e+01	 2.0275568e+02
 1.8000051e+01	 2.0254205e+02
 1.9000219e+01	 2.0243645e+02
 2.0000223e+01	 2.0251039e+02
 2.1000031e+01	 2.0265674e+02
 2.2000093e+01	 2.0283910e+02
 2.3000038e+01	 2.0273718e+02
 2.4000010e+01	 2.0258549e+02
 2.5000067e+01	 2.0244652e+02
 2.6000111e+01	 2.0246307e+02
 2.7000292e+01	 2.0262993e+02
 2.8000111e+01	 2.0282663e+02
 2.9000072e+01	 2.0281223e+02
 3.0000034e+01	 2.0258064e+02
 3.1000008e+01	 2.0244754e+02
 3.2000217e+01	 2.0252647e+02
 3.3000145e+01	 2.0268225e+02
 3.4000019e+01	 2.0284972e+02
 3.5000225e+01	 2.0271935e+02
 3.6000263e+01	 2.0254938e+02
 3.7000000e+01	 2.0244270e+02
 3.8000050e+01	 2.0247900e+02
 3.9000404e+01	 2.0265205e+02
 4.0000118e+01	 2.0285773e+02
 4.1000126e+01	 2.0278064e+02
 4.2000221e+01	 2.0255998e+02
 4.3000244e+01	 2.0244865e+02
 4.4000210e+01	 2.0250340e+02
 4.5000088e+01	 2.0264056e+02
 4.6000092e+01	 2.0279791e+02
 4.7000141e+01	 2.0278957e+02
 4.8000240e+01	 2.0262178e+02
 4.9000008e+01	 2.0246980e+02
 5.0000221e+01	 2.0243756e+02
 5.1000072e+01	 2.0255821e+02
 5.2000053e+01	 2.0273325e+02
 5.3000069e+01	 2.0282115e+02
 5.4000187e+01	 2.0268332e+02
 5.5000172e+01	 2.0252423e+02
 5.6000126e+01	 2.0243425e+02
 5.7000072e+01	 2.0246594e+02
 5.8000153e+01	 2.0262605e+02
 5.9000050e+01	 2.0282373e+02
 6.0000069e+01	 2.0278036e+02
 6.1000160e+01	 2.0260556e+02
 6.2000050e+01	 2.0247656e+02
 6.3000099e+01	 2.0248868e+02
 6.4000069e+01	 2.0257100e+02
 6.5000206e+01	 2.0277618e+02
 6.6000069e+01	 2.0281009e+02
 6.7000069e+01	 2.0265051e+02
 6.8000008e+01	 2.0249469e+02
 6.9000237e+01	 2.0243571e+02
 7.0000122e+01	 2.0256816e+02
 7.1000031e+01	 2.0275414e+02
 7.2000282e+01	 2.0281660e+02
 7.3000183e+01	 2.0264810e+02
 7.4000183e+01	 2.0252713e+02
 7.5000305e+01	 2.0245720e+02
 7.6000069e+01	 2.0251697e+02
 7.7000076e+01	 2.0270628e+02
 7.8000130e+01	 2.0285538e+02
 7.9000114e+01	 2.0271826e+02
 8.0000267e+01	 2.0252290e+02
 8.1000061e+01	 2.0242326e+02
 8.2000206e+01	 2.0254172e+02
 8.3000099e+01	 2.0270482e+02
 8.4000252e+01	 2.0281200e+02
 8.5000237e+01	 2.0269948e+02
 8.6000008e+01	 2.0253970e+02
 8.7000046e+01	 2.0246725e+02
 8.8000107e+01	 2.0251367e+02
 8.9000130e+01	 2.0268483e+02
 9.0000092e+01	 2.0284988e+02
 9.1000298e+01	 2.0274802e+02
 9.2000191e+01	 2.0254489e+02
 9.3000099e+01	 2.0242593e+02
 9.4000137e+01	 2.0253073e+02
 9.5000000e+01	 2.0265453e+02
 9.6000092e+01	 2.0283781e+02
 9.7000175e+01	 2.0273433e+02
 9.8000183e+01	 2.0256659e+02
 9.9000107e+01	 2.0245964e+02
 1.0000025e+02	 2.0246431e+02
 1.0100002e+02	 2.0259784e+02
 1.0200014e+02	 2.0281009e+02
 1.0300003e+02	 2.0281258e+02
 1.0400006e+02	 2.0260077e+02
 1.0500019e+02	 2.0249623e+02
 1.0600016e+02	 2.0245961e+02
 1.0700005e+02	 2.0252260e+02
 1.0800005e+02	 2.0272406e+02
 1.0900005e+02	 2.0285330e+02
 1.1000010e+02	 2.0269423e+02
 1.1100005e+02	 2.0253954e+02
 1.1200005e+02	 2.0242445e+02
 1.1300011e+02	 2.0252928e+02
 1.1400004e+02	 2.0270886e+02
 1.1500005e+02	 2.0283022e+02
 1.1600015e+02	 2.0267131e+02
 1.1700007e+02	 2.0251828e+02
 1.1800004e+02	 2.0246255e+02
 1.1900003e+02	 2.0251599e+02
 1.2000007e+02	 2.0267902e+02
 1.2100005e+02	 2.0285924e+02
 1.2200008e+02	 2.0276709e+02
