Time(s)	MASN(1,7)
 0.0000000e+00	 3.1196121e-25
 1.0005618e+00	 3.1196121e-25
 2.0000894e+00	 3.1196121e-25
 3.0001235e+00	 3.1196121e-25
 4.0000744e+00	 3.1196121e-25
 5.0000405e+00	 3.1196121e-25
 6.0000234e+00	 3.1196121e-25
 7.0002379e+00	 3.1196121e-25
 8.0000887e+00	 3.1196121e-25
 9.0000124e+00	 3.1196121e-25
 1.0000108e+01	 3.1196121e-25
 1.1000061e+01	 3.1196121e-25
 1.2000055e+01	 3.1196121e-25
 1.3000238e+01	 3.1196121e-25
 1.4000112e+01	 3.1196121e-25
 1.5000147e+01	 3.1196121e-25
 1.6000036e+01	 3.1196121e-25
 1.7000031e+01	 3.1196121e-25
 1.8000051e+01	 3.1196121e-25
 1.9000219e+01	 3.1196121e-25
 2.0000223e+01	 3.1196121e-25
 2.1000031e+01	 3.1196121e-25
 2.2000093e+01	 3.1196121e-25
 2.3000038e+01	 3.1196121e-25
 2.4000010e+01	 3.1196121e-25
 2.5000067e+01	 3.1196121e-25
 2.6000111e+01	 3.1196121e-25
 2.7000292e+01	 3.1196121e-25
 2.8000111e+01	 3.1196121e-25
 2.9000072e+01	 3.1196121e-25
 3.0000034e+01	 3.1196121e-25
 3.1000008e+01	 3.1196121e-25
 3.2000217e+01	 3.1196121e-25
 3.3000145e+01	 3.1196121e-25
 3.4000019e+01	 3.1196121e-25
 3.5000225e+01	 3.1196121e-25
 3.6000263e+01	 3.1196121e-25
 3.7000000e+01	 3.1196121e-25
 3.8000050e+01	 3.1196121e-25
 3.9000404e+01	 3.1196121e-25
 4.0000118e+01	 3.1196121e-25
 4.1000126e+01	 3.1196121e-25
 4.2000221e+01	 3.1196121e-25
 4.3000244e+01	 3.1196121e-25
 4.4000210e+01	 3.1196121e-25
 4.5000088e+01	 3.1196121e-25
 4.6000092e+01	 3.1196121e-25
 4.7000141e+01	 3.1196121e-25
 4.8000240e+01	 3.1196121e-25
 4.9000008e+01	 3.1196121e-25
 5.0000221e+01	 3.1196121e-25
 5.1000072e+01	 3.1196121e-25
 5.2000053e+01	 3.1196121e-25
 5.3000069e+01	 3.1196121e-25
 5.4000187e+01	 3.1196121e-25
 5.5000172e+01	 3.1196121e-25
 5.6000126e+01	 3.1196121e-25
 5.7000072e+01	 3.1196121e-25
 5.8000153e+01	 3.1196121e-25
 5.9000050e+01	 3.1196121e-25
 6.0000069e+01	 3.1196121e-25
 6.1000160e+01	 3.1196121e-25
 6.2000050e+01	 3.1196121e-25
 6.3000099e+01	 3.1196121e-25
 6.4000069e+01	 3.1196121e-25
 6.5000206e+01	 3.1196121e-25
 6.6000069e+01	 3.1196121e-25
 6.7000069e+01	 3.1196121e-25
 6.8000008e+01	 3.1196121e-25
 6.9000237e+01	 3.1196121e-25
 7.0000122e+01	 3.1196121e-25
 7.1000031e+01	 3.1196121e-25
 7.2000282e+01	 3.1196121e-25
 7.3000183e+01	 3.1196121e-25
 7.4000183e+01	 3.1196121e-25
 7.5000305e+01	 3.1196121e-25
 7.6000069e+01	 3.1196121e-25
 7.7000076e+01	 3.1196121e-25
 7.8000130e+01	 3.1196121e-25
 7.9000114e+01	 3.1196121e-25
 8.0000267e+01	 3.1196121e-25
 8.1000061e+01	 3.1196121e-25
 8.2000206e+01	 3.1196121e-25
 8.3000099e+01	 3.1196121e-25
 8.4000252e+01	 3.1196121e-25
 8.5000237e+01	 3.1196121e-25
 8.6000008e+01	 3.1196121e-25
 8.7000046e+01	 3.1196121e-25
 8.8000107e+01	 3.1196121e-25
 8.9000130e+01	 3.1196121e-25
 9.0000092e+01	 3.1196121e-25
 9.1000298e+01	 3.1196121e-25
 9.2000191e+01	 3.1196121e-25
 9.3000099e+01	 3.1196121e-25
 9.4000137e+01	 3.1196121e-25
 9.5000000e+01	 3.1196121e-25
 9.6000092e+01	 3.1196121e-25
 9.7000175e+01	 3.1196121e-25
 9.8000183e+01	 3.1196121e-25
 9.9000107e+01	 3.1196121e-25
 1.0000025e+02	 3.1196121e-25
 1.0100002e+02	 3.1196121e-25
 1.0200014e+02	 3.1196121e-25
 1.0300003e+02	 3.1196121e-25
 1.0400006e+02	 3.1196121e-25
 1.0500019e+02	 3.1196121e-25
 1.0600016e+02	 3.1196121e-25
 1.0700005e+02	 3.1196121e-25
 1.0800005e+02	 3.1196121e-25
 1.0900005e+02	 3.1196121e-25
 1.1000010e+02	 3.1196121e-25
 1.1100005e+02	 3.1196121e-25
 1.1200005e+02	 3.1196121e-25
 1.1300011e+02	 3.1196121e-25
 1.1400004e+02	 3.1196121e-25
 1.1500005e+02	 3.1196121e-25
 1.1600015e+02	 3.1196121e-25
 1.1700007e+02	 3.1196121e-25
 1.1800004e+02	 3.1196121e-25
 1.1900003e+02	 3.1196121e-25
 1.2000007e+02	 3.1196121e-25
 1.2100005e+02	 3.1196121e-25
 1.2200008e+02	 3.1196121e-25
 1.2300022e+02	 3.1196121e-25
 1.2400007e+02	 3.1196121e-25
 1.2500008e+02	 3.1196121e-25
 1.2600005e+02	 3.1196121e-25
 1.2700005e+02	 3.1196121e-25
 1.2800008e+02	 3.1196121e-25
 1.2900026e+02	 3.1196121e-25
 1.3000006e+02	 3.1196121e-25
 1.3100023e+02	 3.1196121e-25
 1.3200002e+02	 3.1196121e-25
 1.3300009e+02	 3.1196121e-25
 1.3400003e+02	 3.1196121e-25
 1.3500020e+02	 3.1196121e-25
 1.3600014e+02	 3.1196121e-25
 1.3700008e+02	 3.1196121e-25
 1.3800002e+02	 3.1196121e-25
 1.3900027e+02	 3.1196121e-25
 1.4000012e+02	 3.1196121e-25
 1.4100006e+02	 3.1196121e-25
 1.4200020e+02	 3.1196121e-25
 1.4300023e+02	 3.1196121e-25
 1.4400017e+02	 3.1196121e-25
 1.4500008e+02	 3.1196121e-25
 1.4600002e+02	 3.1196121e-25
 1.4700005e+02	 3.1196121e-25
 1.4800018e+02	 3.1196121e-25
 1.4900020e+02	 3.1196121e-25
 1.5000011e+02	 3.1196121e-25
 1.5100027e+02	 3.1196121e-25
 1.5200009e+02	 3.1196121e-25
 1.5300018e+02	 3.1196121e-25
 1.5400015e+02	 3.1196121e-25
 1.5500002e+02	 3.1196121e-25
 1.5600008e+02	 3.1196121e-25
 1.5700009e+02	 3.1196121e-25
 1.5800018e+02	 3.1196121e-25
 1.5900018e+02	 3.1196121e-25
 1.6000003e+02	 3.1196121e-25
 1.6100005e+02	 3.1196121e-25
 1.6200008e+02	 3.1196121e-25
 1.6300006e+02	 3.1196121e-25
 1.6400012e+02	 3.1196121e-25
 1.6410002e+02	 3.1196121e-25
 1.6420000e+02	 3.1196121e-25
 1.6430002e+02	 3.1196121e-25
 1.6440001e+02	 4.9682156e-16
 1.6450003e+02	 4.8912426e-16
 1.6460002e+02	 1.7392625e-09
 1.6470001e+02	 1.0059154e-08
 1.6480003e+02	 1.5174335e-08
 1.6490002e+02	 2.1723164e-08
 1.6500003e+02	 3.3441530e-08
 1.6510007e+02	 4.2211212e-08
 1.6520001e+02	 5.3616809e-08
 1.6530002e+02	 7.1950943e-08
 1.6540002e+02	 9.4923031e-08
 1.6550002e+02	 1.0425907e-07
 1.6560004e+02	 1.0608825e-07
 1.6570004e+02	 1.0709385e-07
 1.6580003e+02	 1.0426788e-07
 1.6590004e+02	 1.0429228e-07
 1.6600005e+02	 1.0291770e-07
 1.6610001e+02	 1.0316234e-07
 1.6620007e+02	 1.0262494e-07
 1.6630000e+02	 1.0223991e-07
 1.6640010e+02	 1.0201290e-07
 1.6650000e+02	 1.0197504e-07
 1.6660007e+02	 1.0143700e-07
 1.6670003e+02	 1.0121789e-07
 1.6680000e+02	 1.0124347e-07
 1.6690005e+02	 1.0154412e-07
 1.6700006e+02	 1.0165927e-07
 1.6710001e+02	 1.0152657e-07
 1.6720006e+02	 1.0153136e-07
 1.6730003e+02	 1.0163129e-07
 1.6740001e+02	 1.0176352e-07
 1.6750000e+02	 1.0203379e-07
 1.6760002e+02	 1.0224464e-07
 1.6770000e+02	 1.0253459e-07
 1.6780000e+02	 1.0255710e-07
 1.6790001e+02	 1.0267185e-07
 1.6800005e+02	 1.0302946e-07
 1.6810002e+02	 1.0329952e-07
 1.6820003e+02	 1.0335010e-07
 1.6830003e+02	 1.0363111e-07
 1.6840002e+02	 1.0398504e-07
 1.6850000e+02	 1.0438396e-07
 1.6860008e+02	 1.0459340e-07
 1.6870001e+02	 1.0475321e-07
 1.6880006e+02	 1.0489516e-07
 1.6890001e+02	 1.0497492e-07
 1.6900002e+02	 1.0507229e-07
 1.6910005e+02	 1.0517321e-07
 1.6920010e+02	 1.0522330e-07
 1.6930003e+02	 1.0524477e-07
 1.6940005e+02	 1.0525564e-07
 1.6950003e+02	 1.0534154e-07
 1.6960005e+02	 1.0553245e-07
 1.6970004e+02	 1.0566855e-07
 1.6980008e+02	 1.0567489e-07
 1.6990001e+02	 1.0559044e-07
