Time(s)	MASN1(1,1)
 0.0000000e+00	 2.1143708e-22
 1.0005618e+00	 2.1143708e-22
 2.0000894e+00	 2.1143708e-22
 3.0001235e+00	 2.1143708e-22
 4.0000744e+00	 2.1143708e-22
 5.0000405e+00	 2.1143708e-22
 6.0000234e+00	 2.1143708e-22
 7.0002379e+00	 2.1143708e-22
 8.0000887e+00	 2.1143708e-22
 9.0000124e+00	 2.1143708e-22
 1.0000108e+01	 2.1143708e-22
 1.1000061e+01	 2.1143708e-22
 1.2000055e+01	 2.1143708e-22
 1.3000238e+01	 2.1143708e-22
 1.4000112e+01	 2.1143708e-22
 1.5000147e+01	 2.1143708e-22
 1.6000036e+01	 2.1143708e-22
 1.7000031e+01	 2.1143708e-22
 1.8000051e+01	 2.1143708e-22
 1.9000219e+01	 2.1143708e-22
 2.0000223e+01	 2.1143708e-22
 2.1000031e+01	 2.1143708e-22
 2.2000093e+01	 2.1143708e-22
 2.3000038e+01	 2.1143708e-22
 2.4000010e+01	 2.1143708e-22
 2.5000067e+01	 2.1143708e-22
 2.6000111e+01	 2.1143708e-22
 2.7000292e+01	 2.1143708e-22
 2.8000111e+01	 2.1143708e-22
 2.9000072e+01	 2.1143708e-22
 3.0000034e+01	 2.1143708e-22
 3.1000008e+01	 2.1143708e-22
 3.2000217e+01	 2.1143708e-22
 3.3000145e+01	 2.1143708e-22
 3.4000019e+01	 2.1143708e-22
 3.5000225e+01	 2.1143708e-22
 3.6000263e+01	 2.1143708e-22
 3.7000000e+01	 2.1143708e-22
 3.8000050e+01	 2.1143708e-22
 3.9000404e+01	 2.1143708e-22
 4.0000118e+01	 2.1143708e-22
 4.1000126e+01	 2.1143708e-22
 4.2000221e+01	 2.1143708e-22
 4.3000244e+01	 2.1143708e-22
 4.4000210e+01	 2.1143708e-22
 4.5000088e+01	 2.1143708e-22
 4.6000092e+01	 2.1143708e-22
 4.7000141e+01	 2.1143708e-22
 4.8000240e+01	 2.1143708e-22
 4.9000008e+01	 2.1143708e-22
 5.0000221e+01	 2.1143708e-22
 5.1000072e+01	 2.1143708e-22
