Time(s)	MASF(1,4)
 0.0000000e+00	 2.9205236e-22
 1.0005618e+00	 1.4610474e-01
 2.0000894e+00	 1.1950379e-01
 3.0001235e+00	 1.1304213e-01
 4.0000744e+00	 2.2730562e-01
 5.0000405e+00	 8.3625570e-02
 6.0000234e+00	 1.6845937e-01
 7.0002379e+00	 1.4596640e-01
 8.0000887e+00	 1.7221124e-01
 9.0000124e+00	 1.9059996e-01
 1.0000108e+01	 2.6407838e-01
 1.1000061e+01	 1.0118778e-01
 1.2000055e+01	 3.0759424e-01
 1.3000238e+01	 4.8398176e-01
 1.4000112e+01	 4.8213422e-01
 1.5000147e+01	 3.0996504e-01
 1.6000036e+01	 1.1255983e-01
 1.7000031e+01	 2.2098216e-01
 1.8000051e+01	 4.4631505e-01
 1.9000219e+01	 5.4550666e-01
 2.0000223e+01	 4.7185886e-01
 2.1000031e+01	 3.0698428e-01
 2.2000093e+01	 1.4118516e-01
 2.3000038e+01	 2.4369834e-01
 2.4000010e+01	 3.7681291e-01
 2.5000067e+01	 5.4398209e-01
 2.6000111e+01	 5.3019637e-01
 2.7000292e+01	 3.5439646e-01
 2.8000111e+01	 1.4796108e-01
 2.9000072e+01	 1.6292742e-01
 3.0000034e+01	 4.0947559e-01
 3.1000008e+01	 5.4133993e-01
 3.2000217e+01	 4.6019256e-01
 3.3000145e+01	 2.8195667e-01
 3.4000019e+01	 1.2994067e-01
 3.5000225e+01	 2.6129070e-01
 3.6000263e+01	 4.2766109e-01
 3.7000000e+01	 5.5028039e-01
 3.8000050e+01	 5.1510507e-01
 3.9000404e+01	 3.2961589e-01
 4.0000118e+01	 1.2214348e-01
 4.1000126e+01	 1.9247636e-01
 4.2000221e+01	 4.2998040e-01
 4.3000244e+01	 5.3367078e-01
 4.4000210e+01	 4.8595801e-01
 4.5000088e+01	 3.2955864e-01
 4.6000092e+01	 1.8265715e-01
 4.7000141e+01	 1.8981488e-01
 4.8000240e+01	 3.4354135e-01
 4.9000008e+01	 5.1885486e-01
 5.0000221e+01	 5.4997170e-01
 5.1000072e+01	 4.2357042e-01
 5.2000053e+01	 2.3212053e-01
 5.3000069e+01	 1.5887608e-01
 5.4000187e+01	 2.9849491e-01
 5.5000172e+01	 4.4957045e-01
 5.6000126e+01	 5.5537641e-01
 5.7000072e+01	 5.2960438e-01
 5.8000153e+01	 3.5810086e-01
 5.9000050e+01	 1.4761007e-01
 6.0000069e+01	 2.0004360e-01
 6.1000160e+01	 3.7728727e-01
 6.2000050e+01	 5.0084418e-01
 6.3000099e+01	 5.0482035e-01
 6.4000069e+01	 3.9720789e-01
 6.5000206e+01	 2.0441537e-01
 6.6000069e+01	 1.7016508e-01
 6.7000069e+01	 3.1327197e-01
 6.8000008e+01	 4.9363989e-01
 6.9000237e+01	 5.5771577e-01
