Time(s)	MASF(1,2)
 0.0000000e+00	 1.3485166e+01
 1.0005618e+00	 1.3498452e+01
 2.0000894e+00	 1.3486033e+01
 3.0001235e+00	 1.3484616e+01
 4.0000744e+00	 1.3481676e+01
 5.0000405e+00	 1.3487096e+01
 6.0000234e+00	 1.3487135e+01
 7.0002379e+00	 1.3487864e+01
 8.0000887e+00	 1.3489219e+01
 9.0000124e+00	 1.3488434e+01
 1.0000108e+01	 1.3488837e+01
 1.1000061e+01	 1.3486894e+01
 1.2000055e+01	 1.3497680e+01
 1.3000238e+01	 1.3482748e+01
 1.4000112e+01	 1.3488378e+01
 1.5000147e+01	 1.3487732e+01
 1.6000036e+01	 1.3486798e+01
 1.7000031e+01	 1.3490754e+01
 1.8000051e+01	 1.3478931e+01
 1.9000219e+01	 1.3485414e+01
 2.0000223e+01	 1.3485076e+01
 2.1000031e+01	 1.3503603e+01
 2.2000093e+01	 1.3487093e+01
 2.3000038e+01	 1.3486447e+01
 2.4000010e+01	 1.3505021e+01
 2.5000067e+01	 1.3476860e+01
 2.6000111e+01	 1.3474106e+01
 2.7000292e+01	 1.3482949e+01
 2.8000111e+01	 1.3492723e+01
 2.9000072e+01	 1.3492183e+01
 3.0000034e+01	 1.3477276e+01
 3.1000008e+01	 1.3478425e+01
 3.2000217e+01	 1.3480696e+01
 3.3000145e+01	 1.3503116e+01
 3.4000019e+01	 1.3487637e+01
 3.5000225e+01	 1.3486719e+01
 3.6000263e+01	 1.3490300e+01
 3.7000000e+01	 1.3474427e+01
 3.8000050e+01	 1.3473219e+01
 3.9000404e+01	 1.3485646e+01
 4.0000118e+01	 1.3487460e+01
 4.1000126e+01	 1.3494182e+01
 4.2000221e+01	 1.3477416e+01
 4.3000244e+01	 1.3485025e+01
 4.4000210e+01	 1.3478010e+01
 4.5000088e+01	 1.3497224e+01
 4.6000092e+01	 1.3486790e+01
 4.7000141e+01	 1.3487962e+01
 4.8000240e+01	 1.3502036e+01
 4.9000008e+01	 1.3478804e+01
 5.0000221e+01	 1.3479771e+01
 5.1000072e+01	 1.3485521e+01
 5.2000053e+01	 1.3501967e+01
 5.3000069e+01	 1.3487336e+01
 5.4000187e+01	 1.3485514e+01
 5.5000172e+01	 1.3493514e+01
 5.6000126e+01	 1.3477735e+01
 5.7000072e+01	 1.3471816e+01
 5.8000153e+01	 1.3483186e+01
 5.9000050e+01	 1.3496006e+01
 6.0000069e+01	 1.3486917e+01
 6.1000160e+01	 1.3484434e+01
 6.2000050e+01	 1.3489913e+01
 6.3000099e+01	 1.3473859e+01
 6.4000069e+01	 1.3499132e+01
 6.5000206e+01	 1.3486757e+01
 6.6000069e+01	 1.3487062e+01
 6.7000069e+01	 1.3503532e+01
 6.8000008e+01	 1.3479021e+01
 6.9000237e+01	 1.3473898e+01
 7.0000122e+01	 1.3485384e+01
 7.1000031e+01	 1.3502151e+01
 7.2000282e+01	 1.3489505e+01
 7.3000183e+01	 1.3485020e+01
 7.4000183e+01	 1.3489027e+01
 7.5000305e+01	 1.3476674e+01
 7.6000069e+01	 1.3487932e+01
 7.7000076e+01	 1.3486738e+01
 7.8000130e+01	 1.3486952e+01
 7.9000114e+01	 1.3510978e+01
 8.0000267e+01	 1.3478991e+01
 8.1000061e+01	 1.3486230e+01
 8.2000206e+01	 1.3481635e+01
 8.3000099e+01	 1.3502650e+01
 8.4000252e+01	 1.3489630e+01
 8.5000237e+01	 1.3488965e+01
 8.6000008e+01	 1.3490821e+01
 8.7000046e+01	 1.3478661e+01
 8.8000107e+01	 1.3480503e+01
 8.9000130e+01	 1.3494484e+01
 9.0000092e+01	 1.3488367e+01
 9.1000298e+01	 1.3491924e+01
 9.2000191e+01	 1.3473402e+01
 9.3000099e+01	 1.3479593e+01
 9.4000137e+01	 1.3477749e+01
 9.5000000e+01	 1.3500478e+01
 9.6000092e+01	 1.3484144e+01
 9.7000175e+01	 1.3490603e+01
 9.8000183e+01	 1.3509040e+01
 9.9000107e+01	 1.3479327e+01
 1.0000025e+02	 1.3470772e+01
 1.0100002e+02	 1.3486119e+01
 1.0200014e+02	 1.3498085e+01
 1.0300003e+02	 1.3492372e+01
 1.0400006e+02	 1.3478960e+01
 1.0500019e+02	 1.3486067e+01
 1.0600016e+02	 1.3477362e+01
 1.0700005e+02	 1.3497545e+01
 1.0800005e+02	 1.3486361e+01
 1.0900005e+02	 1.3486749e+01
 1.1000010e+02	 1.3511471e+01
 1.1100005e+02	 1.3474436e+01
 1.1200005e+02	 1.3489951e+01
 1.1300011e+02	 1.3480739e+01
 1.1400004e+02	 1.3501346e+01
 1.1500005e+02	 1.3486959e+01
 1.1600015e+02	 1.3486403e+01
 1.1700007e+02	 1.3492174e+01
 1.1800004e+02	 1.3472454e+01
 1.1900003e+02	 1.3479860e+01
 1.2000007e+02	 1.3490242e+01
 1.2100005e+02	 1.3486846e+01
 1.2200008e+02	 1.3499442e+01
 1.2300022e+02	 1.3484105e+01
 1.2400007e+02	 1.3488708e+01
 1.2500008e+02	 1.3478980e+01
 1.2600005e+02	 1.3500674e+01
 1.2700005e+02	 1.3488011e+01
 1.2800008e+02	 1.3486429e+01
 1.2900026e+02	 1.3497811e+01
 1.3000006e+02	 1.3474559e+01
 1.3100023e+02	 1.3470645e+01
 1.3200002e+02	 1.3486370e+01
 1.3300009e+02	 1.3495842e+01
 1.3400003e+02	 1.3495216e+01
 1.3500020e+02	 1.3480734e+01
 1.3600014e+02	 1.3491420e+01
 1.3700008e+02	 1.3480880e+01
 1.3800002e+02	 1.3497087e+01
