Time(s)	TMPF(1,4)
 1.5900018e+02	 5.8829620e+02
 1.6000003e+02	 5.8912842e+02
 1.6100005e+02	 5.8893146e+02
 1.6200008e+02	 5.8940936e+02
 1.6300006e+02	 5.8960217e+02
 1.6400012e+02	 5.8350916e+02
 1.6410002e+02	 5.9597870e+02
 1.6420000e+02	 5.9692010e+02
 1.6430002e+02	 5.9721558e+02
 1.6440001e+02	 5.9714001e+02
 1.6450003e+02	 5.9710925e+02
 1.6460002e+02	 5.9706207e+02
 1.6470001e+02	 5.9705170e+02
 1.6480003e+02	 5.9706335e+02
 1.6490002e+02	 5.9707141e+02
 1.6500003e+02	 5.9706256e+02
 1.6510007e+02	 5.9701019e+02
 1.6520001e+02	 5.9694818e+02
 1.6530002e+02	 5.9690399e+02
 1.6540002e+02	 5.9682074e+02
 1.6550002e+02	 5.9678088e+02
 1.6560004e+02	 5.9671759e+02
 1.6570004e+02	 5.9668005e+02
 1.6580003e+02	 5.9666516e+02
 1.6590004e+02	 5.9664819e+02
 1.6600005e+02	 5.9667426e+02
 1.6610001e+02	 5.9666278e+02
 1.6620007e+02	 5.9663318e+02
 1.6630000e+02	 5.9662054e+02
 1.6640010e+02	 5.9662537e+02
 1.6650000e+02	 5.9661401e+02
 1.6660007e+02	 5.9657379e+02
 1.6670003e+02	 5.9655334e+02
 1.6680000e+02	 5.9654871e+02
 1.6690005e+02	 5.9654486e+02
 1.6700006e+02	 5.9650000e+02
 1.6710001e+02	 5.9650653e+02
 1.6720006e+02	 5.9652539e+02
 1.6730003e+02	 5.9654541e+02
 1.6740001e+02	 5.9656262e+02
 1.6750000e+02	 5.9660925e+02
 1.6760002e+02	 5.9659619e+02
 1.6770000e+02	 5.9662433e+02
 1.6780000e+02	 5.9671405e+02
 1.6790001e+02	 5.9680426e+02
 1.6800005e+02	 5.9687274e+02
 1.6810002e+02	 5.9695325e+02
 1.6820003e+02	 5.9700037e+02
 1.6830003e+02	 5.9697333e+02
 1.6840002e+02	 5.9700604e+02
 1.6850000e+02	 5.9705768e+02
 1.6860008e+02	 5.9707642e+02
 1.6870001e+02	 5.9703235e+02
 1.6880006e+02	 5.9703607e+02
 1.6890001e+02	 5.9705048e+02
 1.6900002e+02	 5.9706049e+02
 1.6910005e+02	 5.9707617e+02
 1.6920010e+02	 5.9709235e+02
 1.6930003e+02	 5.9709540e+02
 1.6940005e+02	 5.9709241e+02
 1.6950003e+02	 5.9710345e+02
 1.6960005e+02	 5.9712231e+02
 1.6970004e+02	 5.9714203e+02
 1.6980008e+02	 5.9716138e+02
 1.6990001e+02	 5.9717615e+02
