Time(s)	MASFPG(1,6)
 0.0000000e+00	 6.0432030e-05
 1.0005618e+00	 1.2437322e-02
 2.0000894e+00	 1.2437011e-02
 3.0001235e+00	 1.2436292e-02
 4.0000744e+00	 1.2435568e-02
 5.0000405e+00	 1.2434843e-02
 6.0000234e+00	 1.2434117e-02
 7.0002379e+00	 1.2433391e-02
 8.0000887e+00	 1.2432661e-02
 9.0000124e+00	 1.2431935e-02
 1.0000108e+01	 1.2431206e-02
 1.1000061e+01	 1.2430479e-02
 1.2000055e+01	 1.2429751e-02
 1.3000238e+01	 1.2429025e-02
 1.4000112e+01	 1.2428296e-02
 1.5000147e+01	 1.2427567e-02
 1.6000036e+01	 1.2426839e-02
 1.7000031e+01	 1.2426112e-02
 1.8000051e+01	 1.2425385e-02
 1.9000219e+01	 1.2424656e-02
 2.0000223e+01	 1.2423929e-02
 2.1000031e+01	 1.2423201e-02
 2.2000093e+01	 1.2422474e-02
 2.3000038e+01	 1.2421743e-02
 2.4000010e+01	 1.2421016e-02
 2.5000067e+01	 1.2420288e-02
 2.6000111e+01	 1.2419560e-02
 2.7000292e+01	 1.2418833e-02
 2.8000111e+01	 1.2418102e-02
 2.9000072e+01	 1.2417376e-02
 3.0000034e+01	 1.2416647e-02
 3.1000008e+01	 1.2415919e-02
 3.2000217e+01	 1.2415190e-02
 3.3000145e+01	 1.2414462e-02
 3.4000019e+01	 1.2413734e-02
 3.5000225e+01	 1.2413004e-02
 3.6000263e+01	 1.2412278e-02
 3.7000000e+01	 1.2411550e-02
 3.8000050e+01	 1.2410821e-02
 3.9000404e+01	 1.2410091e-02
 4.0000118e+01	 1.2409364e-02
 4.1000126e+01	 1.2408635e-02
 4.2000221e+01	 1.2407906e-02
 4.3000244e+01	 1.2407177e-02
 4.4000210e+01	 1.2406449e-02
 4.5000088e+01	 1.2405721e-02
 4.6000092e+01	 1.2404993e-02
 4.7000141e+01	 1.2404263e-02
 4.8000240e+01	 1.2403534e-02
 4.9000008e+01	 1.2402806e-02
 5.0000221e+01	 1.2402076e-02
 5.1000072e+01	 1.2401348e-02
 5.2000053e+01	 1.2400622e-02
 5.3000069e+01	 1.2399892e-02
 5.4000187e+01	 1.2399162e-02
 5.5000172e+01	 1.2398433e-02
 5.6000126e+01	 1.2397705e-02
 5.7000072e+01	 1.2396977e-02
 5.8000153e+01	 1.2396248e-02
 5.9000050e+01	 1.2395519e-02
 6.0000069e+01	 1.2394790e-02
 6.1000160e+01	 1.2394063e-02
 6.2000050e+01	 1.2393332e-02
 6.3000099e+01	 1.2392603e-02
 6.4000069e+01	 1.2391874e-02
 6.5000206e+01	 1.2391145e-02
 6.6000069e+01	 1.2390418e-02
 6.7000069e+01	 1.2389688e-02
 6.8000008e+01	 1.2388960e-02
 6.9000237e+01	 1.2388229e-02
 7.0000122e+01	 1.2387498e-02
 7.1000031e+01	 1.2386770e-02
 7.2000282e+01	 1.2386042e-02
 7.3000183e+01	 1.2385314e-02
 7.4000183e+01	 1.2384583e-02
 7.5000305e+01	 1.2383855e-02
 7.6000069e+01	 1.2383126e-02
 7.7000076e+01	 1.2382396e-02
 7.8000130e+01	 1.2381666e-02
 7.9000114e+01	 1.2380937e-02
 8.0000267e+01	 1.2380209e-02
 8.1000061e+01	 1.2379479e-02
 8.2000206e+01	 1.2378751e-02
 8.3000099e+01	 1.2378020e-02
 8.4000252e+01	 1.2377290e-02
 8.5000237e+01	 1.2376562e-02
 8.6000008e+01	 1.2375832e-02
 8.7000046e+01	 1.2375104e-02
 8.8000107e+01	 1.2374373e-02
 8.9000130e+01	 1.2373644e-02
 9.0000092e+01	 1.2372915e-02
 9.1000298e+01	 1.2372185e-02
 9.2000191e+01	 1.2371456e-02
 9.3000099e+01	 1.2370726e-02
 9.4000137e+01	 1.2369995e-02
 9.5000000e+01	 1.2369266e-02
 9.6000092e+01	 1.2368537e-02
 9.7000175e+01	 1.2367806e-02
 9.8000183e+01	 1.2367078e-02
 9.9000107e+01	 1.2366348e-02
 1.0000025e+02	 1.2365618e-02
 1.0100002e+02	 1.2365017e-02
 1.0200014e+02	 1.2364415e-02
 1.0300003e+02	 1.2363812e-02
 1.0400006e+02	 1.2363210e-02
 1.0500019e+02	 1.2362609e-02
 1.0600016e+02	 1.2362005e-02
 1.0700005e+02	 1.2361404e-02
 1.0800005e+02	 1.2360803e-02
 1.0900005e+02	 1.2360197e-02
 1.1000010e+02	 1.2359599e-02
 1.1100005e+02	 1.2358995e-02
 1.1200005e+02	 1.2358393e-02
 1.1300011e+02	 1.2357792e-02
 1.1400004e+02	 1.2357189e-02
 1.1500005e+02	 1.2356587e-02
