Time(s)	MASFPG(1,10)
 0.0000000e+00	 7.6127974e-03
 1.0005618e+00	 9.6327318e-03
 2.0000894e+00	 9.6322279e-03
 3.0001235e+00	 9.6316710e-03
 4.0000744e+00	 9.6311113e-03
 5.0000405e+00	 9.6305516e-03
 6.0000234e+00	 9.6299937e-03
 7.0002379e+00	 9.6294340e-03
 8.0000887e+00	 9.6288752e-03
 9.0000124e+00	 9.6283173e-03
 1.0000108e+01	 9.6277576e-03
 1.1000061e+01	 9.6271988e-03
 1.2000055e+01	 9.6266400e-03
 1.3000238e+01	 9.6260812e-03
 1.4000112e+01	 9.6255215e-03
 1.5000147e+01	 9.6249636e-03
 1.6000036e+01	 9.6244030e-03
 1.7000031e+01	 9.6238460e-03
 1.8000051e+01	 9.6232872e-03
 1.9000219e+01	 9.6227266e-03
 2.0000223e+01	 9.6221678e-03
 2.1000031e+01	 9.6216090e-03
 2.2000093e+01	 9.6210502e-03
 2.3000038e+01	 9.6204896e-03
 2.4000010e+01	 9.6199308e-03
 2.5000067e+01	 9.6193720e-03
 2.6000111e+01	 9.6188122e-03
 2.7000292e+01	 9.6182525e-03
 2.8000111e+01	 9.6176928e-03
 2.9000072e+01	 9.6171331e-03
 3.0000034e+01	 9.6165743e-03
 3.1000008e+01	 9.6160136e-03
 3.2000217e+01	 9.6154548e-03
 3.3000145e+01	 9.6148960e-03
 3.4000019e+01	 9.6143354e-03
 3.5000225e+01	 9.6137756e-03
 3.6000263e+01	 9.6132159e-03
 3.7000000e+01	 9.6126553e-03
 3.8000050e+01	 9.6120965e-03
 3.9000404e+01	 9.6115349e-03
 4.0000118e+01	 9.6109752e-03
 4.1000126e+01	 9.6104145e-03
 4.2000221e+01	 9.6098548e-03
 4.3000244e+01	 9.6092951e-03
 4.4000210e+01	 9.6087353e-03
 4.5000088e+01	 9.6081747e-03
 4.6000092e+01	 9.6076149e-03
 4.7000141e+01	 9.6070543e-03
 4.8000240e+01	 9.6064936e-03
 4.9000008e+01	 9.6059330e-03
 5.0000221e+01	 9.6053723e-03
 5.1000072e+01	 9.6048117e-03
 5.2000053e+01	 9.6042510e-03
 5.3000069e+01	 9.6036913e-03
 5.4000187e+01	 9.6031306e-03
 5.5000172e+01	 9.6025690e-03
 5.6000126e+01	 9.6020084e-03
 5.7000072e+01	 9.6014477e-03
 5.8000153e+01	 9.6008871e-03
 5.9000050e+01	 9.6003264e-03
 6.0000069e+01	 9.5997648e-03
 6.1000160e+01	 9.5992032e-03
 6.2000050e+01	 9.5986426e-03
 6.3000099e+01	 9.5980819e-03
 6.4000069e+01	 9.5975213e-03
 6.5000206e+01	 9.5969606e-03
 6.6000069e+01	 9.5963981e-03
 6.7000069e+01	 9.5958374e-03
 6.8000008e+01	 9.5952759e-03
