Time(s)	MASF(1,8)
 0.0000000e+00	 1.5343024e-22
 1.0005618e+00	 6.9835673e-20
 2.0000894e+00	 1.9683580e-17
 3.0001235e+00	 2.7911734e-17
 4.0000744e+00	 5.0718513e-17
 5.0000405e+00	 9.2159170e-17
 6.0000234e+00	 1.4188236e-16
 7.0002379e+00	 2.1797832e-16
 8.0000887e+00	 3.5093621e-16
 9.0000124e+00	 4.7475699e-16
 1.0000108e+01	 6.1472675e-16
 1.1000061e+01	 8.3616911e-16
 1.2000055e+01	 1.1006892e-15
 1.3000238e+01	 1.3002689e-15
 1.4000112e+01	 1.5828554e-15
 1.5000147e+01	 1.8660307e-15
 1.6000036e+01	 2.1835152e-15
 1.7000031e+01	 2.5054853e-15
 1.8000051e+01	 2.8320252e-15
 1.9000219e+01	 3.1991566e-15
 2.0000223e+01	 3.5784999e-15
 2.1000031e+01	 3.9200282e-15
 2.2000093e+01	 4.2931217e-15
 2.3000038e+01	 4.6386163e-15
 2.4000010e+01	 5.0143944e-15
 2.5000067e+01	 5.3326370e-15
 2.6000111e+01	 5.7069954e-15
 2.7000292e+01	 6.0625363e-15
 2.8000111e+01	 6.4219861e-15
 2.9000072e+01	 6.7819069e-15
 3.0000034e+01	 7.0994338e-15
 3.1000008e+01	 7.4963907e-15
 3.2000217e+01	 7.8198505e-15
 3.3000145e+01	 8.1784445e-15
 3.4000019e+01	 8.5609078e-15
 3.5000225e+01	 8.9425842e-15
 3.6000263e+01	 9.3375286e-15
 3.7000000e+01	 9.7022957e-15
 3.8000050e+01	 1.0122670e-14
 3.9000404e+01	 1.0493480e-14
 4.0000118e+01	 1.0851680e-14
 4.1000126e+01	 1.1229582e-14
 4.2000221e+01	 1.1592241e-14
 4.3000244e+01	 1.1959556e-14
 4.4000210e+01	 1.2352973e-14
 4.5000088e+01	 1.2721032e-14
 4.6000092e+01	 1.3167186e-14
 4.7000141e+01	 1.3552506e-14
 4.8000240e+01	 1.3994124e-14
 4.9000008e+01	 1.4390312e-14
 5.0000221e+01	 1.4784123e-14
 5.1000072e+01	 1.5163006e-14
 5.2000053e+01	 1.5547898e-14
 5.3000069e+01	 1.5947448e-14
 5.4000187e+01	 1.6314683e-14
 5.5000172e+01	 1.6684625e-14
 5.6000126e+01	 1.7067660e-14
 5.7000072e+01	 1.7453424e-14
 5.8000153e+01	 1.7841077e-14
 5.9000050e+01	 1.8202499e-14
 6.0000069e+01	 1.8585360e-14
 6.1000160e+01	 1.8943692e-14
 6.2000050e+01	 1.9349070e-14
 6.3000099e+01	 1.9706684e-14
 6.4000069e+01	 2.0070864e-14
 6.5000206e+01	 2.0440438e-14
 6.6000069e+01	 2.0803741e-14
 6.7000069e+01	 2.1168834e-14
 6.8000008e+01	 2.1524420e-14
 6.9000237e+01	 2.1890360e-14
 7.0000122e+01	 2.2274109e-14
 7.1000031e+01	 2.2654272e-14
 7.2000282e+01	 2.3032347e-14
 7.3000183e+01	 2.3438760e-14
 7.4000183e+01	 2.3855248e-14
 7.5000305e+01	 2.4259744e-14
 7.6000069e+01	 2.4697744e-14
 7.7000076e+01	 2.5128227e-14
 7.8000130e+01	 2.5495820e-14
 7.9000114e+01	 2.5898378e-14
 8.0000267e+01	 2.6284644e-14
 8.1000061e+01	 2.6660088e-14
 8.2000206e+01	 2.7082738e-14
 8.3000099e+01	 2.7491760e-14
 8.4000252e+01	 2.7905060e-14
 8.5000237e+01	 2.8467734e-14
 8.6000008e+01	 2.9004241e-14
 8.7000046e+01	 2.9359002e-14
 8.8000107e+01	 2.9699936e-14
 8.9000130e+01	 3.0092451e-14
 9.0000092e+01	 3.0535714e-14
 9.1000298e+01	 3.0951665e-14
 9.2000191e+01	 3.1474165e-14
 9.3000099e+01	 3.1970689e-14
 9.4000137e+01	 3.2381328e-14
 9.5000000e+01	 3.2738230e-14
