Time(s)	MASN1(1,4)
 0.0000000e+00	 1.8253274e-23
 1.0005618e+00	 1.8253274e-23
 2.0000894e+00	 1.8253274e-23
 3.0001235e+00	 1.8253274e-23
 4.0000744e+00	 1.8253274e-23
 5.0000405e+00	 1.8253274e-23
 6.0000234e+00	 1.8253274e-23
 7.0002379e+00	 1.8253274e-23
 8.0000887e+00	 1.8253274e-23
 9.0000124e+00	 1.8253274e-23
 1.0000108e+01	 1.8253274e-23
 1.1000061e+01	 1.8253274e-23
 1.2000055e+01	 1.8253274e-23
 1.3000238e+01	 1.8253274e-23
 1.4000112e+01	 1.8253274e-23
 1.5000147e+01	 1.8253274e-23
 1.6000036e+01	 1.8253274e-23
 1.7000031e+01	 1.8253274e-23
 1.8000051e+01	 1.8253274e-23
 1.9000219e+01	 1.8253274e-23
 2.0000223e+01	 1.8253274e-23
 2.1000031e+01	 1.8253274e-23
 2.2000093e+01	 1.8253274e-23
 2.3000038e+01	 1.8253274e-23
 2.4000010e+01	 1.8253274e-23
 2.5000067e+01	 1.8253274e-23
 2.6000111e+01	 1.8253274e-23
 2.7000292e+01	 1.8253274e-23
 2.8000111e+01	 1.8253274e-23
 2.9000072e+01	 1.8253274e-23
 3.0000034e+01	 1.8253274e-23
 3.1000008e+01	 1.8253274e-23
 3.2000217e+01	 1.8253274e-23
 3.3000145e+01	 1.8253274e-23
 3.4000019e+01	 1.8253274e-23
 3.5000225e+01	 1.8253274e-23
 3.6000263e+01	 1.8253274e-23
 3.7000000e+01	 1.8253274e-23
 3.8000050e+01	 1.8253274e-23
 3.9000404e+01	 1.8253274e-23
 4.0000118e+01	 1.8253274e-23
 4.1000126e+01	 1.8253274e-23
 4.2000221e+01	 1.8253274e-23
 4.3000244e+01	 1.8253274e-23
 4.4000210e+01	 1.8253274e-23
 4.5000088e+01	 1.8253274e-23
 4.6000092e+01	 1.8253274e-23
 4.7000141e+01	 1.8253274e-23
 4.8000240e+01	 1.8253274e-23
 4.9000008e+01	 1.8253274e-23
 5.0000221e+01	 1.8253274e-23
 5.1000072e+01	 1.8253274e-23
 5.2000053e+01	 1.8253274e-23
 5.3000069e+01	 1.8253274e-23
 5.4000187e+01	 1.8253274e-23
 5.5000172e+01	 1.8253274e-23
 5.6000126e+01	 1.8253274e-23
 5.7000072e+01	 1.8253274e-23
 5.8000153e+01	 1.8253274e-23
 5.9000050e+01	 1.8253274e-23
 6.0000069e+01	 1.8253274e-23
 6.1000160e+01	 1.8253274e-23
 6.2000050e+01	 1.8253274e-23
 6.3000099e+01	 1.8253274e-23
 6.4000069e+01	 1.8253274e-23
 6.5000206e+01	 1.8253274e-23
 6.6000069e+01	 1.8253274e-23
 6.7000069e+01	 1.8253274e-23
 6.8000008e+01	 1.8253274e-23
 6.9000237e+01	 1.8253274e-23
 7.0000122e+01	 1.8253274e-23
 7.1000031e+01	 1.8253274e-23
 7.2000282e+01	 1.8253274e-23
 7.3000183e+01	 1.8253274e-23
 7.4000183e+01	 1.8253274e-23
 7.5000305e+01	 1.8253274e-23
 7.6000069e+01	 1.8253274e-23
 7.7000076e+01	 1.8253274e-23
 7.8000130e+01	 1.8253274e-23
 7.9000114e+01	 1.8253274e-23
 8.0000267e+01	 1.8253274e-23
 8.1000061e+01	 1.8253274e-23
 8.2000206e+01	 1.8253274e-23
 8.3000099e+01	 1.8253274e-23
 8.4000252e+01	 1.8253274e-23
 8.5000237e+01	 1.8253274e-23
 8.6000008e+01	 1.8253274e-23
 8.7000046e+01	 1.8253274e-23
 8.8000107e+01	 1.8253274e-23
 8.9000130e+01	 1.8253274e-23
 9.0000092e+01	 1.8253274e-23
 9.1000298e+01	 1.8253274e-23
 9.2000191e+01	 1.8253274e-23
 9.3000099e+01	 1.8253274e-23
 9.4000137e+01	 1.8253274e-23
 9.5000000e+01	 1.8253274e-23
 9.6000092e+01	 1.8253274e-23
 9.7000175e+01	 1.8253274e-23
 9.8000183e+01	 1.8253274e-23
 9.9000107e+01	 1.8253274e-23
 1.0000025e+02	 1.8253274e-23
 1.0100002e+02	 1.8253274e-23
 1.0200014e+02	 1.8253274e-23
 1.0300003e+02	 1.8253274e-23
 1.0400006e+02	 1.8253274e-23
 1.0500019e+02	 1.8253274e-23
 1.0600016e+02	 1.8253274e-23
 1.0700005e+02	 1.8253274e-23
 1.0800005e+02	 1.8253274e-23
 1.0900005e+02	 1.8253274e-23
 1.1000010e+02	 1.8253274e-23
 1.1100005e+02	 1.8253274e-23
 1.1200005e+02	 1.8253274e-23
 1.1300011e+02	 1.8253274e-23
