Time(s)	GVOL(1,1)
 0.0000000e+00	-2.1143708e-22
 1.0005618e+00	 1.6625670e-05
 2.0000894e+00	 1.2566531e-05
 3.0001235e+00	 1.1751560e-05
 4.0000744e+00	 2.3355693e-05
 5.0000405e+00	 8.9575751e-06
 6.0000234e+00	 1.7800277e-05
 7.0002379e+00	 1.5533931e-05
 8.0000887e+00	 1.8409884e-05
 9.0000124e+00	 2.0244370e-05
 1.0000108e+01	 2.7940321e-05
 1.1000061e+01	 1.0770616e-05
 1.2000055e+01	 3.3394848e-05
 1.3000238e+01	 5.0213184e-05
 1.4000112e+01	 5.0607257e-05
 1.5000147e+01	 3.2606509e-05
 1.6000036e+01	 1.1946693e-05
 1.7000031e+01	 2.3652750e-05
 1.8000051e+01	 4.5893270e-05
 1.9000219e+01	 5.6900728e-05
 2.0000223e+01	 4.9194299e-05
 2.1000031e+01	 3.3950357e-05
 2.2000093e+01	 1.4960118e-05
 2.3000038e+01	 2.5571280e-05
 2.4000010e+01	 4.1372019e-05
 2.5000067e+01	 5.5851939e-05
 2.6000111e+01	 5.4128883e-05
 2.7000292e+01	 3.6738104e-05
 2.8000111e+01	 1.6253010e-05
 2.9000072e+01	 1.7755890e-05
 3.0000034e+01	 4.1884807e-05
 3.1000008e+01	 5.5740231e-05
 3.2000217e+01	 4.7524340e-05
 3.3000145e+01	 3.1293726e-05
 3.4000019e+01	 1.3846753e-05
 3.5000225e+01	 2.7433387e-05
 3.6000263e+01	 4.5136367e-05
 3.7000000e+01	 5.6255521e-05
 3.8000050e+01	 5.2465628e-05
 3.9000404e+01	 3.4438923e-05
 4.0000118e+01	 1.3016746e-05
 4.1000126e+01	 2.1043110e-05
 4.2000221e+01	 4.4036475e-05
 4.3000244e+01	 5.5629898e-05
 4.4000210e+01	 4.9929280e-05
 4.5000088e+01	 3.5639434e-05
 4.6000092e+01	 1.9250712e-05
 4.7000141e+01	 2.0118487e-05
 4.8000240e+01	 3.7597456e-05
 4.9000008e+01	 5.3439038e-05
 5.0000221e+01	 5.6781028e-05
 5.1000072e+01	 4.4213575e-05
 5.2000053e+01	 2.5984451e-05
 5.3000069e+01	 1.6830943e-05
 5.4000187e+01	 3.1184598e-05
 5.5000172e+01	 4.7754722e-05
 5.6000126e+01	 5.7132438e-05
 5.7000072e+01	 5.3831311e-05
 5.8000153e+01	 3.7151276e-05
 5.9000050e+01	 1.6560958e-05
 6.0000069e+01	 2.1076125e-05
 6.1000160e+01	 3.9280079e-05
 6.2000050e+01	 5.2720985e-05
 6.3000099e+01	 5.1463041e-05
 6.4000069e+01	 4.2886135e-05
 6.5000206e+01	 2.1515185e-05
 6.6000069e+01	 1.7979230e-05
 6.7000069e+01	 3.4601431e-05
 6.8000008e+01	 5.0836294e-05
 6.9000237e+01	 5.6977027e-05
 7.0000122e+01	 4.3179356e-05
 7.1000031e+01	 2.3812268e-05
 7.2000282e+01	 1.7302904e-05
 7.3000183e+01	 3.4853139e-05
 7.4000183e+01	 4.7460289e-05
 7.5000305e+01	 5.4745145e-05
 7.6000069e+01	 4.8513448e-05
 7.7000076e+01	 2.8794408e-05
 7.8000130e+01	 1.3263290e-05
 7.9000114e+01	 2.7546912e-05
 8.0000267e+01	 4.7892197e-05
 8.1000061e+01	 5.8274843e-05
 8.2000206e+01	 4.5937293e-05
 8.3000099e+01	 2.8949784e-05
 8.4000252e+01	 1.7778457e-05
 8.5000237e+01	 2.9500390e-05
 8.6000008e+01	 4.6143308e-05
 8.7000046e+01	 5.3691569e-05
 8.8000107e+01	 4.8860031e-05
 8.9000130e+01	 3.1020285e-05
 9.0000092e+01	 1.3840268e-05
 9.1000298e+01	 2.4450645e-05
 9.2000191e+01	 4.5598608e-05
 9.3000099e+01	 5.7988218e-05
 9.4000137e+01	 4.7083075e-05
 9.5000000e+01	 3.4188379e-05
 9.6000092e+01	 1.5097316e-05
 9.7000175e+01	 2.5872780e-05
 9.8000183e+01	 4.3341075e-05
 9.9000107e+01	 5.4489206e-05
 1.0000025e+02	 5.3996238e-05
 1.0100002e+02	 4.0083720e-05
 1.0200014e+02	 1.7981634e-05
 1.0300003e+02	 1.7723380e-05
 1.0400006e+02	 3.9776791e-05
 1.0500019e+02	 5.0671712e-05
 1.0600016e+02	 5.4482411e-05
 1.0700005e+02	 4.7928355e-05
 1.0800005e+02	 2.6943873e-05
 1.0900005e+02	 1.3478139e-05
