Time(s)	GVOL(1,1)
 1.1000010e+02	 3.0050282e-05
 1.1100005e+02	 4.6161440e-05
 1.1200005e+02	 5.8149388e-05
 1.1300011e+02	 4.7225767e-05
 1.1400004e+02	 2.8529017e-05
 1.1500005e+02	 1.5883510e-05
 1.1600015e+02	 3.2441207e-05
 1.1700007e+02	 4.8376522e-05
 1.1800004e+02	 5.4180833e-05
 1.1900003e+02	 4.8619539e-05
 1.2000007e+02	 3.1631360e-05
 1.2100005e+02	 1.2860723e-05
 1.2200008e+02	 2.2461227e-05
 1.2300022e+02	 4.4785262e-05
 1.2400007e+02	 5.9078273e-05
 1.2500008e+02	 4.8813930e-05
 1.2600005e+02	 3.2051292e-05
 1.2700005e+02	 1.5434935e-05
 1.2800008e+02	 2.2924896e-05
 1.2900026e+02	 3.9871909e-05
 1.3000006e+02	 5.3126489e-05
 1.3100023e+02	 5.4450869e-05
 1.3200002e+02	 3.8328988e-05
 1.3300009e+02	 1.6770298e-05
 1.3400003e+02	 2.0631149e-05
 1.3500020e+02	 3.9126968e-05
 1.3600014e+02	 5.3654683e-05
 1.3700008e+02	 5.2734315e-05
 1.3800002e+02	 4.1713662e-05
 1.3900027e+02	 2.2153068e-05
 1.4000012e+02	 1.8375873e-05
 1.4100006e+02	 3.7001115e-05
 1.4200020e+02	 5.2151805e-05
 1.4300023e+02	 5.5849578e-05
 1.4400017e+02	 3.8623330e-05
 1.4500008e+02	 1.8173399e-05
 1.4600002e+02	 1.9248264e-05
 1.4700005e+02	 4.0733074e-05
 1.4800018e+02	 5.3727927e-05
 1.4900020e+02	 4.9278271e-05
 1.5000011e+02	 3.8023325e-05
 1.5100027e+02	 1.8543940e-05
 1.5200009e+02	 2.0951536e-05
 1.5300018e+02	 3.9796705e-05
 1.5400015e+02	 5.3830812e-05
 1.5500002e+02	 5.4846481e-05
 1.5600008e+02	 3.7431550e-05
 1.5700009e+02	 1.5260419e-05
 1.5800018e+02	 1.9619842e-05
 1.5900018e+02	 4.2102503e-05
 1.6000003e+02	 5.5457953e-05
 1.6100005e+02	 5.1888845e-05
 1.6200008e+02	 3.8681443e-05
 1.6300006e+02	 2.0510161e-05
 1.6400012e+02	 1.8163060e-05
 1.6410002e+02	 2.0359748e-03
 1.6420000e+02	 2.2869227e-03
 1.6430002e+02	 2.2413267e-03
 1.6440001e+02	 2.2494169e-03
 1.6450003e+02	 2.1813232e-03
 1.6460002e+02	 2.0445522e-03
 1.6470001e+02	 1.9876617e-03
 1.6480003e+02	 1.9487651e-03
 1.6490002e+02	 1.8604500e-03
 1.6500003e+02	 1.7404555e-03
 1.6510007e+02	 1.6541352e-03
 1.6520001e+02	 1.6020747e-03
 1.6530002e+02	 1.5506297e-03
 1.6540002e+02	 1.5238586e-03
 1.6550002e+02	 1.5247054e-03
 1.6560004e+02	 1.4409770e-03
 1.6570004e+02	 1.2852192e-03
 1.6580003e+02	 1.1614859e-03
 1.6590004e+02	 1.1330558e-03
 1.6600005e+02	 1.0738292e-03
 1.6610001e+02	 1.0229991e-03
 1.6620007e+02	 9.8570262e-04
 1.6630000e+02	 8.8456675e-04
 1.6640010e+02	 8.1253186e-04
 1.6650000e+02	 7.3023688e-04
 1.6660007e+02	 6.6567783e-04
 1.6670003e+02	 6.0882297e-04
 1.6680000e+02	 5.6774681e-04
 1.6690005e+02	 5.2106148e-04
 1.6700006e+02	 4.7088083e-04
 1.6710001e+02	 4.4048653e-04
 1.6720006e+02	 4.2465492e-04
 1.6730003e+02	 4.0813547e-04
 1.6740001e+02	 3.9353152e-04
 1.6750000e+02	 3.7916153e-04
 1.6760002e+02	 3.6488788e-04
 1.6770000e+02	 3.5267617e-04
 1.6780000e+02	 3.3787059e-04
 1.6790001e+02	 3.2060142e-04
 1.6800005e+02	 3.0438928e-04
 1.6810002e+02	 2.9108048e-04
 1.6820003e+02	 2.7868955e-04
 1.6830003e+02	 2.6545263e-04
 1.6840002e+02	 2.5310321e-04
 1.6850000e+02	 2.4281789e-04
 1.6860008e+02	 2.3031702e-04
 1.6870001e+02	 2.1948587e-04
 1.6880006e+02	 2.0789063e-04
 1.6890001e+02	 1.9928759e-04
 1.6900002e+02	 1.9131645e-04
 1.6910005e+02	 1.8426753e-04
 1.6920010e+02	 1.7750745e-04
 1.6930003e+02	 1.7019662e-04
 1.6940005e+02	 1.6216247e-04
 1.6950003e+02	 1.5365302e-04
 1.6960005e+02	 1.4488213e-04
 1.6970004e+02	 1.3732740e-04
 1.6980008e+02	 1.3266999e-04
 1.6990001e+02	 1.2850259e-04
