Time(s)	GVOL(1,4)
 1.5900018e+02	 1.7828990e-03
 1.6000003e+02	 1.7702291e-03
 1.6100005e+02	 1.7731253e-03
 1.6200008e+02	 1.7879549e-03
 1.6300006e+02	 1.8056091e-03
 1.6400012e+02	 1.8076543e-03
 1.6410002e+02	 3.2484019e-04
 1.6420000e+02	 3.3299203e-04
 1.6430002e+02	 3.7400881e-04
 1.6440001e+02	 3.4855024e-04
 1.6450003e+02	 4.0908367e-04
 1.6460002e+02	 5.3773896e-04
 1.6470001e+02	 5.9932214e-04
 1.6480003e+02	 6.1325508e-04
 1.6490002e+02	 6.6625036e-04
 1.6500003e+02	 7.5273123e-04
 1.6510007e+02	 7.9567399e-04
 1.6520001e+02	 7.7246875e-04
 1.6530002e+02	 7.2667748e-04
 1.6540002e+02	 6.4721215e-04
 1.6550002e+02	 6.0819183e-04
 1.6560004e+02	 6.5985671e-04
 1.6570004e+02	 7.8985136e-04
 1.6580003e+02	 8.7048905e-04
 1.6590004e+02	 8.1349758e-04
 1.6600005e+02	 8.5637782e-04
 1.6610001e+02	 8.9490903e-04
 1.6620007e+02	 9.3413144e-04
 1.6630000e+02	 1.0198329e-03
 1.6640010e+02	 1.0838523e-03
 1.6650000e+02	 1.1564547e-03
 1.6660007e+02	 1.2089834e-03
 1.6670003e+02	 1.2492051e-03
 1.6680000e+02	 1.2698504e-03
 1.6690005e+02	 1.2915640e-03
 1.6700006e+02	 1.3184769e-03
 1.6710001e+02	 1.3413669e-03
 1.6720006e+02	 1.3573454e-03
 1.6730003e+02	 1.3738971e-03
 1.6740001e+02	 1.3897787e-03
 1.6750000e+02	 1.4032507e-03
 1.6760002e+02	 1.4149279e-03
 1.6770000e+02	 1.4289708e-03
 1.6780000e+02	 1.4441209e-03
 1.6790001e+02	 1.4610575e-03
 1.6800005e+02	 1.4756802e-03
 1.6810002e+02	 1.4901636e-03
 1.6820003e+02	 1.5036536e-03
 1.6830003e+02	 1.5175377e-03
 1.6840002e+02	 1.5313339e-03
 1.6850000e+02	 1.5423819e-03
 1.6860008e+02	 1.5548272e-03
 1.6870001e+02	 1.5634208e-03
 1.6880006e+02	 1.5762735e-03
 1.6890001e+02	 1.5857185e-03
 1.6900002e+02	 1.5932184e-03
 1.6910005e+02	 1.6008078e-03
 1.6920010e+02	 1.6098723e-03
 1.6930003e+02	 1.6178482e-03
 1.6940005e+02	 1.6268445e-03
 1.6950003e+02	 1.6370702e-03
 1.6960005e+02	 1.6473401e-03
 1.6970004e+02	 1.6565612e-03
 1.6980008e+02	 1.6650958e-03
 1.6990001e+02	 1.6706788e-03
