Time(s)	MASN(1,9)
 0.0000000e+00	 1.5013320e-23
 1.0005618e+00	 1.5013320e-23
 2.0000894e+00	 1.5013320e-23
 3.0001235e+00	 1.5013320e-23
 4.0000744e+00	 1.5013320e-23
 5.0000405e+00	 1.5013320e-23
 6.0000234e+00	 1.5013320e-23
 7.0002379e+00	 1.5013320e-23
 8.0000887e+00	 1.5013320e-23
 9.0000124e+00	 1.5013320e-23
 1.0000108e+01	 1.5013320e-23
 1.1000061e+01	 1.5013320e-23
 1.2000055e+01	 1.5013320e-23
 1.3000238e+01	 1.5013320e-23
 1.4000112e+01	 1.5013320e-23
 1.5000147e+01	 1.5013320e-23
 1.6000036e+01	 1.5013320e-23
 1.7000031e+01	 1.5013320e-23
 1.8000051e+01	 1.5013320e-23
 1.9000219e+01	 1.5013320e-23
 2.0000223e+01	 1.5013320e-23
 2.1000031e+01	 1.5013320e-23
 2.2000093e+01	 1.5013320e-23
 2.3000038e+01	 1.5013320e-23
 2.4000010e+01	 1.5013320e-23
 2.5000067e+01	 1.5013320e-23
 2.6000111e+01	 1.5013320e-23
 2.7000292e+01	 1.5013320e-23
 2.8000111e+01	 1.5013320e-23
 2.9000072e+01	 1.5013320e-23
 3.0000034e+01	 1.5013320e-23
 3.1000008e+01	 1.5013320e-23
 3.2000217e+01	 1.5013320e-23
 3.3000145e+01	 1.5013320e-23
 3.4000019e+01	 1.5013320e-23
 3.5000225e+01	 1.5013320e-23
 3.6000263e+01	 1.5013320e-23
 3.7000000e+01	 1.5013320e-23
 3.8000050e+01	 1.5013320e-23
 3.9000404e+01	 1.5013320e-23
 4.0000118e+01	 1.5013320e-23
 4.1000126e+01	 1.5013320e-23
 4.2000221e+01	 1.5013320e-23
 4.3000244e+01	 1.5013320e-23
 4.4000210e+01	 1.5013320e-23
 4.5000088e+01	 1.5013320e-23
 4.6000092e+01	 1.5013320e-23
 4.7000141e+01	 1.5013320e-23
 4.8000240e+01	 1.5013320e-23
 4.9000008e+01	 1.5013320e-23
 5.0000221e+01	 1.5013320e-23
 5.1000072e+01	 1.5013320e-23
 5.2000053e+01	 1.5013320e-23
 5.3000069e+01	 1.5013320e-23
 5.4000187e+01	 1.5013320e-23
 5.5000172e+01	 1.5013320e-23
 5.6000126e+01	 1.5013320e-23
 5.7000072e+01	 1.5013320e-23
 5.8000153e+01	 1.5013320e-23
 5.9000050e+01	 1.5013320e-23
