Time(s)	MASFPG(1,9)
 0.0000000e+00	 1.3115145e-03
 1.0005618e+00	 1.3234277e-03
 2.0000894e+00	 1.3529076e-03
 3.0001235e+00	 1.3823829e-03
 4.0000744e+00	 1.4227917e-03
 5.0000405e+00	 1.4393535e-03
 6.0000234e+00	 1.4471906e-03
 7.0002379e+00	 1.4508688e-03
 8.0000887e+00	 1.4563680e-03
 9.0000124e+00	 1.4592425e-03
 1.0000108e+01	 1.4595775e-03
 1.1000061e+01	 1.4599642e-03
 1.2000055e+01	 1.4618983e-03
 1.3000238e+01	 1.4631721e-03
 1.4000112e+01	 1.4639853e-03
 1.5000147e+01	 1.4650050e-03
 1.6000036e+01	 1.4658951e-03
 1.7000031e+01	 1.4669857e-03
 1.8000051e+01	 1.4678014e-03
 1.9000219e+01	 1.4685707e-03
 2.0000223e+01	 1.4692508e-03
 2.1000031e+01	 1.4698475e-03
 2.2000093e+01	 1.4703567e-03
 2.3000038e+01	 1.4709596e-03
 2.4000010e+01	 1.4716643e-03
 2.5000067e+01	 1.4719225e-03
 2.6000111e+01	 1.4721784e-03
 2.7000292e+01	 1.4726593e-03
 2.8000111e+01	 1.4731186e-03
 2.9000072e+01	 1.4736227e-03
 3.0000034e+01	 1.4739640e-03
 3.1000008e+01	 1.4746014e-03
 3.2000217e+01	 1.4747672e-03
 3.3000145e+01	 1.4751075e-03
 3.4000019e+01	 1.4755073e-03
 3.5000225e+01	 1.4759569e-03
 3.6000263e+01	 1.4762292e-03
 3.7000000e+01	 1.4763670e-03
 3.8000050e+01	 1.4767421e-03
 3.9000404e+01	 1.4771031e-03
 4.0000118e+01	 1.4776324e-03
 4.1000126e+01	 1.4780706e-03
 4.2000221e+01	 1.4784894e-03
 4.3000244e+01	 1.4787044e-03
 4.4000210e+01	 1.4788384e-03
 4.5000088e+01	 1.4791022e-03
 4.6000092e+01	 1.4792799e-03
 4.7000141e+01	 1.4796372e-03
 4.8000240e+01	 1.4799768e-03
 4.9000008e+01	 1.4802099e-03
 5.0000221e+01	 1.4804332e-03
 5.1000072e+01	 1.4806433e-03
 5.2000053e+01	 1.4809928e-03
 5.3000069e+01	 1.4812876e-03
 5.4000187e+01	 1.4816874e-03
 5.5000172e+01	 1.4818902e-03
 5.6000126e+01	 1.4821042e-03
 5.7000072e+01	 1.4822839e-03
 5.8000153e+01	 1.4825172e-03
 5.9000050e+01	 1.4828565e-03
 6.0000069e+01	 1.4830378e-03
 6.1000160e+01	 1.4833101e-03
 6.2000050e+01	 1.4835267e-03
 6.3000099e+01	 1.4836737e-03
 6.4000069e+01	 1.4839824e-03
 6.5000206e+01	 1.4841505e-03
 6.6000069e+01	 1.4844381e-03
 6.7000069e+01	 1.4846586e-03
 6.8000008e+01	 1.4848543e-03
 6.9000237e+01	 1.4850851e-03
 7.0000122e+01	 1.4852404e-03
 7.1000031e+01	 1.4855550e-03
 7.2000282e+01	 1.4857654e-03
 7.3000183e+01	 1.4860043e-03
 7.4000183e+01	 1.4862110e-03
 7.5000305e+01	 1.4863588e-03
 7.6000069e+01	 1.4865613e-03
 7.7000076e+01	 1.4867191e-03
 7.8000130e+01	 1.4869707e-03
 7.9000114e+01	 1.4871743e-03
 8.0000267e+01	 1.4873475e-03
 8.1000061e+01	 1.4874949e-03
 8.2000206e+01	 1.4876114e-03
 8.3000099e+01	 1.4878709e-03
 8.4000252e+01	 1.4880379e-03
 8.5000237e+01	 1.4882633e-03
 8.6000008e+01	 1.4884004e-03
 8.7000046e+01	 1.4885328e-03
 8.8000107e+01	 1.4887041e-03
 8.9000130e+01	 1.4888607e-03
 9.0000092e+01	 1.4891156e-03
 9.1000298e+01	 1.4892488e-03
 9.2000191e+01	 1.4894909e-03
 9.3000099e+01	 1.4896870e-03
 9.4000137e+01	 1.4897803e-03
 9.5000000e+01	 1.4900066e-03
 9.6000092e+01	 1.4901239e-03
 9.7000175e+01	 1.4903016e-03
 9.8000183e+01	 1.4904098e-03
 9.9000107e+01	 1.4905160e-03
 1.0000025e+02	 1.4906402e-03
 1.0100002e+02	 1.4907259e-03
 1.0200014e+02	 1.4908551e-03
 1.0300003e+02	 1.4909494e-03
 1.0400006e+02	 1.4910575e-03
 1.0500019e+02	 1.4911195e-03
 1.0600016e+02	 1.4911939e-03
 1.0700005e+02	 1.4913013e-03
 1.0800005e+02	 1.4913756e-03
 1.0900005e+02	 1.4914785e-03
 1.1000010e+02	 1.4915643e-03
 1.1100005e+02	 1.4916479e-03
 1.1200005e+02	 1.4917098e-03
 1.1300011e+02	 1.4917543e-03
 1.1400004e+02	 1.4918667e-03
 1.1500005e+02	 1.4919412e-03
 1.1600015e+02	 1.4920515e-03
