Time(s)	MASFPG(1,4)
 0.0000000e+00	 3.1890939e-03
 1.0005618e+00	 3.1424859e-03
 2.0000894e+00	 3.0778449e-03
 3.0001235e+00	 3.0105668e-03
 4.0000744e+00	 2.9042498e-03
 5.0000405e+00	 2.8859915e-03
 6.0000234e+00	 2.8553715e-03
 7.0002379e+00	 2.8514510e-03
 8.0000887e+00	 2.8377669e-03
 9.0000124e+00	 2.8297692e-03
 1.0000108e+01	 2.8201845e-03
 1.1000061e+01	 2.8503146e-03
 1.2000055e+01	 2.8180354e-03
 1.3000238e+01	 2.7907393e-03
 1.4000112e+01	 2.7933710e-03
 1.5000147e+01	 2.8224026e-03
 1.6000036e+01	 2.8554373e-03
 1.7000031e+01	 2.8387709e-03
 1.8000051e+01	 2.8035517e-03
 1.9000219e+01	 2.7893274e-03
 2.0000223e+01	 2.8023843e-03
 2.1000031e+01	 2.8302420e-03
 2.2000093e+01	 2.8588469e-03
 2.3000038e+01	 2.8433227e-03
 2.4000010e+01	 2.8229584e-03
 2.5000067e+01	 2.7969857e-03
 2.6000111e+01	 2.8010490e-03
 2.7000292e+01	 2.8304197e-03
 2.8000111e+01	 2.8648195e-03
 2.9000072e+01	 2.8632374e-03
 3.0000034e+01	 2.8238625e-03
 3.1000008e+01	 2.8030025e-03
 3.2000217e+01	 2.8170920e-03
 3.3000145e+01	 2.8470943e-03
 3.4000019e+01	 2.8724833e-03
 3.5000225e+01	 2.8516336e-03
 3.6000263e+01	 2.8258299e-03
 3.7000000e+01	 2.8070516e-03
 3.8000050e+01	 2.8138869e-03
 3.9000404e+01	 2.8446927e-03
 4.0000118e+01	 2.8786843e-03
 4.1000126e+01	 2.8675215e-03
 4.2000221e+01	 2.8289021e-03
 4.3000244e+01	 2.8129618e-03
 4.4000210e+01	 2.8217870e-03
 4.5000088e+01	 2.8484124e-03
 4.6000092e+01	 2.8736272e-03
 4.7000141e+01	 2.8729478e-03
 4.8000240e+01	 2.8489514e-03
 4.9000008e+01	 2.8210040e-03
 5.0000221e+01	 2.8166834e-03
 5.1000072e+01	 2.8381844e-03
 5.2000053e+01	 2.8702258e-03
 5.3000069e+01	 2.8825414e-03
 5.4000187e+01	 2.8597354e-03
 5.5000172e+01	 2.8355799e-03
 5.6000126e+01	 2.8190031e-03
 5.7000072e+01	 2.8239961e-03
 5.8000153e+01	 2.8525577e-03
 5.9000050e+01	 2.8873633e-03
 6.0000069e+01	 2.8792864e-03
 6.1000160e+01	 2.8505931e-03
 6.2000050e+01	 2.8311636e-03
 6.3000099e+01	 2.8308784e-03
 6.4000069e+01	 2.8488603e-03
 6.5000206e+01	 2.8810932e-03
 6.6000069e+01	 2.8869030e-03
 6.7000069e+01	 2.8639587e-03
 6.8000008e+01	 2.8344002e-03
 6.9000237e+01	 2.8242185e-03
 7.0000122e+01	 2.8483025e-03
 7.1000031e+01	 2.8818825e-03
 7.2000282e+01	 2.8903747e-03
 7.3000183e+01	 2.8623501e-03
 7.4000183e+01	 2.8438040e-03
 7.5000305e+01	 2.8309536e-03
 7.6000069e+01	 2.8433881e-03
 7.7000076e+01	 2.8750510e-03
 7.8000130e+01	 2.8999066e-03
 7.9000114e+01	 2.8817141e-03
 8.0000267e+01	 2.8444831e-03
 8.1000061e+01	 2.8297335e-03
 8.2000206e+01	 2.8490762e-03
 8.3000099e+01	 2.8797286e-03
 8.4000252e+01	 2.8956083e-03
 8.5000237e+01	 2.8775847e-03
 8.6000008e+01	 2.8525903e-03
 8.7000046e+01	 2.8389618e-03
 8.8000107e+01	 2.8472485e-03
 8.9000130e+01	 2.8782145e-03
 9.0000092e+01	 2.9048848e-03
 9.1000298e+01	 2.8890548e-03
 9.2000191e+01	 2.8527696e-03
 9.3000099e+01	 2.8347916e-03
 9.4000137e+01	 2.8522222e-03
