Time(s)	MASFPG(1,7)
 0.0000000e+00	 2.7251910e-05
 1.0005618e+00	 2.7500402e-05
 2.0000894e+00	 2.8107497e-05
 3.0001235e+00	 2.8717172e-05
 4.0000744e+00	 2.9551949e-05
 5.0000405e+00	 2.9892890e-05
 6.0000234e+00	 3.0054114e-05
 7.0002379e+00	 3.0128409e-05
 8.0000887e+00	 3.0240246e-05
 9.0000124e+00	 3.0297706e-05
 1.0000108e+01	 3.0301253e-05
 1.1000061e+01	 3.0306506e-05
 1.2000055e+01	 3.0344259e-05
 1.3000238e+01	 3.0368385e-05
 1.4000112e+01	 3.0383002e-05
 1.5000147e+01	 3.0402025e-05
 1.6000036e+01	 3.0418189e-05
 1.7000031e+01	 3.0438585e-05
 1.8000051e+01	 3.0453468e-05
 1.9000219e+01	 3.0467163e-05
 2.0000223e+01	 3.0479066e-05
 2.1000031e+01	 3.0488789e-05
 2.2000093e+01	 3.0496851e-05
 2.3000038e+01	 3.0506977e-05
 2.4000010e+01	 3.0519324e-05
 2.5000067e+01	 3.0521813e-05
 2.6000111e+01	 3.0524483e-05
 2.7000292e+01	 3.0532112e-05
 2.8000111e+01	 3.0539322e-05
 2.9000072e+01	 3.0547359e-05
 3.0000034e+01	 3.0551884e-05
 3.1000008e+01	 3.0562813e-05
 3.2000217e+01	 3.0563482e-05
 3.3000145e+01	 3.0567986e-05
 3.4000019e+01	 3.0573701e-05
 3.5000225e+01	 3.0580428e-05
 3.6000263e+01	 3.0583611e-05
 3.7000000e+01	 3.0583578e-05
 3.8000050e+01	 3.0589046e-05
 3.9000404e+01	 3.0594114e-05
 4.0000118e+01	 3.0602943e-05
 4.1000126e+01	 3.0609597e-05
 4.2000221e+01	 3.0615913e-05
 4.3000244e+01	 3.0617717e-05
 4.4000210e+01	 3.0617848e-05
 4.5000088e+01	 3.0620853e-05
 4.6000092e+01	 3.0621799e-05
 4.7000141e+01	 3.0626772e-05
 4.8000240e+01	 3.0631450e-05
 4.9000008e+01	 3.0633546e-05
 5.0000221e+01	 3.0635649e-05
 5.1000072e+01	 3.0637497e-05
 5.2000053e+01	 3.0642332e-05
 5.3000069e+01	 3.0645915e-05
 5.4000187e+01	 3.0651874e-05
 5.5000172e+01	 3.0653602e-05
 5.6000126e+01	 3.0655479e-05
 5.7000072e+01	 3.0656629e-05
 5.8000153e+01	 3.0658906e-05
 5.9000050e+01	 3.0663505e-05
 6.0000069e+01	 3.0664749e-05
 6.1000160e+01	 3.0667950e-05
 6.2000050e+01	 3.0670009e-05
 6.3000099e+01	 3.0670431e-05
 6.4000069e+01	 3.0674408e-05
 6.5000206e+01	 3.0675277e-05
 6.6000069e+01	 3.0678824e-05
 6.7000069e+01	 3.0680949e-05
 6.8000008e+01	 3.0682422e-05
 6.9000237e+01	 3.0684831e-05
 7.0000122e+01	 3.0685573e-05
 7.1000031e+01	 3.0689811e-05
 7.2000282e+01	 3.0691775e-05
 7.3000183e+01	 3.0694388e-05
 7.4000183e+01	 3.0696399e-05
 7.5000305e+01	 3.0697116e-05
 7.6000069e+01	 3.0698997e-05
 7.7000076e+01	 3.0699845e-05
 7.8000130e+01	 3.0702704e-05
 7.9000114e+01	 3.0704523e-05
 8.0000267e+01	 3.0705647e-05
 8.1000061e+01	 3.0706302e-05
 8.2000206e+01	 3.0706251e-05
 8.3000099e+01	 3.0709307e-05
 8.4000252e+01	 3.0710406e-05
 8.5000237e+01	 3.0712781e-05
 8.6000008e+01	 3.0713272e-05
 8.7000046e+01	 3.0713600e-05
 8.8000107e+01	 3.0714818e-05
 8.9000130e+01	 3.0715637e-05
 9.0000092e+01	 3.0718700e-05
 9.1000298e+01	 3.0719100e-05
 9.2000191e+01	 3.0721923e-05
 9.3000099e+01	 3.0723771e-05
 9.4000137e+01	 3.0723335e-05
 9.5000000e+01	 3.0725674e-05
 9.6000092e+01	 3.0725656e-05
 9.7000175e+01	 3.0726838e-05
 9.8000183e+01	 3.0726675e-05
 9.9000107e+01	 3.0726544e-05
 1.0000025e+02	 3.0726842e-05
 1.0100002e+02	 3.0726260e-05
 1.0200014e+02	 3.0726515e-05
 1.0300003e+02	 3.0726158e-05
 1.0400006e+02	 3.0725976e-05
 1.0500019e+02	 3.0724867e-05
 1.0600016e+02	 3.0724023e-05
 1.0700005e+02	 3.0723917e-05
 1.0800005e+02	 3.0723022e-05
 1.0900005e+02	 3.0722789e-05
 1.1000010e+02	 3.0722207e-05
 1.1100005e+02	 3.0721603e-05
 1.1200005e+02	 3.0720486e-05
 1.1300011e+02	 3.0718969e-05
 1.1400004e+02	 3.0718926e-05
 1.1500005e+02	 3.0718031e-05
 1.1600015e+02	 3.0717991e-05
 1.1700007e+02	 3.0716830e-05
 1.1800004e+02	 3.0716044e-05
 1.1900003e+02	 3.0715040e-05
 1.2000007e+02	 3.0713687e-05
 1.2100005e+02	 3.0713421e-05
 1.2200008e+02	 3.0712345e-05
 1.2300022e+02	 3.0712286e-05
 1.2400007e+02	 3.0710755e-05
 1.2500008e+02	 3.0710045e-05
 1.2600005e+02	 3.0710140e-05
 1.2700005e+02	 3.0708441e-05
 1.2800008e+02	 3.0708317e-05
 1.2900026e+02	 3.0707255e-05
