Time(s)	GVOL(1,3)
 0.0000000e+00	 2.7078993e-04
 1.0005618e+00	 2.0677185e-04
 2.0000894e+00	 2.0758488e-04
 3.0001235e+00	 2.0775989e-04
 4.0000744e+00	 2.0788112e-04
 5.0000405e+00	 2.0803946e-04
 6.0000234e+00	 2.0810906e-04
 7.0002379e+00	 2.0824869e-04
 8.0000887e+00	 2.0829217e-04
 9.0000124e+00	 2.0835594e-04
 1.0000108e+01	 2.0840298e-04
 1.1000061e+01	 2.0842577e-04
 1.2000055e+01	 2.0845792e-04
 1.3000238e+01	 2.0848590e-04
 1.4000112e+01	 2.0850256e-04
 1.5000147e+01	 2.0850301e-04
 1.6000036e+01	 2.0851378e-04
 1.7000031e+01	 2.0852151e-04
 1.8000051e+01	 2.0852684e-04
 1.9000219e+01	 2.0853009e-04
 2.0000223e+01	 2.0853431e-04
 2.1000031e+01	 2.0853792e-04
 2.2000093e+01	 2.0854094e-04
 2.3000038e+01	 2.0854271e-04
 2.4000010e+01	 2.0854321e-04
 2.5000067e+01	 2.0854335e-04
 2.6000111e+01	 2.0854344e-04
 2.7000292e+01	 2.0854358e-04
 2.8000111e+01	 2.0854367e-04
 2.9000072e+01	 2.0854377e-04
 3.0000034e+01	 2.0854380e-04
 3.1000008e+01	 2.0854392e-04
 3.2000217e+01	 2.0854395e-04
 3.3000145e+01	 2.0854393e-04
 3.4000019e+01	 2.0854399e-04
 3.5000225e+01	 2.0854420e-04
 3.6000263e+01	 2.0854436e-04
 3.7000000e+01	 2.0854447e-04
 3.8000050e+01	 2.0854453e-04
 3.9000404e+01	 2.0854456e-04
 4.0000118e+01	 2.0854463e-04
 4.1000126e+01	 2.0854469e-04
 4.2000221e+01	 2.0854482e-04
 4.3000244e+01	 2.0854497e-04
 4.4000210e+01	 2.0854507e-04
 4.5000088e+01	 2.0854519e-04
 4.6000092e+01	 2.0854535e-04
 4.7000141e+01	 2.0854546e-04
 4.8000240e+01	 2.0854555e-04
 4.9000008e+01	 2.0854567e-04
 5.0000221e+01	 2.0854577e-04
 5.1000072e+01	 2.0854588e-04
 5.2000053e+01	 2.0854599e-04
 5.3000069e+01	 2.0854606e-04
 5.4000187e+01	 2.0854615e-04
 5.5000172e+01	 2.0854628e-04
 5.6000126e+01	 2.0854635e-04
 5.7000072e+01	 2.0854645e-04
 5.8000153e+01	 2.0854651e-04
 5.9000050e+01	 2.0854660e-04
 6.0000069e+01	 2.0854668e-04
 6.1000160e+01	 2.0854677e-04
 6.2000050e+01	 2.0854684e-04
 6.3000099e+01	 2.0854693e-04
 6.4000069e+01	 2.0854699e-04
 6.5000206e+01	 2.0854706e-04
 6.6000069e+01	 2.0854716e-04
 6.7000069e+01	 2.0854721e-04
 6.8000008e+01	 2.0854722e-04
 6.9000237e+01	 2.0854725e-04
 7.0000122e+01	 2.0854725e-04
 7.1000031e+01	 2.0854731e-04
 7.2000282e+01	 2.0854738e-04
