Time(s)	GVOL(1,3)
 7.3000183e+01	 2.0854748e-04
 7.4000183e+01	 2.0854760e-04
 7.5000305e+01	 2.0854770e-04
 7.6000069e+01	 2.0854778e-04
 7.7000076e+01	 2.0854788e-04
 7.8000130e+01	 2.0854804e-04
 7.9000114e+01	 2.0854817e-04
 8.0000267e+01	 2.0854827e-04
 8.1000061e+01	 2.0854840e-04
 8.2000206e+01	 2.0854856e-04
 8.3000099e+01	 2.0854866e-04
 8.4000252e+01	 2.0854875e-04
 8.5000237e+01	 2.0854888e-04
 8.6000008e+01	 2.0854903e-04
 8.7000046e+01	 2.0854911e-04
 8.8000107e+01	 2.0854923e-04
 8.9000130e+01	 2.0854938e-04
 9.0000092e+01	 2.0854946e-04
 9.1000298e+01	 2.0854961e-04
 9.2000191e+01	 2.0854971e-04
 9.3000099e+01	 2.0854986e-04
 9.4000137e+01	 2.0854994e-04
 9.5000000e+01	 2.0855007e-04
 9.6000092e+01	 2.0855013e-04
 9.7000175e+01	 2.0855025e-04
 9.8000183e+01	 2.0855034e-04
 9.9000107e+01	 2.0855044e-04
 1.0000025e+02	 2.0855057e-04
 1.0100002e+02	 2.0855069e-04
 1.0200014e+02	 2.0855077e-04
 1.0300003e+02	 2.0855089e-04
 1.0400006e+02	 2.0855098e-04
 1.0500019e+02	 2.0855108e-04
 1.0600016e+02	 2.0855115e-04
 1.0700005e+02	 2.0855125e-04
 1.0800005e+02	 2.0855137e-04
 1.0900005e+02	 2.0855143e-04
 1.1000010e+02	 2.0855154e-04
 1.1100005e+02	 2.0855163e-04
 1.1200005e+02	 2.0855178e-04
 1.1300011e+02	 2.0855189e-04
 1.1400004e+02	 2.0855197e-04
 1.1500005e+02	 2.0855204e-04
 1.1600015e+02	 2.0855214e-04
 1.1700007e+02	 2.0855223e-04
 1.1800004e+02	 2.0855232e-04
 1.1900003e+02	 2.0855240e-04
 1.2000007e+02	 2.0855253e-04
 1.2100005e+02	 2.0855261e-04
 1.2200008e+02	 2.0855274e-04
 1.2300022e+02	 2.0855282e-04
 1.2400007e+02	 2.0855291e-04
 1.2500008e+02	 2.0855297e-04
 1.2600005e+02	 2.0855309e-04
 1.2700005e+02	 2.0855316e-04
 1.2800008e+02	 2.0855322e-04
 1.2900026e+02	 2.0855326e-04
 1.3000006e+02	 2.0855338e-04
 1.3100023e+02	 2.0855348e-04
 1.3200002e+02	 2.0855351e-04
 1.3300009e+02	 2.0855360e-04
 1.3400003e+02	 2.0855368e-04
 1.3500020e+02	 2.0855377e-04
 1.3600014e+02	 2.0855380e-04
 1.3700008e+02	 2.0855381e-04
 1.3800002e+02	 2.0855387e-04
 1.3900027e+02	 2.0855383e-04
 1.4000012e+02	 2.0855387e-04
 1.4100006e+02	 2.0855387e-04
 1.4200020e+02	 2.0855390e-04
 1.4300023e+02	 2.0855395e-04
 1.4400017e+02	 2.0855395e-04
 1.4500008e+02	 2.0855393e-04
 1.4600002e+02	 2.0855390e-04
 1.4700005e+02	 2.0855395e-04
 1.4800018e+02	 2.0855412e-04
 1.4900020e+02	 2.0855429e-04
 1.5000011e+02	 2.0855450e-04
 1.5100027e+02	 2.0855463e-04
 1.5200009e+02	 2.0855472e-04
 1.5300018e+02	 2.0855488e-04
 1.5400015e+02	 2.0855495e-04
 1.5500002e+02	 2.0855498e-04
 1.5600008e+02	 2.0855502e-04
 1.5700009e+02	 2.0855508e-04
 1.5800018e+02	 2.0855511e-04
 1.5900018e+02	 2.0855515e-04
 1.6000003e+02	 2.0855521e-04
 1.6100005e+02	 2.0855526e-04
 1.6200008e+02	 2.0855526e-04
 1.6300006e+02	 2.0855530e-04
 1.6400012e+02	 2.0855531e-04
 1.6410002e+02	 2.3710240e-04
 1.6420000e+02	 2.6094139e-04
 1.6430002e+02	 2.6413100e-04
 1.6440001e+02	 2.6100504e-04
 1.6450003e+02	 2.5807577e-04
 1.6460002e+02	 2.5575192e-04
 1.6470001e+02	 2.5398855e-04
 1.6480003e+02	 2.5216184e-04
 1.6490002e+02	 2.5042534e-04
 1.6500003e+02	 2.4872666e-04
 1.6510007e+02	 2.4694036e-04
 1.6520001e+02	 2.4516744e-04
 1.6530002e+02	 2.4330812e-04
 1.6540002e+02	 2.4222396e-04
 1.6550002e+02	 2.4233545e-04
 1.6560004e+02	 2.4231998e-04
 1.6570004e+02	 2.4225330e-04
 1.6580003e+02	 2.4233708e-04
 1.6590004e+02	 2.4241186e-04
 1.6600005e+02	 2.4254133e-04
 1.6610001e+02	 2.4262734e-04
 1.6620007e+02	 2.4269045e-04
 1.6630000e+02	 2.4273315e-04
 1.6640010e+02	 2.4280012e-04
 1.6650000e+02	 2.4283776e-04
 1.6660007e+02	 2.4283431e-04
 1.6670003e+02	 2.4286054e-04
 1.6680000e+02	 2.4291308e-04
 1.6690005e+02	 2.4300053e-04
 1.6700006e+02	 2.4306373e-04
 1.6710001e+02	 2.4309418e-04
 1.6720006e+02	 2.4310168e-04
 1.6730003e+02	 2.4312256e-04
 1.6740001e+02	 2.4314383e-04
 1.6750000e+02	 2.4317832e-04
 1.6760002e+02	 2.4320580e-04
 1.6770000e+02	 2.4322708e-04
 1.6780000e+02	 2.4323944e-04
 1.6790001e+02	 2.4324808e-04
 1.6800005e+02	 2.4325341e-04
 1.6810002e+02	 2.4319324e-04
 1.6820003e+02	 2.4324187e-04
 1.6830003e+02	 2.4312203e-04
 1.6840002e+02	 2.4316912e-04
 1.6850000e+02	 2.4314418e-04
 1.6860008e+02	 2.4310469e-04
 1.6870001e+02	 2.4305226e-04
 1.6880006e+02	 2.4308932e-04
 1.6890001e+02	 2.4304884e-04
 1.6900002e+02	 2.4291046e-04
 1.6910005e+02	 2.4283353e-04
 1.6920010e+02	 2.4238840e-04
 1.6930003e+02	 2.4161233e-04
 1.6940005e+02	 2.4025732e-04
 1.6950003e+02	 2.3846033e-04
 1.6960005e+02	 2.3614119e-04
 1.6970004e+02	 2.3351444e-04
 1.6980008e+02	 2.3047598e-04
 1.6990001e+02	 2.2705777e-04
