Time(s)	MASF(1,9)
 1.5900018e+02	 5.3259282e-16
 1.6000003e+02	 5.3267964e-16
 1.6100005e+02	 5.3283047e-16
 1.6200008e+02	 5.3294180e-16
 1.6300006e+02	 5.3312773e-16
 1.6400012e+02	 5.3312730e-16
 1.6410002e+02	 2.2730281e+00
 1.6420000e+02	 4.5987964e+00
 1.6430002e+02	 3.9848788e+00
 1.6440001e+02	 2.9804747e+00
 1.6450003e+02	 3.1594183e+00
 1.6460002e+02	 3.2139740e+00
 1.6470001e+02	 3.0033736e+00
 1.6480003e+02	 2.8766983e+00
 1.6490002e+02	 2.8753498e+00
 1.6500003e+02	 2.8281865e+00
 1.6510007e+02	 2.7015374e+00
 1.6520001e+02	 2.6425898e+00
 1.6530002e+02	 2.5412781e+00
 1.6540002e+02	 2.3931038e+00
 1.6550002e+02	 2.2173140e+00
 1.6560004e+02	 2.0327020e+00
 1.6570004e+02	 1.8586725e+00
 1.6580003e+02	 1.7099627e+00
 1.6590004e+02	 1.6303639e+00
 1.6600005e+02	 1.5665776e+00
 1.6610001e+02	 1.4895986e+00
 1.6620007e+02	 1.3909907e+00
 1.6630000e+02	 1.2889171e+00
 1.6640010e+02	 1.1843112e+00
 1.6650000e+02	 1.0698154e+00
 1.6660007e+02	 9.3931192e-01
 1.6670003e+02	 7.8622895e-01
 1.6680000e+02	 5.7462299e-01
 1.6690005e+02	 3.1928453e-01
 1.6700006e+02	 8.7170899e-02
 1.6710001e+02	 1.0582437e-02
 1.6720006e+02	 1.1758736e-03
 1.6730003e+02	 1.0987672e-04
 1.6740001e+02	 8.3135046e-06
 1.6750000e+02	 4.4664432e-07
 1.6760002e+02	 4.5523474e-09
 1.6770000e+02	 3.3794115e-10
 1.6780000e+02	 3.3794115e-10
 1.6790001e+02	 3.3794118e-10
 1.6800005e+02	 3.3794118e-10
 1.6810002e+02	 3.3794118e-10
 1.6820003e+02	 3.3794123e-10
 1.6830003e+02	 3.3794140e-10
 1.6840002e+02	 3.3794142e-10
 1.6850000e+02	 3.3794151e-10
 1.6860008e+02	 3.3794159e-10
 1.6870001e+02	 3.3794167e-10
 1.6880006e+02	 3.3794170e-10
 1.6890001e+02	 3.3794173e-10
 1.6900002e+02	 3.3794176e-10
 1.6910005e+02	 3.3794179e-10
 1.6920010e+02	 3.3794181e-10
 1.6930003e+02	 3.3794181e-10
 1.6940005e+02	 3.3794181e-10
 1.6950003e+02	 3.3794187e-10
 1.6960005e+02	 3.3794195e-10
 1.6970004e+02	 3.3794201e-10
 1.6980008e+02	 3.3794201e-10
 1.6990001e+02	 3.3794201e-10
