Time(s)	TMPF(1,1)
 1.3600014e+02	 6.0297937e+02
 1.3700008e+02	 6.0297919e+02
 1.3800002e+02	 6.0297876e+02
 1.3900027e+02	 6.0284283e+02
 1.4000012e+02	 6.0284076e+02
 1.4100006e+02	 6.0284393e+02
 1.4200020e+02	 6.0285010e+02
 1.4300023e+02	 6.0284924e+02
 1.4400017e+02	 6.0284619e+02
 1.4500008e+02	 6.0284149e+02
 1.4600002e+02	 6.0284210e+02
 1.4700005e+02	 6.0284747e+02
 1.4800018e+02	 6.0284949e+02
 1.4900020e+02	 6.0284912e+02
 1.5000011e+02	 6.0284680e+02
 1.5100027e+02	 6.0284259e+02
 1.5200009e+02	 6.0284314e+02
 1.5300018e+02	 6.0284790e+02
 1.5400015e+02	 6.0285077e+02
 1.5500002e+02	 6.0258905e+02
 1.5600008e+02	 6.0258453e+02
 1.5700009e+02	 6.0256744e+02
 1.5800018e+02	 6.0257153e+02
 1.5900018e+02	 6.0258728e+02
 1.6000003e+02	 6.0259460e+02
 1.6100005e+02	 6.0259387e+02
 1.6200008e+02	 6.0258435e+02
 1.6300006e+02	 6.0257391e+02
 1.6400012e+02	 6.0247357e+02
 1.6410002e+02	 6.0327325e+02
 1.6420000e+02	 6.0380597e+02
 1.6430002e+02	 6.0399402e+02
 1.6440001e+02	 6.0410748e+02
 1.6450003e+02	 6.0409534e+02
 1.6460002e+02	 6.0410931e+02
 1.6470001e+02	 6.0414197e+02
 1.6480003e+02	 6.0419043e+02
 1.6490002e+02	 6.0420190e+02
 1.6500003e+02	 6.0420105e+02
 1.6510007e+02	 6.0420166e+02
 1.6520001e+02	 6.0420496e+02
 1.6530002e+02	 6.0419855e+02
 1.6540002e+02	 6.0419977e+02
 1.6550002e+02	 6.0421582e+02
 1.6560004e+02	 6.0419904e+02
 1.6570004e+02	 6.0415759e+02
 1.6580003e+02	 6.0413757e+02
 1.6590004e+02	 6.0414081e+02
 1.6600005e+02	 6.0412305e+02
 1.6610001e+02	 6.0411127e+02
 1.6620007e+02	 6.0409680e+02
 1.6630000e+02	 6.0407367e+02
 1.6640010e+02	 6.0405017e+02
 1.6650000e+02	 6.0402362e+02
 1.6660007e+02	 6.0400476e+02
 1.6670003e+02	 6.0398608e+02
 1.6680000e+02	 6.0397253e+02
 1.6690005e+02	 6.0395917e+02
 1.6700006e+02	 6.0394293e+02
 1.6710001e+02	 6.0393396e+02
 1.6720006e+02	 6.0393188e+02
 1.6730003e+02	 6.0392780e+02
 1.6740001e+02	 6.0392529e+02
 1.6750000e+02	 6.0392413e+02
 1.6760002e+02	 6.0392407e+02
 1.6770000e+02	 6.0392328e+02
 1.6780000e+02	 6.0392102e+02
 1.6790001e+02	 6.0391907e+02
 1.6800005e+02	 6.0391620e+02
 1.6810002e+02	 6.0391595e+02
 1.6820003e+02	 6.0391547e+02
 1.6830003e+02	 6.0391595e+02
 1.6840002e+02	 6.0391577e+02
 1.6850000e+02	 6.0391541e+02
 1.6860008e+02	 6.0391431e+02
 1.6870001e+02	 6.0391412e+02
 1.6880006e+02	 6.0391321e+02
 1.6890001e+02	 6.0391284e+02
 1.6900002e+02	 6.0391364e+02
 1.6910005e+02	 6.0391333e+02
 1.6920010e+02	 6.0391254e+02
 1.6930003e+02	 6.0391138e+02
 1.6940005e+02	 6.0391174e+02
 1.6950003e+02	 6.0390918e+02
 1.6960005e+02	 6.0390814e+02
 1.6970004e+02	 6.0390826e+02
 1.6980008e+02	 6.0390784e+02
 1.6990001e+02	 6.0390656e+02
