Time(s)	MASFPG(1,8)
 1.5900018e+02	 1.6953107e-03
 1.6000003e+02	 1.6946108e-03
 1.6100005e+02	 1.6940497e-03
 1.6200008e+02	 1.6935746e-03
 1.6300006e+02	 1.6932364e-03
 1.6400012e+02	 1.6923444e-03
 1.6410002e+02	 1.9755065e-03
 1.6420000e+02	 1.9761405e-03
 1.6430002e+02	 1.9664110e-03
 1.6440001e+02	 1.9894363e-03
 1.6450003e+02	 1.9824987e-03
 1.6460002e+02	 1.9755189e-03
 1.6470001e+02	 2.0409329e-03
 1.6480003e+02	 2.0937484e-03
 1.6490002e+02	 2.1555347e-03
 1.6500003e+02	 2.3072148e-03
 1.6510007e+02	 2.5511626e-03
 1.6520001e+02	 2.8912991e-03
 1.6530002e+02	 3.3091144e-03
 1.6540002e+02	 3.7498230e-03
 1.6550002e+02	 3.9000963e-03
 1.6560004e+02	 3.9407909e-03
 1.6570004e+02	 3.9638509e-03
 1.6580003e+02	 4.1264906e-03
 1.6590004e+02	 4.4412678e-03
 1.6600005e+02	 4.4853045e-03
 1.6610001e+02	 4.5093922e-03
 1.6620007e+02	 4.5011896e-03
 1.6630000e+02	 4.4936896e-03
 1.6640010e+02	 4.4871871e-03
 1.6650000e+02	 4.4862330e-03
 1.6660007e+02	 4.4755563e-03
 1.6670003e+02	 4.4709533e-03
 1.6680000e+02	 4.4714296e-03
 1.6690005e+02	 4.4774571e-03
 1.6700006e+02	 4.4799806e-03
 1.6710001e+02	 4.4771619e-03
 1.6720006e+02	 4.4772271e-03
 1.6730003e+02	 4.4794246e-03
 1.6740001e+02	 4.4821841e-03
 1.6750000e+02	 4.4879788e-03
 1.6760002e+02	 4.4927592e-03
 1.6770000e+02	 4.4994978e-03
 1.6780000e+02	 4.4999234e-03
 1.6790001e+02	 4.5025526e-03
 1.6800005e+02	 4.5109466e-03
 1.6810002e+02	 4.5170058e-03
 1.6820003e+02	 4.5180460e-03
 1.6830003e+02	 4.5248996e-03
 1.6840002e+02	 4.5332275e-03
 1.6850000e+02	 4.5424616e-03
 1.6860008e+02	 4.5471382e-03
 1.6870001e+02	 4.5509799e-03
 1.6880006e+02	 4.5541851e-03
 1.6890001e+02	 4.5563900e-03
 1.6900002e+02	 4.5587886e-03
 1.6910005e+02	 4.5612426e-03
 1.6920010e+02	 4.5623812e-03
 1.6930003e+02	 4.5629414e-03
 1.6940005e+02	 4.5634783e-03
 1.6950003e+02	 4.5660897e-03
 1.6960005e+02	 4.5714881e-03
 1.6970004e+02	 4.5752781e-03
 1.6980008e+02	 4.5753415e-03
 1.6990001e+02	 4.5728581e-03
