Time(s)	MASFPG(1,2)
 0.0000000e+00	 7.7144388e-05
 1.0005618e+00	 7.2457275e-05
 2.0000894e+00	 7.4868964e-05
 3.0001235e+00	 7.5392549e-05
 4.0000744e+00	 7.1769449e-05
 5.0000405e+00	 7.2085582e-05
 6.0000234e+00	 7.1599927e-05
 7.0002379e+00	 7.1681796e-05
 8.0000887e+00	 7.0410606e-05
 9.0000124e+00	 7.0575370e-05
 1.0000108e+01	 7.0632443e-05
 1.1000061e+01	 7.0737835e-05
 1.2000055e+01	 6.8990703e-05
 1.3000238e+01	 7.1377784e-05
 1.4000112e+01	 7.0127790e-05
 1.5000147e+01	 7.0281203e-05
 1.6000036e+01	 7.0437818e-05
 1.7000031e+01	 6.9644462e-05
 1.8000051e+01	 7.1688177e-05
 1.9000219e+01	 7.0264403e-05
 2.0000223e+01	 7.0311209e-05
 2.1000031e+01	 6.7361594e-05
 2.2000093e+01	 6.9823218e-05
 2.3000038e+01	 6.9986760e-05
 2.4000010e+01	 6.6831512e-05
 2.5000067e+01	 7.1324546e-05
 2.6000111e+01	 7.1639013e-05
 2.7000292e+01	 7.0211310e-05
 2.8000111e+01	 6.8514069e-05
 2.9000072e+01	 6.8525340e-05
 3.0000034e+01	 7.0976654e-05
 3.1000008e+01	 7.0614318e-05
 3.2000217e+01	 7.0180948e-05
 3.3000145e+01	 6.6391920e-05
 3.4000019e+01	 6.8968300e-05
 3.5000225e+01	 6.9066700e-05
 3.6000263e+01	 6.8412490e-05
 3.7000000e+01	 7.0832670e-05
 3.8000050e+01	 7.1075774e-05
 3.9000404e+01	 6.8917820e-05
 4.0000118e+01	 6.8432200e-05
 4.1000126e+01	 6.7424677e-05
 4.2000221e+01	 7.0029615e-05
 4.3000244e+01	 6.8728827e-05
 4.4000210e+01	 6.9759539e-05
 4.5000088e+01	 6.6574226e-05
 4.6000092e+01	 6.8188929e-05
 4.7000141e+01	 6.8017995e-05
 4.8000240e+01	 6.5604952e-05
