Time(s)	MASF(1,7)
 0.0000000e+00	 2.4956893e-24
 1.0005618e+00	 2.4956893e-24
 2.0000894e+00	 1.3525119e-18
 3.0001235e+00	 1.8359026e-18
 4.0000744e+00	 1.8989449e-18
 5.0000405e+00	 2.3346689e-18
 6.0000234e+00	 2.5919208e-18
 7.0002379e+00	 2.7786178e-18
 8.0000887e+00	 3.1763028e-18
 9.0000124e+00	 3.4261684e-18
 1.0000108e+01	 3.4926390e-18
 1.1000061e+01	 3.5427546e-18
 1.2000055e+01	 3.7238224e-18
 1.3000238e+01	 3.8384200e-18
 1.4000112e+01	 3.9135317e-18
 1.5000147e+01	 4.0099011e-18
 1.6000036e+01	 4.1010610e-18
 1.7000031e+01	 4.2179379e-18
 1.8000051e+01	 4.2982116e-18
 1.9000219e+01	 4.3793340e-18
 2.0000223e+01	 4.4570125e-18
 2.1000031e+01	 4.5432151e-18
 2.2000093e+01	 4.6116527e-18
 2.3000038e+01	 4.6891124e-18
 2.4000010e+01	 4.7660443e-18
 2.5000067e+01	 4.8189421e-18
 2.6000111e+01	 4.8623223e-18
 2.7000292e+01	 4.9242161e-18
 2.8000111e+01	 4.9819823e-18
 2.9000072e+01	 5.0485831e-18
 3.0000034e+01	 5.1013486e-18
 3.1000008e+01	 5.1885293e-18
 3.2000217e+01	 5.2309760e-18
 3.3000145e+01	 5.2837481e-18
 3.4000019e+01	 5.3509255e-18
 3.5000225e+01	 5.4238543e-18
 3.6000263e+01	 5.4693563e-18
 3.7000000e+01	 5.5116707e-18
 3.8000050e+01	 5.5629232e-18
 3.9000404e+01	 5.6208205e-18
 4.0000118e+01	 5.6914869e-18
 4.1000126e+01	 5.7572457e-18
 4.2000221e+01	 5.8237593e-18
 4.3000244e+01	 5.8717453e-18
 4.4000210e+01	 5.9053334e-18
 4.5000088e+01	 5.9512109e-18
 4.6000092e+01	 5.9976724e-18
 4.7000141e+01	 6.0581902e-18
 4.8000240e+01	 6.1132634e-18
 4.9000008e+01	 6.1637810e-18
 5.0000221e+01	 6.2109402e-18
 5.1000072e+01	 6.2526343e-18
 5.2000053e+01	 6.3139077e-18
 5.3000069e+01	 6.3723128e-18
 5.4000187e+01	 6.4379728e-18
 5.5000172e+01	 6.4794257e-18
