Time(s)	MASN(1,6)
 0.0000000e+00	 5.0415780e-02
 1.0005618e+00	 1.6600681e-07
 2.0000894e+00	 1.6564155e-07
 3.0001235e+00	 1.6568329e-07
 4.0000744e+00	 1.6561559e-07
 5.0000405e+00	 1.6551354e-07
 6.0000234e+00	 1.6539128e-07
 7.0002379e+00	 1.6527636e-07
 8.0000887e+00	 1.6516881e-07
 9.0000124e+00	 1.6506647e-07
 1.0000108e+01	 1.6496529e-07
 1.1000061e+01	 1.6486412e-07
 1.2000055e+01	 1.6476363e-07
 1.3000238e+01	 1.6466477e-07
 1.4000112e+01	 1.6456819e-07
 1.5000147e+01	 1.6447432e-07
 1.6000036e+01	 1.6438341e-07
 1.7000031e+01	 1.6429568e-07
 1.8000051e+01	 1.6421104e-07
 1.9000219e+01	 1.6412955e-07
 2.0000223e+01	 1.6405103e-07
 2.1000031e+01	 1.6397539e-07
 2.2000093e+01	 1.6390250e-07
 2.3000038e+01	 1.6383349e-07
 2.4000010e+01	 1.6377101e-07
 2.5000067e+01	 1.6371159e-07
 2.6000111e+01	 1.6365422e-07
 2.7000292e+01	 1.6359819e-07
 2.8000111e+01	 1.6354281e-07
 2.9000072e+01	 1.6348706e-07
 3.0000034e+01	 1.6343014e-07
 3.1000008e+01	 1.6337137e-07
 3.2000217e+01	 1.6331026e-07
 3.3000145e+01	 1.6324552e-07
 3.4000019e+01	 1.6317377e-07
 3.5000225e+01	 1.6309336e-07
 3.6000263e+01	 1.6300287e-07
 3.7000000e+01	 1.6290079e-07
 3.8000050e+01	 1.6278595e-07
 3.9000404e+01	 1.6265562e-07
 4.0000118e+01	 1.6250765e-07
 4.1000126e+01	 1.6234574e-07
 4.2000221e+01	 1.6216873e-07
 4.3000244e+01	 1.6197934e-07
 4.4000210e+01	 1.6177913e-07
 4.5000088e+01	 1.6156933e-07
 4.6000092e+01	 1.6135108e-07
 4.7000141e+01	 1.6112539e-07
 4.8000240e+01	 1.6089331e-07
 4.9000008e+01	 1.6065611e-07
 5.0000221e+01	 1.6041456e-07
 5.1000072e+01	 1.6016666e-07
 5.2000053e+01	 1.5991057e-07
 5.3000069e+01	 1.5965233e-07
 5.4000187e+01	 1.5939234e-07
 5.5000172e+01	 1.5913135e-07
 5.6000126e+01	 1.5886971e-07
 5.7000072e+01	 1.5860785e-07
 5.8000153e+01	 1.5834517e-07
 5.9000050e+01	 1.5808159e-07
 6.0000069e+01	 1.5781737e-07
 6.1000160e+01	 1.5755298e-07
 6.2000050e+01	 1.5728872e-07
 6.3000099e+01	 1.5702487e-07
 6.4000069e+01	 1.5676169e-07
 6.5000206e+01	 1.5649937e-07
 6.6000069e+01	 1.5623817e-07
 6.7000069e+01	 1.5597820e-07
 6.8000008e+01	 1.5571972e-07
 6.9000237e+01	 1.5546271e-07
 7.0000122e+01	 1.5520737e-07
 7.1000031e+01	 1.5495374e-07
 7.2000282e+01	 1.5470175e-07
 7.3000183e+01	 1.5445167e-07
 7.4000183e+01	 1.5420321e-07
 7.5000305e+01	 1.5395646e-07
 7.6000069e+01	 1.5371144e-07
 7.7000076e+01	 1.5346801e-07
 7.8000130e+01	 1.5322632e-07
 7.9000114e+01	 1.5298731e-07
 8.0000267e+01	 1.5275107e-07
 8.1000061e+01	 1.5251774e-07
 8.2000206e+01	 1.5228720e-07
 8.3000099e+01	 1.5205967e-07
 8.4000252e+01	 1.5183497e-07
 8.5000237e+01	 1.5161331e-07
 8.6000008e+01	 1.5139472e-07
 8.7000046e+01	 1.5117909e-07
 8.8000107e+01	 1.5096661e-07
 8.9000130e+01	 1.5075732e-07
 9.0000092e+01	 1.5055117e-07
 9.1000298e+01	 1.5034819e-07
 9.2000191e+01	 1.5014837e-07
 9.3000099e+01	 1.4995169e-07
 9.4000137e+01	 1.4975801e-07
 9.5000000e+01	 1.4956736e-07
 9.6000092e+01	 1.4937964e-07
 9.7000175e+01	 1.4919490e-07
 9.8000183e+01	 1.4901322e-07
 9.9000107e+01	 1.4883453e-07
 1.0000025e+02	 1.4865876e-07
 1.0100002e+02	 1.4851466e-07
 1.0200014e+02	 1.4837372e-07
 1.0300003e+02	 1.4823499e-07
 1.0400006e+02	 1.4809831e-07
 1.0500019e+02	 1.4796467e-07
 1.0600016e+02	 1.4783465e-07
 1.0700005e+02	 1.4770713e-07
 1.0800005e+02	 1.4758082e-07
 1.0900005e+02	 1.4745572e-07
 1.1000010e+02	 1.4733173e-07
 1.1100005e+02	 1.4720887e-07
 1.1200005e+02	 1.4708712e-07
 1.1300011e+02	 1.4696636e-07
 1.1400004e+02	 1.4684656e-07
 1.1500005e+02	 1.4672766e-07
 1.1600015e+02	 1.4660957e-07
 1.1700007e+02	 1.4649213e-07
 1.1800004e+02	 1.4637527e-07
 1.1900003e+02	 1.4625894e-07
 1.2000007e+02	 1.4614295e-07
 1.2100005e+02	 1.4602733e-07
 1.2200008e+02	 1.4591187e-07
 1.2300022e+02	 1.4579649e-07
 1.2400007e+02	 1.4568127e-07
 1.2500008e+02	 1.4556593e-07
 1.2600005e+02	 1.4545049e-07
 1.2700005e+02	 1.4533481e-07
 1.2800008e+02	 1.4521885e-07
 1.2900026e+02	 1.4510248e-07
 1.3000006e+02	 1.4498575e-07
 1.3100023e+02	 1.4486851e-07
 1.3200002e+02	 1.4475074e-07
 1.3300009e+02	 1.4463242e-07
 1.3400003e+02	 1.4451351e-07
 1.3500020e+02	 1.4439397e-07
 1.3600014e+02	 1.4427306e-07
 1.3700008e+02	 1.4415123e-07
 1.3800002e+02	 1.4402879e-07
 1.3900027e+02	 1.4390565e-07
 1.4000012e+02	 1.4378195e-07
 1.4100006e+02	 1.4365766e-07
 1.4200020e+02	 1.4353286e-07
 1.4300023e+02	 1.4340783e-07
 1.4400017e+02	 1.4328300e-07
 1.4500008e+02	 1.4315837e-07
 1.4600002e+02	 1.4303390e-07
 1.4700005e+02	 1.4290946e-07
 1.4800018e+02	 1.4278473e-07
 1.4900020e+02	 1.4265966e-07
 1.5000011e+02	 1.4253438e-07
 1.5100027e+02	 1.4240881e-07
 1.5200009e+02	 1.4228304e-07
 1.5300018e+02	 1.4215706e-07
 1.5400015e+02	 1.4203101e-07
 1.5500002e+02	 1.4190485e-07
 1.5600008e+02	 1.4177859e-07
 1.5700009e+02	 1.4165228e-07
 1.5800018e+02	 1.4152600e-07
 1.5900018e+02	 1.4139974e-07
 1.6000003e+02	 1.4127352e-07
 1.6100005e+02	 1.4114738e-07
 1.6200008e+02	 1.4102140e-07
 1.6300006e+02	 1.4089542e-07
 1.6400012e+02	 1.4076957e-07
 1.6410002e+02	 1.4070089e-07
 1.6420000e+02	 1.4061779e-07
 1.6430002e+02	 1.4053414e-07
 1.6440001e+02	 1.4045077e-07
 1.6450003e+02	 1.4036759e-07
 1.6460002e+02	 1.4028475e-07
 1.6470001e+02	 1.4020209e-07
 1.6480003e+02	 1.4011954e-07
 1.6490002e+02	 1.4003703e-07
 1.6500003e+02	 1.3995458e-07
 1.6510007e+02	 1.3987213e-07
 1.6520001e+02	 1.3978983e-07
 1.6530002e+02	 1.3970752e-07
 1.6540002e+02	 1.3962527e-07
 1.6550002e+02	 1.3954305e-07
 1.6560004e+02	 1.3946088e-07
 1.6570004e+02	 1.3937876e-07
 1.6580003e+02	 1.3929673e-07
 1.6590004e+02	 1.3921471e-07
 1.6600005e+02	 1.3913278e-07
 1.6610001e+02	 1.3905090e-07
 1.6620007e+02	 1.3896901e-07
 1.6630000e+02	 1.3888726e-07
 1.6640010e+02	 1.3880542e-07
 1.6650000e+02	 1.3872378e-07
 1.6660007e+02	 1.3864212e-07
 1.6670003e+02	 1.3856058e-07
 1.6680000e+02	 1.3847902e-07
 1.6690005e+02	 1.3839754e-07
 1.6700006e+02	 1.3831608e-07
 1.6710001e+02	 1.3823473e-07
 1.6720006e+02	 1.3815335e-07
 1.6730003e+02	 1.3807204e-07
 1.6740001e+02	 1.3799070e-07
 1.6750000e+02	 1.3790940e-07
 1.6760002e+02	 1.3782808e-07
 1.6770000e+02	 1.3774677e-07
 1.6780000e+02	 1.3766551e-07
 1.6790001e+02	 1.3758418e-07
 1.6800005e+02	 1.3750287e-07
 1.6810002e+02	 1.3742161e-07
 1.6820003e+02	 1.3734036e-07
 1.6830003e+02	 1.3725906e-07
 1.6840002e+02	 1.3717785e-07
 1.6850000e+02	 1.3709662e-07
 1.6860008e+02	 1.3701535e-07
 1.6870001e+02	 1.3693413e-07
 1.6880006e+02	 1.3685286e-07
 1.6890001e+02	 1.3677173e-07
